Cod_Barra;PLU;Nombre;Ventas_Total
"7802920008325";"800007785";"PACK 3 LECHE CAPPUCCINO COLUN 330ML";"1"
"7802920009513";"800007935";"PACK X 3 LECHE CON CHC LIGHT 330ML";"1"
"7802920801872";"11800";"PACK 6 LECHE ENTERA COLUN 200ML";"36"
"7802920008349";"80099";"PACK 3 LECHE CARAMELO COLUN 330ML ";"3"
"7802920009612";"800007931";"PACK X 6 LECHE SEMI DESCREMADA ";"9"
"7802920759166";"80094";"PACK 6 LECHE FRUTILLA COLUN 220ML";"41"
"7802920011615";"80098";"PACK 6 LECHE CHOCOLATE ORIGEN COLUN 220ML";"65"
"7802920106120";"80022";"PACK 6 LECHE VAINILLA COLUN 220ML";"22"
"7802920009674";"80033";"PACK 6 LECHE CHOC COLUN S/LACTOSA 200ML ";"36"
"7802900003500";"80065";"PACK X 6 LECHE COOKIES SOPROLE 220ML";"2"
"7802910007253";"7453";"LECHE LONCOLECHE ENTERA 1L";"34"
"7802910007277";"7455";"LECHE LONCOLECHE DESCREM 1L";"12"
"7802920010625";"7505";"YOG COLUN KEFIR FRUTILLA 120G";"912"
"7802900004866";"7846";"POSTRE SOPROLE PROTEIN CHOCOLATE 130 G";"300"
"7802920012131";"8949";"YOG COLUN NATURAL 0%  SIN/LAC 150G";"1078"
"7613031370320";"9037";"CHAMYTO X 6 UNDS FRUTILLA NESTLE";"132"
"8445291792784";"9098";"CHANDELLE CHOCOLATE S/LACT 130G";"23"
"78013292";"9149";"JALEA NARANJA COLUN 100 GR ";"1850"
"7802900001308";"9185";"LECHE ENTERA SOPROLE TTA.1000CC. LCT";"186"
"7802900050078";"9189";"LECHE C/CHOCOLATE SOPROLE 1000CC lct";"1"
"7802900105013";"9193";"CREMA ESPESA SOPROLE 200CC.LCT";"751"
"7802900220082";"9218";"POSTRE SEMOLA SOPROLE SALSA FRAMBUESA 140GR";"324"
"7802900001520";"9285";"LECHE PROTEIN SOPROLE CHOCOLATE 200CC";"426"
"7802900300050";"9289";"YOG BATIDO SOPROLE VAINILLA 165G";"207"
