Cod_Barra;PLU;Nombre;Ventas_Total
"30456";"30456";"TABLA PICOTEO";"2"
"23";"23";"PICHANGA FRIA  rtc";"1766.454999999999"
"24";"24";"QUESO DE CABEZA SABROSUR rtc";"178.24699999999996"
"40";"40";"MORTADELA LISA PACEL";"318.85"
"61";"61";"PECHUGA PAVO ASADA ARIZTIA";"0.262"
"175";"175";"SALAME AHUMADO GRANEL PF";"64.96200000000002"
"189";"189";"SALAME ITALIANO GRANEL PF";"148.17900000000012"
"203";"203";"JAMON SANDWICH PF";"302.28"
"230";"230";"ARROLLADO LOMO C/AJI SAN JORGE rtc";"1"
"7801915000856";"272";"JAMON PIERNA CT PLUMA LA CRIANZA 120G";"98"
"418";"418";"SALCHICHON CERVEZA LLANQUIHUE KG";"48.981999999999985"
"546";"546";"SALAME LLANQUIHUE PIEZA 430GR";"0.31"
"549";"549";"JAMON PIERNA G2 LLANQUIHUE";"226.20299999999992"
"624";"624";"PECHUGA COCIDA SOPRAVAL";"384.1420000000001"
"628";"628";"JAMON PIERNA ACARAME. PF";"196.29799999999994"
"648";"648";"LOMO KASSLER SABROSUR";"106.10499999999998"
"671";"671";"JAMON ARTESANAL PF";"0.478"
"674";"674";"CEBOLLA ESCABECHE";"68.99100000000001"
"676";"676";"PICKLES";"187.52399999999997"
"681";"681";"PEPINILLO DILL";"199.97000000000006"
"686";"686";"CHUCRUT";"107.037"
"708";"708";"JAMON AHUMADO G2 SUPER CERDO";"329.629"
"726";"726";"PECHUGA AHUMADA SOPRAVAL";"330.717"
"765";"765";"SALAME LLANQUIHUE PIEZA 1,6";"287.82899999999995"
"774";"774";"JAMON PIERNA ARTESA RDA KG ";"221.28399999999996"
"961";"961";"MORTADELA LISA FINA LLANQUIHUE KG";"17.852999999999998"
"1750";"1750";"LOMO KASSLER GRAU 250G";"99"
"5050";"5050";"TOCINO AHUMADO PF KG";"1.61"
"8531";"8531";"JAMON PIERNA ARTESANAL LA CRIANZA";"19.399"
"8572";"8572";"PERNIL AH SIN HUESO LLANQUIHUE KG";"36.447"
"8646";"8646";"ACEITUNA VERDE RELLENA PIMENTON";"109.70799999999997"
"8964";"8964";"MORTADELA JAMONELA LLANQUIHUE KG";"20.224999999999998"
"78413";"78413";"SALCHICHA VEGANA 4UN HAILSEITAN";"27"
"745853005089";"800005849";"SALMON AHUMADO PAPITA 250GRS ";"15"
"3";"3";"AJI ORO";"73.862"
"39";"39";"MORTADELA JAMONADA PACEL";"373.64599999999996"
"43";"43";"LONGANIZA PACEL RTC";"184.31599999999995"
"95";"95";"LONGANIZA SABROSUR";"572.202"
"186";"186";"SALAME ARTESANAL GRANEL RDA";"15.397000000000002"
"202";"202";"JAMON ACARAMELADO RDA";"283.2"
"220";"220";"JAMON COLONIAL PF";"573.653"
"261";"261";"JAMON PIERNA AHUMADA G1 PF";"121.65800000000002"
"372";"372";"PULPA CERDO AHUM LLANQUIHUE KG";"8.786999999999997"
"544";"544";"SALAME METRO LAM LLANQUIHUE KG";"0.887"
"548";"548";"JAMON PIERNA SANDWICH LLANQUIHUE KG";"7.753999999999999"
"616";"616";"ACEITUNA AZAPA ARTESANAL";"314.99399999999997"
"625";"625";"JAMON PAVO ACARAMELADO SOPRAVAL";"49.177"
"641";"641";"JAMON ACARAMELADO SUPER CERDO";"310.609"
"661";"661";"ARROLLADO LOMO AJI LLANQUIHUE KG";"26.278000000000002"
"673";"673";"CEBOLLA PERLA";"30.157000000000004"
"675";"675";"PEPINILLO COCTEL";"73.25900000000001"
"677";"677";"ACEITUNA  AZAPA NEGRA";"227.90100000000007"
"685";"685";"SALSA AMERICANA";"86.20400000000005"
"701";"701";"ARROLLADO HUASO PREMIUM TESSMANN";"207.66400000000002"
"725";"725";"PECHUGA ASADA SOPRAVAL";"239.50000000000003"
"734";"734";"PECHUGA ACARAMELADA SOPRAVAL";"300.056"
"768";"768";"JAMON COLONIAL SAN JORGE";"335.50899999999996"
"825";"825";"SALAME LA PREFERIDA";"90.508"
"847";"847";"LONGANIZA CHAPUCO GRANEL KG";"80.22400000000002"
"981";"981";"JAMON GLACE PF";"339.386"
"1880";"1880";"TOCINO AHUMADO LLANQUIHUE 1K ";"16.615000000000002"
"6348";"6348";"QUESO CABEZA LAMINAR BRAUNAU";"62.15000000000002"
"8553";"8553";"JAMON ARTE ACARAMELADO LLANQUIHUE";"57.82299999999999"
"8645";"8645";"ACEITUNA NEGRA ANILLO";"32.54900000000001"
"8707";"8707";"JAMON DE PAVO COCIDO SOPRAVAL";"74.47999999999999"
"7801930025759";"50600";"CHORIZO GRILLHOUSE RDA 400G";"11"
"89544";"89544";"ARROLLADO LOMO AJI LLANQUIHUE KG AUTOSER";"4.182"
