Cod_Barra;PLU;Nombre;Ventas_Total
"5056701000530";"1433";"TE LIPTON YELLOW LABEL 20 BLS";"58"
"7802410003137";"5011779";"CREMA DE ESPARRAGOS 68GR GOURMET";"50"
"7801875055149";"1454";"TE SUPREMO VERDE LIMON 20 BLS";"51"
"7802500008011";"5011799";"FIDEOS TALLIANI 51 CABELLITOS 400GRS";"79"
"7801875052018";"1457";"TE MILDRED X 20 BOLSITA";"189"
"7801875029010";"5011812";"TE MILDRED GRANEL 125GRS";"114"
"7801875058058";"1461";"TE HIERBAS LLANTEN SUPREMO X20.abt";"32"
"9312631129946";"5011992";"TE DILMAH BREAKFAST 50 BLS";"18"
"7801875061010";"1466";"TE HIERBAS SURTIDO SUPREMO X20.abt";"152"
"7801305001517";"5012064";"PINA CUBITOS WASIL 560GRS";"17"
"7801875065049";"1494";"YERBA MATE SUPREMO BRASIL 250G ";"50"
"5012073";"5012073";"MERMELADA SRA VIOLA MOSQUETO ALUL 500G";"12"
"7802200361119";"1499";"GELATINA AMBROSOLI FRUTILLA 100GR";"69"
"7802351315009";"5012132";"MOSTAZA DON JUAN 250CC DOYPACK";"185"
"7802200266032";"1514";"JUGO VIVO DURAZNO 8 GRS abt";"219"
"7802351234003";"5012176";"AJI CHILENO EXTRACTO DON JUAN 100G";"30"
"7802200266056";"1516";"JUGO VIVO LIMON 8 GRS";"141"
"7750243030335";"5012186";"CREMA AJI TARI ALACENA 400 G  ";"11"
"7802300000154";"1535";"SALSA DE TOMATE MALLOA SACHET 200GR. abt";"455"
"8000070038868";"5012193";"CAFE CREMA E GUSTO LAVAZZA 250 G ";"31"
"7802337101039";"1563";"VINAGRE TRAVERSO BLANCO 500CC.abt";"80"
"7801420001966";"5012244";"ARROZ TUCAPEL BASMATI 400 GRS";"76"
"7802337801052";"1569";"SUCEDANEO LIMON TRAVERSO 1000CC.";"38"
"7801420000778";"5012277";"ACEITE DE OLIVA BANQUETE 1000ML";"26"
"7802500037059";"1659";"SALSA DE TOMATE LUCCHETTI ITA 200GR ";"245"
"7804682060016";"5012408";"DURAZNOS DOS CABALLOS TROCITOS 820 GRS";"38"
"7802575001030";"1693";"FIDEOS CABELLOS DE ANGEL CAROZZI 400GR abt";"70"
"608875007713";"778431221";"KETCHUP HEINZ DOYPACK 900 GRS";"2"
"7802575002235";"1697";"FIDEOS ESPIRALES CAROZZI 400GR abt";"209"
"7802410102182";"778431529";"CURCUMA GOURMET SOBRE 16 GRS.";"114"
"7802575004239";"1703";"FIDEOS SPAGHETTINI 3 CAROZZI 400GR abt";"207"
"7802410609162";"778431532";"COBERTURA CHOCOLATE DE LECHE GOURMET 500 GRS.";"42"
"7802575004635";"1705";"FIDEOS TALLARINES 87 CAROZZI 400GR";"447"
"2007785000087";"778431675";"INFUSION HERBAL MENTA CACAO 50G SBERRIES";"5"
"7802575006233";"1724";"FIDEOS CORBATITAS CAROZZI 400GR abt";"60"
"614143233968";"778431756";"YERBA MATE SENSORIAL TRAD 250G TARRO";"14"
"7802575007421";"1736";"SEMOLA CAROZZI 500GR.";"121"
"8005121001082";"778431969";"SPAGHETTI DIVELLA N  8 BRONZO 500G";"22"
"7802575353047";"1831";"POMAROLA ITALIANA 200 GRS CAROZZI";"1328"
"7801505001232";"778432266";"AZUCAR FLOR IANSA 1 KL";"56"
"7802615006568";"1854";"ARROZ MIRAFLORES PREGRANEADO G1 1 KG ABT";"38"
"7801230004973";"778432548";"SURTIDO TWININGS TÉ E INFUSIONES 40 BLS";"5"
"7802640400270";"1892";"AJI CHILENO JB PET 240GR.abt";"133"
"7804656560078";"778432557";"PASTA DE AJO HUERTOS DEL SUR 130G";"15"
"7802640400355";"1896";"KETCHUP JB PET 240GR.abt";"90"
"7702084137537";"778432689";"HARINA PRECOCIDA PAN AMARILLA 1KL";"29"
"7802640720637";"1916";"AJI PEBRE JB 240GR  abt";"89"
"7805000312329";"778432713";"MAYONESA HELLMANNS 670 GRS DP";"18"
"7802626001668";"1929";"HARINA TOSTADA MARIPOSA 500GR.ABT";"46"
"0761847042867";"778432762";"MOSTAZA AGRIDULCE NOBLEZA ARTESANAL 220G";"19"
"7802800586318";"5705";"JUGO LIVEAN LIMONADA 7 GRS";"293"
"0761847042836";"778432765";"MOSTAZA A LA NRJA NOBLEZA ARTESANAL 220G";"5"
"7000002834064";"6244";"GUITARRA CLA MINI NEGRA 17CM 283406";"1"
"0761847043079";"778432767";"MOSTAZA TRADICIONAL NOBLEZA ARTESANAL 220G";"10"
"745853017941";"8971";"ALIÑO GOURTMET 40 GR ROFUCO";"2"
"0761847042980";"778432769";"MOSTAZA ALBAHACA NOBLEZA ARTESANAL 220G";"6"
"7613032415679";"9063";"CREMA DE LECHE  NESTLE 236 GR";"110"
"2007785000124";"778432892";"TE VERDE LEMON GRASS JENG 50G SBERRIES";"6"
"10714";"10714";"CASTAÑAS EN ALMIBAR LA COLONIA 500G";"5"
"7808743603617";"778433312";"POROTO NEGRO 1KG BONANZA";"2"
