Cod_Barra;PLU;Nombre;Ventas_Total
"7797453000482";"17069";"SOBRE PEDIGREE POLLO RAZA PEQ 100 GRS";"252"
"7797453000468";"17071";"SOBRE PEDIGREE CACHORRO CARNE 85 GRS";"204"
"7802575531735";"17084";"SOBRE MASTER CAT CARNE 85 GRS";"349"
"7797453972291";"17103";"WHISKAS PESCADO 1 KG";"48"
"7797453000550";"17112";"SOBRE WHISKAS SABOR POLLO 85 GR";"255"
"7797453972345";"17128";"WHISKAS CARNE 1 KG";"62"
"7891000244036";"94510";"ALIMENT HUMEDO PURINA ONE GATO ESTERIL 85GR";"59"
"050000001248";"94512";"ALIMENT HUMEDO FANCY FEST TUNA 85GR";"67"
"7613287225375";"94565";" ALIMEN PERRO PURINA ONE AD.PEQ CORDERO 6KG ";"2"
"7613287225535";"94567";"ALIMEN PERRO PURINA ONE MED-GRANDE CARNE 6KG";"1"
"8445291684577";"94569";"ALIMEN PERRO DOGCHOW PEQUE CARNE POLLO 8KG";"4"
"8445291684713";"94571";"ALIMEN PERRO DOGCHOW LONGEVIDAD 8KG";"3"
"7613036672887";"94574";"ALIMEN GATO CATCHOW 3KG";"16"
"7613035951495";"94576";"ALIMEN GATO CATCHOW PESCADO 3KG";"18"
"7501072210289";"94580";"ALIMEN HUMEDO DOGCHOW ADUL POLLO 100GR";"50"
"7501072210265";"94583";"ALIMEN HUMEDO DOGCHOW ADULT CARNE 100GR";"87"
"7891000244074";"94585";"ALIMEN HUMEDO CATCHOW ADULT POLLO 85GR";"89"
"7891000244012";"94589";"ALIMENT HUMEDO CATCHOW GATITO POLLO 85GR";"103"
"7891000247112";"94591";"DENTALIFE PERRO RAZA MEDIANA 119GR";"39"
"7613035951181";"94596";"ALIMEN GATO CATCHOW ADUL CARNE 3KG";"14"
"7891000332429";"94598";"ALIEMENT HUMEDO PURINA ONE GAT SUPERNUTRI 85GRS";"120"
"7613287224897";"94601";"ALIMEN PURINA ONE CACHORRO 2KG";"2"
"7613287225351";"94603";"ALIMEN PURINA ONE MINI CORDERO 2KG";"2"
"8445291684171";"94607";"ALIEMN DOGCHOW MEDIANO CARNE 3KG";"4"
"7613287230447";"94611";"ALIMEN ONE CAT SALMON 2KG";"15"
"7797453001533";"300619";"ALIMENTO PEDIGREE ADULTO CARNE POLLO CER 3KG";"26"
"7896029052341";"300845";"PEDIGREE DENTASTIX RAZAS MEDIANAS X3";"102"
