Cod_Barra;PLU;Nombre;Ventas_Total
"7801875150233";"2640";"PAPEL ALUMINIO ALUFOIL  4MTS.ABT";"101"
"7702026180355";"2720";"TOALLA HIG NOSOTRAS INVISIBLE SUAVE 8UNDS ";"108"
"7804910019434";"2731";"TALCO PARA PIES BROOKS 80G";"34"
"7805000141271";"2893";"SUAVIZANTE SOFT 1000CC. ABT";"86"
"7805025110009";"26018";"CLORO CLOROX TRADICIONAL 1000CC abt";"38"
"7805025693731";"26057";"CLORO CLOROX ROPA COLOR 370G abt";"51"
"7805040003454";"26119";"DESODORANTE AMB AROM REPUESTO FRAM/BERRIES 250 CC";"11"
"7805045001134";"26144";"JABON POPEYE VERDE 170 GR.abt";"70"
"7790520023957";"26164";"PASTILLA ESTANQUE LYSOFORM 40GR X3";"39"
"7805080100038";"26179";"CLORO CONCENTRADO CLORINDA 2 LTS  ABT";"72"
"7806300010038";"26219";"FOSFOROS LOS ANDES 220 unidades abt";"83"
"7806500962335";"26287";"PROTECTOR DIARIO LADYSOFT 20 UNDS pqt";"116"
"7806810002035";"26358";"MAGO PADS VIRUTEX CON JABON x 4 UND abt";"15"
"7806810004305";"26361";"ESPONJA LISA BONOBRIL VIRUTEX 4 UND  abt";"96"
"7806810005005";"26364";"PANO SPONGI VIRUTEX 1UN.";"113"
"7804676650865";"26380";"TRAPERO HUMEDO DOÑA GABY LIMON X10";"135"
"7806810104005";"26387";"ESPONJA BONOBRIL VIRUTEX MEDIA 110400";"261"
"7809631601777";"26424";"RATICIDA KLERAT 50 GRS";"32"
"7806810103015";"26565";"ESPONJA  VIRUTEX ACERO ABT";"95"
"7806810014090";"26657";"PANO VIRUTEX NARANJO 50X45 CM";"25"
"7805000323608";"26733";"LAVALOZAS QUIX ULTRA CONCENT 300 ML";"192"
"7805000323219";"26772";"CIF CLORO GEL TRADICIONAL 800 ML";"39"
"7806500509592";"26835";"PAPEL HIG. CONFORT X 4 100 MTS";"181"
"7801875150455";"26914";"ALU PLAST 15 METROS  ECON";"30"
"7804676651978";"27831";"SHAMPOO P/PERRO PRIN ANTI PULGAS 500 ML";"7"
"7806500225812";"27844";"SERVILLETA ELITE 400 UND";"102"
"7805010001510";"27846";"CERA NUGGET CAOBA 340 CC";"15"
"7805000315177";"27868";"JABON LIQU.LE SANCY PEPINO ALOE VERA 750 ML";"11"
"7501058714978";"27873";"PASTILLA LIMPIA INOD HARPIC DUO PODER 2 UNDS";"52"
"030772053089";"27882";"LAVALOZA DAWN BLUE ORIGINAL 638 ML";"9"
"7804676651954";"29137";"SHAMPOO P/PERRO PRIN HIPOALERGENICO 500 ML";"3"
"7805010001534";"29148";"CERA NUGGET AMARILLA 340 CC";"15"
"7790520023964";"29158";"PASTILLA PATO PURIFIC X 1 UNDS";"81"
"7790520014962";"29179";"AMBIENTAL GLADE ELECTR MANZ/CANELA + REP";"4"
"7790520014184";"29187";"DESINFEC.LYSOFORM LAVANDA  360CM";"81"
"7806500000228";"29194";"PANUELOS ELITE T/H X 18 UND";"64"
"7500435020008";"30041";"SHAMPOO HEAD SHOULDERS RENOV 375 ML";"18"
"7891035024368";"30063";"DETERG LAVAVAJILLA 3 EN 1 FINISH 13TABL";"40"
"7805040001825";"30090";"LIMPIADOR IGENIX CLORO/GEL LAVANDA 900 ML";"44"
"7801875069177";"30128";"BOLSA SUPERIOR 80X120 CM CARGA";"88"
"7791293044491";"30153";"TALCO P/PIES REXONA EFFICIENT 200 GRS";"8"
"7791130007160";"30169";"LIMPIAVIDRIOS GLASSEX 500 ML GATILLO";"18"
"7806810800471";"30177";"BOLSAS DE BASURA VIRUTEX BIOROLLO 80X120 CM";"22"
"7806500966029";"30318";"TAMPONES LADYSOFT SUPER 8 UND";"43"
"7806500966012";"30320";"TAMPONES LADYSOFT REGULAR 8 UND";"43"
"7809604028099";"30598";"PAPEL HIG. SCOTT 4 ROLLOS 22 MTS RINDEMAX";"606"
"7806810007337";"30624";"TOALLAS DESINFECTANTES VIRUTEX POTE";"92"
"5060033820117";"32541";"LIMPIADOR THE PINK STUFF BAÑO ESPUMA 750 ML";"4"
"5060033823675";"32543";"LIMPIADORTHE PINK STUFF CREMA  500 ML";"2"
"5060033821664";"32545";"ESPUMA THE PINK STUFF LIMPIA INODORO  3 UN";"3"
"5060033820186";"32547";"QUITAMANCHAS THE PINK STUFF OXI PRELAVADO 500ML";"5"
"5060033820162";"32549";"QUITAMANCHAS THE PINK STUFF POLVO BLANQUEADOR 1KG";"1"
