Cod_Barra;PLU;Nombre;Ventas_Total
"799";"799";"CARBONADA DE CERDO  ";"12.552000000000003"
"6305";"6305";"ESCALOPA  PIERNA DE CERDO KG";"18.347"
"18";"18";"TUTO LARGO DE POLLO KG AUTOSERV";"64.53999999999999"
"7606";"7606";"CARNE MOLIDA NAC TEJA FOOD KG";"823.4459999999997"
"16";"16";"TUTO CORTO POLLO KG AUTOSERV";"71.42299999999999"
"20";"20";"CHULETA CENTRO KG AUTOSERV";"1.714"
"7607";"7607";"CARNE CUBO NAC TEJA FOOD (POSTA ROSADA)";"231.87499999999991"
"7600";"7600";"CARNE TARTARO TEJA FOOD NAC KG";"985.3580000000001"
"7759";"7759";"CARNE PARA HAMBURGUESA NAC";"185.54"
"7609";"7609";"CARNE BISTEC NACTEJA FOOD (ASIENTO)";"647.4630000000003"
"935";"935";"ESCALOPA POSTA NEGRA KG";"262.15099999999995"
"7610";"7610";"CARNE A LA JULIANA NAC TEJA FOOD";"197.93200000000002"
"8587";"8587";"ALBONDIGA TEJA FOOD (P. ROSADA)";"73.35"
"6999";"6999";"CARNE MOLIDA 10% GRASA";"1866.964"
"355";"355";"OSOBUCO PIERNA VACUNO AUTOSS";"215.71699999999998"
"796";"796";"LOMO DE CERDO EN MEDALLONES";"98.56000000000002"
"6";"6";"ASADO TIRA 4CM TINEO CAT V";"13.092"
"15";"15";"GUATA DE VACUNO";"140.859"
"35";"35";"PUNTA PICANA TINEO CAT V";"12.404000000000002"
"77";"77";"GRILLWURST CZISCHKE";"39.31799999999999"
"102";"102";"PUNTA PICANA  CAT V";"240.22500000000005"
"302";"302";"LOMO VETADO ALIÑADO DE CERDO OMA WURST";"1"
"401";"401";"ESTOMAGUILLO CATEG. V NACIONAL";"8.469999999999999"
"795";"795";"PALANCA VACUNO CAT";"201.19499999999994"
"863";"863";"PUNTA GANSO TINEO CAT V";"7.082"
"7804681960096";"892";"CHORIZO PARRILLERO GRAU 400GR";"95"
"964";"964";"CAZUELA EXTRA CAT V ";"225.59499999999997"
"7809569600187";"1656";"CHORICILLO COCTEL 250GRS PACEL ";"40"
"1742";"1742";"PRIETA BOM-BOM 400G CECINAS GRAU";"8"
"5661";"5661";"LONGANIZA BRAUNAU X2  A/V";"8.132000000000001"
"6327";"6327";"ASADO BRAUNAU CERDO LOMO VET/LISO";"69.33500000000001"
"6341";"6341";"PRIETAS A/V X 4 BRAUNAU";"16.762"
"6535";"6535";"CHORIZO PARRILLERO MERKEN BRAUNAU";"27.586000000000002"
"000042017029";"7845";"LONGANICILLA TXAFKINTUN 300GRS ";"63"
"7804642980200";"8441";"CHORIZO PARRILL SCHWENCKE 500GRS";"166"
"7801970026174";"8469";"LONGANIZA LLANQUIHUE 250 GRS";"135"
"7801970026204";"8488";"CHORIZO PARRILLERO 250 GRS LLANQUIHUE";"61"
"7801970026198";"8603";"CHORIZO PARRILLERO LLANQUIHE 500 GRS";"127"
"8945";"8945";"COSTILLAR AHUMADO TXAFKINTUN KG";"111.72799999999998"
"7804681960102";"8997";"LONGANIZA BOM-BOM 400G CECINAS GRAU";"31"
"13622";"13622";"PONCHO PARRILLERO CAT V";"204.26199999999997"
"7801970002192";"15215";"LONGANICILLA ORIGEN MERKEN LLANQUIHUE 200GR";"9"
"7804642980651";"21035";"PRIETAS SCHWENCKE 400G";"48"
"30483";"30483";"LOMO LACHS CRUDO GRAU";"7.96"
"000042017042";"91555";"ADOBADO DE CERDO TXAFKIMTUN 300GR";"13"
"7809611709523";"5008709";"PLATEADA A LA CHILENA 1KG";"11"
"7809569600347";"5011853";"LONGANIZA  250GRS PACEL";"74"
