Cod_Barra;PLU;Nombre;Ventas_Total
"30477";"30477";"QUESO PARA COMPARTIR";"134"
"608";"608";"PICHANGA PREMIUN";"7.292000000000002"
"7809569600422";"5012524";"MORTADELA JAMONADA 125G PACEL";"155"
"7809569600453";"5012526";"JAMON ACARAMELADO 125GR PACEL";"212"
"7809569600446";"5012543";"JAMON YORK 125GR PACEL ";"10"
"8001665127493";"778431382";"SALSA FRESCA AL PESTO (ALBAHACA Y PINONES)";"90"
"8001665703994";"778431385";"SALSA BOLOGNESE RANA 225GR";"9"
"7801510000084";"778433029";"SALMON AHUMADO VONFACH REBANADO 200G";"156"
"8001665724111";"778433051";"GNOCCHI RANA 400 GR";"201"
"778433058";"778433058";"SALAME LAMINADO GRAU 100 GRS ";"54"
"7801930011820";"778433249";"SALAMIN AHUMADO RDA 200GR";"86"
"778433410";"778433410";"ARROLLADO ARTESANAL LAM 160 G  CECINAS GRAU";"78"
"7801510000107";"778434118";"SALMON AHUMADO LAMINADO 200 GR VONFACH";"47"
"8001665706926";"800007746";"FETTUCCINI RANA 300G ";"115"
"7809611722386";"800007793";"PECHUGA POLLO PAVO COCIDA SOPRAVAL 125G";"31"
"7898961400259";"800007867";"CHARQUI  JACK LINKS JERKY TERIYAKI 25G  ";"43"
"7808304351612";"800008225";"ARROLLADO DE LOMO LAMINADO CHAPUCO 200GR";"9"
"7801926001286";"800008414";"PALETA JAMÓN SERRANA TRUJILLO ET. ROJA + ATRIL Y CUCHILLO TRUJILLO";"1"
"7801926004027";"800008417";"PALETA JAMÓN SERRANO TRUJILLO ET VERDE + ATRIL Y CUCHILLO TRUJILLO";"1"
"7801926003273";"800008420";"CHORIZO VELA TRUJILLO 80 GR TRUJILLO";"5"
"7801926000685";"800008422";"FUET TRUJILLO 240 GR";"5"
"7801926004249";"800008424";"SURTIDO SERRANO 120 GR TRUJILLO - CHORIZO, SALCHICHÓN Y LOMO ";"17"
"88";"88";"PRIETAS TXAFKINTUN KG";"55.414"
"112";"112";"ARROLLADO HUASO BRAUNAU";"29.329999999999995"
"201";"201";"FILETE SALMON AHUMADO GRAN VON";"134.288"
"7809569601269";"320";"JAMON DE PAVO AHUMADO 125 GRS. PACEL";"3"
"7809569600484";"678";"LOMO KASSLER 125GR PACEL";"77"
"808";"808";"CHARKI DE FILETE CZISCHKE";"26.695999999999994"
"898";"898";"SALCHICHA ARTESANAL GRAU 300GR";"79"
"1202";"1202";"LOMO KASSLER LAMINADO 120G";"85"
"1755";"1755";"COSTILLAR AHUMADO 600G CECINAS GRAU";"34.38000000000001"
"6333";"6333";"CHULETA KASSLER A/V BRAUNAU";"12.949999999999998"
"6337";"6337";"LOMO KASSLER LAM 250 GRS BRAUNAU";"33.554"
"6352";"6352";"SALCHICHA A/V X 5 BRAUNAU";"9.076"
"7804650730101";"6356";"PATE CERDO BRAUNAU 150GR";"194"
"7804650730118";"6360";"PATE TERNERA BRAUNAU 150G";"268"
"7801930018034";"6552";"JAMON SERRANO RDA 65G";"58"
"7804642980699";"7044";"MIX PARRILLERO SCHWENCKE 500GR";"57"
"7150";"7150";"LONGANIZA PICANTE CZISCHKE";"33.33"
"7801970000143";"8194";"PATE CERDO LLANQUIHUE 125 GRS";"158"
"7801970026099";"8196";"SALCHICHAS A/V LLANQUIHUE 250GRS  NATURAL";"555"
"7809569600248";"8221";"SALCHICHA PACEL  6UN.250GR RTC";"791"
"8229";"8229";"BRATWURST TXAFQUINTUN KG";"25.791999999999994"
"7801930007120";"8289";"SALCHICHA PREMIUM 5 UNDS R.ABUELO";"877"
"7809611720030";"8345";"PECHUGA PAVO COCIDA SOPRAVAL 125 GR";"36"
"7809569600361";"8429";"MORCILLA BLANCA PACEL 120 GRS";"187"
"7801970004783";"8470";"SALCHICHA LLANQUIHUE TRADICIONAL 500 GRS";"416"
"7801970001805";"8475";"LOMO LACHS LLANQUIHUE 100GR";"259"
"7801970001843";"8481";"LOMO KASSLER LAM LLANQUIHUE 100G";"645"
"7801970026624";"8487";"CHORICILLO COCKTAIL LLANQUIHUE 250 GRS";"43"
"7801930008622";"8500";"SALAME ARTESANAL RECE DEL ABUELO 100 GRS";"195"
"7801970001850";"8549";"MORTADELA BRESLAUER 400 GRS LLANQUIHUE";"213"
"7801970026488";"8567";"SALCHICHA HOT DOG 250 GRS LLANQUIHUE";"431"
"7801970001713";"8667";"JAMON ARTESANAL LAM LLANQUIHUE 150G";"263"
"7804642980156";"8776";"SALCHICHAS SCHWENCKE 1 KG";"12"
"7801930011868";"10527";"PECHUGA COCIDA RDA CTE PLUMA 125G";"361"
"7801970001751";"15218";"MORTADELA JAMONADA LAM LLANQUIHUE 150GR";"79"
"7801970001782";"15220";"QUESO CABEZA LAM LLANQUIHUE 150GR";"18"
"7801970002116";"15223";"SALCHICHA ORIGEN SUREÑA 500GR";"103"
"7809569601306";"45612";"SALCHICHA COMPLETERA 18CMS PACEL 500GR";"119"
"8001665706940";"50206";"GNOCCHI RELLENO QUESO RANA 400GR";"24"
