Cod_Barra;PLU;Nombre;Ventas_Total
"7802820191929";"800006090";"PACK X6 NECTAR ANDINA MULTI FRUTILLA 200CC";"14"
"7802820700107";"5464";"PACK X6 NECTAR ANDINA NARANJA 200CC";"19"
"7802820700480";"800002464";"PACK X6 NECTAR ANDINA MANZANA 200CC";"18"
"7802820550511";"5433";"PACK X6 NECTAR ANDINA DURAZNO 200CC";"19"
"7802820700299";"5469";"PACK X6 NECTAR ANDINA PINA 200CC";"18"
"7801610323236";"5102";"BEBIDA COCA COLA 3000CC DESECH";"225"
"7801610350355";"5109";"BEBIDA LATA COCA COLA ZERO 350CC  LVB";"725"
"7801610350850";"5113";"BEBIDA COCA COLA ZERO 2.5CC. DESECHABLE lvb";"991"
"7801620006518";"5165";"BEBIDA PAP ZERO 2LT. DESECH";"212"
"7801620001841";"5179";"NECTAR WATTS FRUTILLA 1500CC DES";"397"
"7801620002343";"5196";"NECTAR WATTS TUTTI KIWI LVB 1500CC DES";"133"
"7801620011604";"5215";"NECTAR WATTS NARANJA 1.5 CC DES";"732"
"7801620011628";"5217";"NECTAR WATTS DAMASCO 1500CC.DES";"298"
"7801620011659";"5219";"NECTAR WATTS NARANJA 300CC ";"322"
"7801620014681";"5223";"BEBIDA PEPSI 2000CC DESECHABLE LVB";"777"
"7801620009694";"5226";"AGUA MINERAL CACHANTUN 600CC C/GAS";"487"
"7801620017552";"5240";"BEBIDA PEPSI 3000CC DESE";"570"
"7801620290191";"5258";"BEBIDA BILZ 2000CC DESECHABLE  lvb";"418"
"7801620330132";"5267";"BEBIDA ORANGE CRUSH LATA 350CC LVB";"162"
"7801620340216";"5276";"BEBIDA LIMON SODA 2000CC.DESECHABLE lvb";"443"
"7801620360153";"5283";"BEBIDA LATA CANADA DRY 350CC lvb";"248"
"7801620370107";"5287";"AGUA TONICA CANADA DRY 1500CC DESECH";"288"
"7801620852955";"5294";"AGUA MINERAL CACHANTUN 1.6 LTS C/G DESE";"740"
"7801620853396";"5300";"NECTAR WATTS NARANJA LIGHT 1500CC DESE.";"770"
"7802575220127";"5316";"NECTAR SPRIM DURAZNO 190 ML..lvb";"156"
"7802820020953";"5369";"AGUA MINERAL VITAL C/GAS1600CC DESECH";"703"
"7802820441123";"5414";"BENEDICTINO 500CC GASIFICADA";"1025"
"7802820441529";"5416";"AGUA BENEDICTINO C/GAS 1.5CC ";"1714"
"7802820550504";"5432";"NECTAR ANDINA DURAZNO 200CC ";"389"
"7802820600209";"5437";"AGUA MINERAL VITAL 600CC sin gas lvb";"358"
"7802820700091";"5463";"NECTAR ANDINA NARANJA 200CC";"326"
"7802820700473";"5471";"NECTAR ANDINA MANZANA 200CC lvb";"418"
"7802900480042";"5529";"NECTAR SOPROLE TTA.1000CC DAMASCO.lvb";"120"
"7802900480134";"5531";"NECTAR SOPROLE TTA 1000CC DURAZNO";"142"
"7802820441000";"5568";"BENEDICTINO 500CC S/G";"689"
"7802820678048";"5596";"BEBIDA ISOT POWERADE FROZEN BLAST 1.1 LTS";"242"
"7802820250244";"5599";"KAPO MANSOO MANZANA 252 ML";"24"
"7802820250206";"5604";"KAPO MANSOO NARANJA 252";"24"
"7801620003500";"5615";"NECTAR WATTS TUTTIARANDANO 1.5 LTS";"322"
"7801620001988";"5651";"BEBIDA KEM XTREME DESCH 1.5 LTS";"124"
"7801610000571";"5664";"BEBIDA COCA COLA 591 ML";"1424"
"7801620005160";"5693";"GATORADE COOL BLUE 1 LTS";"628"
"7801620015855";"5714";"AGUA MINERAL CACHANTUN LIGHT 1.6 LT";"657"
"7802820685459";"5721";"NECTAR DURAZNO 0% AZUCAR 200 ML";"75"
"9002490214852";"5836";"ENERGETICA RED BULL SUGARFREE 250 ML";"486"
"7801620005153";"5926";"GATORADE FRUTAS TROPICAL 1 LTS";"355"
"7801620009830";"5955";"ICE TEA LIPTON DURAZNO PET 1.5LTS";"300"
"7802820700053";"5965";"NECTAR ANDINA NARANJA 1.5 LTS";"183"
"7802820990102";"5977";"AGUA VITAL 990 ML  S/G";"239"
"7899916913244";"6152";"JUGO FRESCO NARANJA QUILLAYES 900ML";"199"
"7798085681452";"7444";"JUGO CITRIC NARANJA 100% EXPR 500 ML";"118"
"7802810011572";"10506";"JUGO 100% MANZANA WATTS 200ML";"130"
"7804665210056";"10672";"JUGO BLESS MANZ LIMON JENGIBRE 300 ML";"15"
"7802910008922";"10801";"ALIMENTO ALMENDRAS LONCOLECHE 1LT";"56"
"90424496";"35648";"ENERGETICA RED BULL SUMMER AMARILLA 250CC";"1262"
"7790895001260";"50020";"VITAMIN WATER TROPICAL 500 ML";"353"
"7790895001208";"50118";"VITAMIN WATER FRUTA DE DRAGON 500 ML";"302"
"7804641960005";"50121";"JUGO CONCENTRADO CRANBERRY 1 LT";"75"
"7801620009847";"50140";"ICE TEA LIPTON FRAMBUESA 1.5 LT";"239"
"7801620006044";"50166";"AGUA MINERAL PURA VIDA 6 LT";"274"
"7802920008950";"50307";"JUGO COLUN NATURAL PR NARANJA 330CC";"533"
"55900";"55900";"TICKET BEBIDA CCU";"1"
"7899916906086";"60526";"JUGO QUILLAYES MANZANA 900ML";"68"
"7804665370262";"65229";"KOMBUCHACHA ARANDANO ZERO 330 ML LATA";"4"
"65305";"65305";"NECTAR WATTS LIGHT NARANJA";"0.559"
"7899916913282";"65796";"JUGO QUILLAYES MANGO 900ML";"67"
"745853997533";"80066";"XPARLING SABOR LIMON 240ML ";"81"
"7754GINGBEER2";"95487";"GINGERBEER VONCATS 330CC";"31"
"070847009511";"300055";"ENERGETICA MONSTER ENERGY 473 ML";"840"
"7802575226310";"300641";"NECTAR VIVO NARANJA 1LT";"106"
"7802832101220";"301011";"JUGO AFE PERA 300CC";"47"
"7802832101329";"301094";"JUGO AFE MEMBRILLO 300CC";"10"
"7801610591888";"303183";"BEBIDA SPRITE ZERO 591ML";"248"
"7801620006181";"303457";"NECTAR WATTS SELECC MANGO MARACUYA 350 ML";"132"
"7801620006174";"303529";"NECTAR WATTS SELECC PIÑA GUAYABA 350 ML";"97"
"8935048604113";"500100";"BEBIDA ALOE VERA WIN MANGO  500 CC ";"60"
"6301618001026";"3040475";"INFUSION ROSA JAMAICA TERRANUT BOT.475ML";"25"
"7802575226327";"5009067";"NECTAR VIVO PINA 1 LITRO ";"105"
"7801620006631";"5010012";"AGUA MAS GRANADA 1.6CC";"421"
"7801620006655";"5010019";"AGUA MAS PERA 1.6CC";"552"
"7801620006648";"5010085";"AGUA MAS UVA 1600CC";"310"
"7801620006846";"5010287";"BEBIDA PEPSI ZERO LATA 350 CC";"1044"
