Cod_Barra;PLU;Nombre;Ventas_Total
"7501035907577";"2088";"DESODORANTE SPEED STICK CLASSIC 50 GRS ";"13"
"7591066701015";"2183";"MAQUINA DE AFEITAR XTREME 3 P/SENSIBLE";"136"
"7790250096061";"2329";"TOALLA HIG LADYSOFT ULTRASECA MALLA  X8";"91"
"7702026173494";"2709";"TOALLA HIG NOSOTRAS NORMAL C/ ALAS 8U SUAVE";"47"
"8714100190128";"2850";"CEPILLO DENTAL PEPSODENT ESCV GIORGIO X 2";"16"
"7804902013754";"20051";"TALCO PARA PIES BROOKS SPRAY 100ML";"6"
"7898422746759";"20494";"JABON DOVE ORIGINAL 90 GRS BARRA";"201"
"7500435113465";"20500";"DESODORANTE GEL GILLETE ANTI BAC 82GRS";"32"
"7804920350176";"20541";"JABON LIQ BALLERINA HUMECTANTE 350 ML FCO";"24"
"7791293049472";"20572";"DESODORANTE REXONA FUTBOL FANT MEN 150 ML";"25"
"7501035908925";"20611";"DESODORANTE LADY SPEED STICK INVISIBLE 45 GR";"21"
"7804945005556";"20723";"COTONITOS BABYLAND 200UN";"36"
"7793100111891";"26446";"PASTA COLGATE ULTRA BLANCO 90 GRS";"184"
"7500435138000";"26556";"SHAMPOO H&SH CARBON 375 ML";"18"
"7804915010795";"26767";"SHAMPOO-SHOWER GEL FROZEN 300 ML";"4"
"7804920003065";"27890";"JABON LIQ BALLERINA COCO/JAZM 750 ML DP";"58"
"7793100151224";"30066";"CEPILLO DENTAL COLGATE RABBIT";"45"
"7509546004471";"30355";"DESODORANTE LADY SPEED STICK WILD FREESIA 45 GR";"18"
"7794626011252";"60464";"APOSITO PLENITUD 20UN";"3"
"7506309840024";"300883";"SHAMPOO PANTENE HIDRATACION EX 400ML";"25"
"7804920350664";"303086";"JABON LIQ BALLERINA HIPOALERGENICO 350ML FCO";"40"
"7896015530181";"5009305";"CEPILLO DENTAL SENSODYNE SUAVE UNIT";"52"
"7804920350893";"5009439";"JABON LIQ BALLERINA HIPOALERGENICO 750 ML DP";"37"
"7501001303518";"5010398";"ACONDICIONADOR PANTENE CONTROL CAIDA 400ML";"11"
"4005808588961";"778431793";"CREMA DE AFEITAR NIVEA SENS 100ML";"10"
"7891024316191";"778432446";"CEPILLO COLGATE 360 MEDIO PACK X2";"7"
"7891024034095";"778432451";"PASTA COLGATE KIDS FRUTILLA 50G";"23"
"7509546700434";"778432760";"PASTA COLGATE LUMINUS WHITE COLOR 70 GR";"47"
"7791293049465";"778432783";"DESODORANTE REXONA MEN INVISIBLE 150ML";"44"
"7804902039617";"778433117";"TALCO PARA PIES BROOKS CARBON ACTIVE 120G";"8"
"4005808829675";"778433281";"DESODORANTE NIVEA LADY ACL NAT 150ML";"18"
"6946357134927";"778433512";"CEPILLO VIAJERO LOTUS DEEP CLEAN INDICADOR";"36"
"7804907972322";"778433753";"RAYITO DE SOL FCT30 90ML ZANAHORIA";"1"
"7804918451649";"778433769";"COPA MENSTRUAL BENTLEY TALLA S";"2"
"7804915514712";"778434139";"SHAMPOO KIDS 3 EN 1 PAW PATROL 350ML";"10"
"7804915517867";"778434141";"ACONDICIONADOR KIDS PAW PATROL 300ML";"3"
"7702018874729";"800000274";"PACK X2  GILLETTE PRESTOBARBA 3 ";"57"
"020800600347";"800000395";"TAMPONES TAMPAX SUPER PLUS 10 UNDS";"15"
"7702010630422";"800001074";"CEPILLO COLGATE EXTRA CLEAN X2 ";"48"
"7702026177140";"800001077";"PROTECTOR LACTANCIA NOSOTRAS X20 UNDS";"3"
"7804945001053";"800001521";"JABON LIQUIDO SIMONDS AFRECHO 340 ML";"21"
"7804945005242";"800001597";"COLONIA BEBE AMMENS OSO 195 ML";"7"
"6946357133166";"800001998";"CEPILLO VIAJERO LOTUS DEEP CLEAN CLASSIC";"42"
"7730219021390";"800002377";"JABON LIQUIDO ELITE HUMECTANTE 700ML DP";"85"
"7792640000269";"800002494";"SHAMPOO CAPILATIS CABELLO GRASO 410 ML";"12"
"4005900036605";"800002497";"DESODORANTE NIVEA LADY B&W PURE 150ML";"15"
"7896018700628";"800002807";"TOALLITA HUMEDA HUGGIES LIMP EFECT 48U";"131"
"7805000166885";"800003525";"JABON LIQUI DOVE ORIGINAL 700 ML";"24"
"7806500982098";"800003751";"SET MASCARILLAS ELITE 4 UNDS";"6"
"7804915011327";"800003990";"SHAMPOO 3 EN 1 BABY SHARK 350 ML";"1"
