Cod_Barra;PLU;Nombre;Ventas_Total
"10";"10";"POSTA ROSADA  CAT V NACIONAL KG";"2015.9269999999995"
"14";"14";"HIGADO DE VACUNO";"583.3770000000002"
"32";"32";"CHULETA CENTRO DE CERDO rtc";"1277.7350000000004"
"75";"75";"COSTILLAR DE CERDO";"960.741"
"98";"98";"PLATEADA  CAT V";"66.128"
"166";"166";"LOMO VETADO VACUNO CAT V";"374.4000000000001"
"188";"188";"TAPABARRIGA CATEGORIA V NACIONAL";"200.874"
"271";"271";"HUACHALOMO DE VACUNO CAT V";"681.6039999999999"
"275";"275";"ABASTERO DE VACUNO CAT V";"223.52599999999998"
"507";"507";"CAZUELA DE CERDO KG";"126.47200000000002"
"561";"561";"GANSO  CAT V NACIONAL";"666.0690000000001"
"566";"566";"POSTA PALETA CAT V NACIONAL";"6.542"
"778";"778";"LOMO LISO VACUNO CAT V";"785.1860000000004"
"790";"790";"LOMO CENTRO DE CERDO";"1056.597"
"7801909001975";"798";"LOMO LISO TOROBAYO 300G";"2"
"828";"828";"LOMO LISO CAT U NACIONAL";"1814.8830000000007"
"934";"934";"LOMO VETADO CAT U NACIONAL";"694.8040000000002"
"972";"972";"POSTA PALETA CAT V ";"295.108"
"990";"990";"POSTA NEGRA CAT V PROPIA KG";"2"
"7780";"7780";"CORAZON VACUNO";"13.702000000000002"
"10901";"10901";"PATA VACUNO";"104.308"
"13299";"13299";"ASIENTO PICANA";"1667.6200000000006"
"5";"5";"ASADO DE TIRA MESON RTC";"260.62799999999993"
"12";"12";"SOBRECOSTILLA CATEGORIA V  rtc";"875.0720000000001"
"19";"19";"OSOBUCO PIERNA DE VACUNO ";"664.3150000000002"
"51";"51";"CHULETA VETADA ";"1584.4989999999998"
"78";"78";"TRUTRO ENTERO  POLLO ";"9136.048000000003"
"147";"147";"PIERNA DE CERDO";"154.466"
"167";"167";"FILETE CATEGORIA  V. rtc";"277.49000000000007"
"247";"247";"PECHUGA ENTERA DE POLLO";"4500.1309999999985"
"274";"274";"ASADO DEL CARNICERO CAT V";"218.32700000000006"
"297";"297";"PALETA DE CERDO";"264.99"
"559";"559";"CHOCLILLO CAT V";"158.64900000000003"
"565";"565";"POSTA NEGRA CAT V NACIONAL";"2060.1330000000003"
"575";"575";"TAPAPECHO VACUNO CAT V";"38.88500000000001"
"779";"779";"POLLO GANSO CAT V";"280.9549999999999"
"797";"797";"PECHUGA DESHUESADA POLLO";"7347.950000000002"
"812";"812";"PULPA PIERNA CERDO KG";"170.62599999999998"
"890";"890";"TRUTRO ALA  POLLO";"1272.1140000000003"
"971";"971";"PUNTA PALETA CAT V  PROPIO";"24.834"
"973";"973";"POLLO BARRIGA CAT V PROPIO";"10.176"
"996";"996";"LOMO LISO CAT U PORCIONADO";"37.914"
"8910";"8910";"ENTRANA CAT U";"244.66499999999996"
"10902";"10902";"RIÑONES VACUNO KG";"7.158"
