Cod_Barra;PLU;Nombre;Ventas_Total
"7803960000072";"24378";"AVENA TRADICIONAL OSO 500GR ABT";"248"
"7800120166777";"24749";"CEREAL MONO CHOC 260GR";"38"
"7802420007927";"24946";"CEREAL COLA CAO CHOCO MINI PILLOWS 350 GRS";"92"
"745853842901";"36250";"CEREAL PUFF KUNA PERA ESPINACA 50GR ";"10"
"659525149437";"36252";"CEREAL PUFF KUNA FRUTILLA BETARRAGA 50 GR";"40"
"659525149413";"36254";"CEREAL PUFF KUNA PLAT-ZAPALLO 50G";"22"
"659525149420";"36256";"CEREAL PUFF KUNA PLATANO ZAPALLO 10GR";"80"
"0659525149444";"36366";"CEREAL PUFFS KUNA FRUTILLA BETARRAGA 10GR";"23"
"7702103130068";"303049";"CEREAL FROOT LOOPS 270 GRS";"72"
"7802420007958";"303223";"CEREAL MANJAR PILLOWS COLA CAO 350 GRS";"135"
"2007785000100";"778431677";"MUESLI MAQUI/MANZANA SIEMPREBERRIES 400G";"18"
"6301618000043";"778433612";"BARRITA ENERGETICA TERRANUT XTREM 55G";"116"
"6301618000005";"778433614";"BARRITA ENERGETICA TERRANUT ANTIOX 55G";"74"
"8445291296442";"800001276";"CEREAL TRIX 250 GRS.";"82"
"2007785000216";"800002207";"MUESLI FRAMBUESA PLATANO SIEMPRE BERRIES 400G";"12"
"2007585000287";"800003657";"MUESLI MURTA ARANDANO SIEMPRE BERRIES 400G";"21"
"6301618000135";"800004080";"GRANOLA PARA DIABETICOS 330G TERRANUT";"16"
"6301618000821";"800004115";"AVENA INTEGRAL TERRANUT 400G";"68"
"6301618000142";"800004118";"GRANOLA SESAMO CANELA 330GR TERRANUT";"110"
"7803908007187";"800004155";"DISPLAY X12 BARRA CEREAL GUALLARAUCO ARAND/MAQUI";"15"
"7803908007194";"800004157";"DISPLAY X12 BARRA CEREAL GUALLARAUCO ZAN/NAR";"8"
"7804000001431";"800004942";"CEREAL EN LINEA HOJUELAS CHOCOLATE 330 GRS";"8"
"7804000001646";"800004945";"CEREAL EN LINEA HOJUELAS MAIZ 330 GRS";"21"
"7804000001837";"800004947";"CEREAL EN LINEA KIDS FRUTAL 330 GRS";"28"
"7804000001851";"800004949";"CEREAL EN LINEA INFLADO MAIZ 300 GRS";"25"
"7804000002100";"800004952";"CEREAL EN LINEA PROTEINA 300 GRS";"30"
"7804000001677";"800004958";"CAJA BARRA CEREAL EN LINEA CHOCOLATE 90 GRS";"75"
"7804000002223";"800004960";"CAJA BARRA CEREAL EN LINEA CRANBERRY 90 GRS";"9"
"7804000002049";"800004962";"CAJA BARRA CEREAL EN LINEA CREMA AVELL 120 GRS";"42"
"7804000002483";"800004964";"CAJA BARRA PROTEINA EN LINEA CHOCOLATE 200 GRS";"35"
"7804000001998";"800004966";"GRANOLA EN LINEA ALMENDRAS 320 GRS";"80"
"7804000002759";"800004969";"GRANOLA EN LINEA PROTEINA ALMENDRAS 320 GRS";"26"
"7804000002117";"800004971";"MUESLI EN LINEA FRUTAL 700 GRS";"36"
"6301618000814";"800005174";"MUESLI TERRANUT VITAM FRUTALES 500 GRS";"24"
"7802215301636";"800005307";"SET X5 BARRA PROTEIN VIVO CHOCOLATE 40GR";"27"
"7802000014963";"800005379";"AVENA QUAKER TRADICIONAL 700 GR";"12"
"7804646450228";"800005922";"ESTUCHE X4 BARRITA NATURAL MIZOS ARANDANO";"33"
"793969039043";"800006161";"GRANOLA GRANOLERA CACAO DOYPACK 350 GRS";"151"
"793969039067";"800006163";"GRANOLA GRANOLERA TRADICION DOYPACK 350 GRS";"73"
"793969039081";"800006165";"GRANOLA GRANOLERA POLINESIA FRASCO 350 GRS";"2"
"793969039104";"800006167";"GRANOLA GRANOLERA CACAO FRASCO 500 GRS";"10"
"793969039128";"800006169";"GRANOLA GRANOLERA TRADICION FRASCO 500 GRS";"3"
"793969039159";"800006171";"GRANOLA GRANOLERA POLINESIA SACHET 30 GRS";"42"
"8445291296732";"800006489";"CEREAL CHOCAPIC 260 GRS";"197"
"793969039272";"800007054";"MIX TRAIL GRANOLERA CIMA DOYPACK 350 GRS";"26"
"7804000003602";"800007087";"CAJA BARRA PROTEINA EN LINEA ENERGY CHOC 4U";"17"
"7804673913949";"800007374";"SET X5 BARRA WILD PROTEIN LEMON PIE";"16"
"7804673910252";"800007376";"SET X5 BARRA WILD PROTEIN CARAMELO";"29"
"7804673910900";"800007378";"SET X5 BARRA WILD PROTEIN NARANJA BITTER";"15"
"7802215167034";"800007402";"CEREAL MONO ROLLS 230 GRS";"72"
"7804660621000";"800007512";"CEREALES PURI CHOCO POPS 220 GRS";"12"
"7702103130150";"800007643";"CEREAL CORN FLAKES 410 GRS";"81"
"7804673913932";"800007777";"BARRA WILD PROTEIN LEMON PIE 45 GRS";"6"
"7804673910863";"800007779";"BARRA WILD PROTEIN CAFÉ MOKKA 45 GRS";"6"
"7804673910245";"800007820";"BARRA WILD PROTEIN CARAMELO";"2"
"7804676870188";"800007997";"BARRA PROTEINA UNDER FIVE SALTED PEANUT 45 GRS";"71"
"7804676870027";"800008358";"BARRA PROTEINA UNDER FIVE CACAO MANI 45 GRS";"21"
"7804676870041";"800008360";"BARRA PROTEINA UNDER FIVE MANI MIEL 45 GRS";"76"
"8445291197121";"800008594";"CEREAL MILO MINI 330 GRS";"16"
"7702103130143";"1017";"CEREAL ZUCARITAS 200 GRS";"104"
"7803960000362";"24383";"AVENA INSTANTANEA OSO 500GR";"630"
"8445291296473";"24787";"CEREAL ZUCOSOS 270 GRS";"35"
"7802215166785";"26643";"CEREAL MONO CRUNCH ROLLS 200 GRS";"64"
"793969002535";"36251";"CEREAL PUFF KUNA CACAO 50GR";"23"
"658325670820";"36253";"CEREAL PUFF KUNA MANZANA ARANDANO 10 GRS";"105"
"793969002542";"36255";"CEREAL PUFF KUNA CACAO 10GRS";"113"
"745853842918";"36257";"CEREAL PUFF KUNA PERA ESPINACA 10GR";"47"
"7800120170170";"300785";"AVENA VIVO INSTANTANEA 700 GRS";"109"
"7802420007934";"303222";"CEREAL CHOCO PILLOWS COLA CAO 350G";"210"
"7702103130129";"5009556";"CEREAL ZUCARITAS 610 GRS";"52"
"6301618000357";"778433339";"AVELLANA NATIVA TERRANUT 100 GRS";"72"
"6301618000029";"778433613";"BARRITA ENERGETICA TERRANUT VEGAN 55G";"77"
"8445291297142";"800000069";"CEREAL MILO 240 GRS";"130"
"7802000017858";"800002156";"AVENA QUAKER TRADICIONAL 400 GR";"13"
"7802000017865";"800002241";"AVENA QUAKER INTANTANEA 400 GRS";"57"
"6301618000012";"800004078";"BARRITA ENERGETICA TERRANUT DETOX 55G";"82"
"6301618000128";"800004081";"GRANOLA MIX AURICO 330G TERRANUT";"53"
"6301618000111";"800004117";"GRANOLA DETOX 330GR TERRANUT";"10"
"6301618000807";"800004124";"MUESLI TERRANUT 600 GRAMOS";"7"
"7803908007200";"800004156";"DISPLAY X12 BARRA CEREAL GUALLARAUCO MANG/MAR";"5"
"7804000001448";"800004941";"CEREAL EN LINEA BOLITAS 330 GRS";"18"
"7804000001462";"800004943";"CEREAL EN LINEA KIDS BOLITAS 330 GRS";"16"
"7804000001653";"800004946";"CEREAL EN LINEA KIDS HOJUELAS MAIZ 330 GRS";"15"
"7804000001875";"800004948";"CEREAL EN LINEA INFLADO TRIGO 300 GRS";"17"
"7804000001868";"800004950";"CEREAL EN LINEA INFLADO ARROZ 300 GRS";"21"
"7804000002926";"800004953";"CEREAL EN LINEA PROTEINA VEGANO 300 GRS";"15"
"7804000001691";"800004959";"CAJA BARRA CEREAL EN LINEA MANZANA 90 GRS";"79"
"7804000002056";"800004961";"CAJA BARRA CEREAL EN LINEA ALMENDRA COCO 120 GRS";"43"
