Cod_Barra;PLU;Nombre;Ventas_Total
"7802107001705";"800008161";"SIX PACK CERVEZA KUNSTMANN LAGER BLANC 330 CC";"23"
"7802107000913";"800001973";"PACK X6 CERVEZA KUNSTMANN VALDIVIA 330 CC";"20"
"7802100006424";"800007547";"SIX PACK LEMON STONES SANDÍA LATA 350 CC";"16"
"7802100005991";"800006848";"SIX PACK CERVEZA LATA LEMON ST BERRIES 350 CC";"71"
"7891991305686";"800005959";"SIX PACK CERVEZA CORONA CERO 330 ML";"44"
"7802107001255";"800005471";"PACK X4 CERV KUNSTMANN VALDIVIA 473 CC LATA";"861"
"7802100001573";"800004898";"SIX PACK LEMON STONE MANGO LATA 350CC";"46"
"7802107001170";"800004852";"PACK X4 CERVEZA KUNSTMANN TOROBAYO LATA 470CC";"551"
"7809634100192";"40185";"PACK CERV AUSTRAL PATAG LAR 4X330CC";"15"
"7802100002532";"800004391";"SIX PACK LEMON STONES MARACUYA LATA 350 CC";"79"
"7802100002754";"800001219";"PACK X6 CERVEZA ROYAL LATA 470 CC";"84"
"7802130001765";"800003289";"PACK X6 CERVEZA STELLA ARTOIS 473 CC";"101"
"7804615340413";"800003202";"PACK 4 UNDS CERVEZA KROSS 5 ANOS 330 CC";"7"
"7802130002922";"800003041";"PACK CERV. CUSQUENA LATA GOLD 473ML X6";"106"
"7802130002496";"800003004";"PACK X6 CERV BUDWEISER 473CC LATA";"258"
"7802100003539";"800001072";"PACK X6 CERVEZA COORS LATA 470CC";"50"
"7802100003553";"800001040";"PACK X6 CERVEZA HEINEKEN 470CC LATA";"297"
"7802130002274";"800000262";"PACK CORONA 330 ML X 6 UNDS";"85"
"7802100003249";"700045";"CERVEZA COORS 1873 X 6 355CC";"81"
"7802107000210";"778431916";"PACK X 4 CERVEZA KUNSTMANN 330CC MIEL ";"28"
"7804615340260";"4952";"PACK 4 UNDS KROSS MAIBOCK 330CC";"37"
"7802107000487";"778431988";"PACK CERVEZA KUNSTMANN IPA 330 CCX4";"14"
"7792798012947";"778433253";"PACK X6 CERVEZA QUILMES LATA 473CC";"268"
"8410793262837";"778432805";"PACK CERVEZA DAURA S/GLUT 4X330ML";"1"
"7802100003294";"778432547";"PACK CERVEZA HEINEKEN S/ALCOHOL 6X330CC";"113"
"7804615340055";"4955";"PACK 4 UND KROSS PILSNER 330CC";"12"
"7804615340031";"40207";"PACK CERVEZ KROSS STOUT 4X330ML";"15"
"7802100505583";"40200";"PACK BOT ROYAL 6X330CC";"139"
"7802100505354";"4103";"PACK CERVEZA CRISTAL LAGER LATA 6 X 470CC";"121"
"7802100001139";"4803";"PACK CRISTAL CERO X 6 UNDS 350 CC";"90"
"7802100505378";"4709";"PACK ESCUDO X 6 UNDS 470CC";"114"
"7802107001354";"4896";"PACK CERVEZA KUNSTMANN LAGER X 4 UNDS 330CC";"22"
"7802107000272";"5011179";"PACK KUNSTMANN S/ALCOHOL 4X330CC";"81"
"7802100106094";"4644";"SIX PACK LEMON STONES LATA 350 CC";"108"
"7809634100079";"40186";"PACK CERVE CALAFATE AUSTRAL 4X330CC";"14"
"7804615340024";"4863";"CERVEZA KROSS GOLDEN 330 X4";"52"
"7802100001122";"4893";"PACK BOT CRISTAL CERO X 6 UNDS 355 ML";"36"
"7802100002730";"5011012";"PACK CERVEZA CRISTAL CERO RADLER BOT 355CC";"53"
"7802100002723";"98754";"PACK 6 CRISTAL CERO RADLER 350CC";"119"
"7802107001378";"4880";"PACK CERVEZA KUNSTMANN BOCK X 4 UNDS";"14"
"7802107001408";"4879";"PACK X 4 CERVEZA KUNSTMANN TOROBAYO ";"30"
"034100175054";"4775";"PACK X6 CERVEZA MILLER BOTELLIN 330CC";"18"
"7802100006097";"4081";"CERVEZA LATA LEMON STONES 350CC.lvb";"164"
"7802100505323";"4102";"CERVEZA CRISTAL LATA 470CC";"85"
"7802130003394";"4646";"CERVEZA QUILMES LATA 710 CC";"798"
"7802100505347";"4672";"CERVEZA ESCUDO LATA 470CC";"209"
"7809634100048";"4723";"CERVEZA AUSTRAL CALAFATE 330 CC";"13"
"7802107001330";"4744";"CERVEZA KUNSTMANN LAGER 330 CC";"18"
