Cod_Barra;PLU;Nombre;Ventas_Total
"78012523";"15042";"PALL MALL AZUL SOFT X 20";"537"
"78024878";"15050";"LUCKY STRIKE CLICK & ROLL HL 20";"242"
"78016293";"15077";"LUCKY STRIKE C&R 10";"140"
"78025035";"15097";"PALL MALL CLICK ON X 20 UNDS";"296"
"78019041";"15127";"PALL MALL X 10 BOX CLICK ON";"120"
"78019324";"15131";"LUCKY STRIKE BLUE X 20 SIN AD";"612"
"78025271";"15133";"KENT TUBE BLUE 20";"185"
"78028050";"15135";"PALL MALL GRIS X 20";"221"
"78025066";"15200";"PALL MALL SUNSET XL 20";"14"
"78028791";"15203";"LUCKY STRIKE COMPACT CLICK X20";"495"
"78028043";"15301";"PALL MALL AZUL HL BOX X20";"342"
"78029071";"60772";"PALL MALL SUNRISE X 20";"418"
"78026551";"78452";"LUCKY PATTERSON ROJO BLANDO  X20";"172"
"78025240";"300935";"LUCKY STRIKE FRESH TWIST";"28"
"78022010";"5008680";"LUCKY STRIKE WILD 10";"28"
"78018846";"5010198";"PALL MALL ROJO HL 10";"58"
"78025295";"5010927";"KENT ISWITCH X 20 ";"98"
"78026414";"78026414";"KENT NEO ROSE";"188"
"78024892";"778432176";"LUCKY STRIKE DOBLE CLIC CRUSH 20";"130"
"78024717";"780455149";"LUCKY STRIKE WILD 20";"103"
"7803800003102";"800007095";"TABACO PICADO LUCKY GALPAO";"35"
"78031258";"800007157";"PALL MALL AZUL 18S";"207"
"78033719";"800007267";"VAP VUSE GO 3000 WATERMELON ICE";"8"
"78033481";"800007562";"VAP VUSE GO 1000 RAPSBERRY";"6"
"78033450";"800007598";"LUCKY STRIKE AMBER XTEND 20UNI";"163"
"78026513";"10534";"LUCKY BLUE SIN AD BL X20";"610"
"78012578";"15043";"PALL MALL ROJO SOFT X20";"179"
"78025288";"15062";"KENT ONE WHITE X 20 ";"539"
"78025059";"15092";"PALL MALL BOOST XL";"556"
"78021020";"15126";"KENT BELMONT BLCO 10";"128"
"78019065";"15128";"PALL MALL MENTA X10 UND BOX";"178"
"78019317";"15132";"LUCKY STRIKE RED X 20 SIN AD";"176"
"78026384";"15134";"KENT BELMONT NEO 20";"399"
"78028074";"15138";"LUCKY STRIKE BLUE BOX X 20";"179"
"78028814";"15202";"LUCKY STRIKE CC FRESH WILD X20";"101"
"78031265";"15296";"PALL MALL ROJO X18";"30"
"78031883";"46514";"KENT NEO SPLASH 20";"9"
"78030442";"65302";"LUCKY STRIKE ECLIPSE 20";"116"
"78025332";"300008";"KENT TUBE SILVER 20";"464"
"78031678";"595670";"VAP VUSE GO 1000 BERRY BLEND";"10"
"78018853";"5010142";"PALL MALL AZUL X 10";"394"
"78025318";"5010926";"KENT IBOOST X 20";"98"
"78025219";"78025219";"KENT IKON MIX X20";"259"
"78026438";"78026438";"KENT NEO TROPIC";"265"
"78024403";"778432177";"LUCKY STRIKE DC CRUSH 10";"34"
"78031135";"800006883";"KENT ACTRON 20";"91"
"7803800003096";"800007096";"TABACO LUCKY TABACO PICADO ";"56"
"78033726";"800007262";"VAP VUSE GO 3000 STRAWBERRY ICE";"16"
"78033795";"800007268";"VAP VUSE GO 3000 RASPBERRY";"9"
"78032750";"800007569";"VAP VUSE GO 1000 GREEN APPLE";"13"
"78031593";"800007722";"VAP VUSE GO 5000 MANGO ICE";"7"
