Cod_Barra;PLU;Nombre;Ventas_Total
"799192630316";"800007999";"SANDWICH VEGETAL MECHADA VEGY 250GR";"31"
"799192630323";"800008001";"SANDWICH MIGA QUESO VEGETAL VEGY 130GRS";"11"
"613";"613";"EMPANADA ANTICUCHO P. VARAS";"412"
"618";"618";"EMPANADA CAMARON AJILLO P. VARAS";"348"
"620";"620";"EMPANADA CHAMPIÑON QUESO P. VARAS";"285"
"622";"622";"EMPANADA CAMARON QUESO P. VARAS";"792"
"627";"627";"EMPANADA JAMON QUESO P. VARAS";"312"
"630";"630";"EMPANADA POLLO QUESO P. VARAS";"390"
"632";"632";"EMPANADA QUESO P. VARAS";"352"
"635";"635";"EMPANADAS ROLL (CHAPARRITA) P. VARAS";"683"
"640";"640";"EMPANADA CHEESECAKE FRAMBUESA P. VARAS";"90"
"651";"651";"EMPANADA MEMBRILLO MURTA P.VARAS";"182"
"799192646904";"70542";"BOWL MECHADA VEGY";"19"
"07363727060102";"800006645";"SANDWICH APETITOSO BURGER 300 GRS NETO VEGY";"19"
"736372706126";"800006647";"SANDWICH MIGA PIMENTÓN 130 GRS VEGY";"12"
"800007953";"800007953";"SUSHI ROLL CHIMICHURRI (10 PIEZAS)";"89"
"800007957";"800007957";"SUSHI ROLL CALIFORNIA SAKE (10 PIEZAS)";"127"
"800007993";"800007993";"SALSA TEREYAKI 460 CC";"5"
"799192715969";"800008000";"SANDWICH VEGETAL DOBLE QUESO 180GR";"17"
"612";"612";"EMPANADA ACEITUNA QUESO P. VARAS";"261"
"615";"615";"EMPANADA BARROS LUCO P. VARAS";"901"
"619";"619";"EMPANADA CAMARON CHAMPIÑON P. VARAS";"201"
"621";"621";"EMPANADA CARNE MERKEN P. VARAS";"1081"
"623";"623";"EMPANADA CARNE P. VARAS";"2648"
"629";"629";"EMPANADA NAPOLITANA P. VARAS";"624"
"631";"631";"EMPANADA PRIETA QUESO P. VARAS";"127"
"634";"634";"EMPANADA VEGETARIANA P. VARAS";"218"
"638";"638";"EMPANADA PASTEL CHOCLO P, VARAS";"341"
"645";"645";"EMPANADA MANZANA NUEZ P. VARAS";"127"
"736372706096";"70541";"BOWL BURGER VEGY";"14"
"778434457";"778434457";"MIX SUSHI 15 BOCADOS";"569"
"07363727060119";"800006646";"SANDWICH EXQUISITO BURGER 300 GRS NETO VEGY";"10"
"800007952";"800007952";"SUSHI ROLL ACEVICHADO (10 PIEZAS)";"134"
"800007956";"800007956";"SUSHI ROLL AVOCADO (10 PIEZAS)";"131"
"800007962";"800007962";"HOSOMAKI SAKE (6 PIEZAS)";"105"
"800007994";"800007994";"JENGIBRE BLANCO PARA SUSHI KINOA NIKEI 460 CC";"2"
