Cod_Barra;PLU;Nombre;Ventas_Total
"4008400221021";"800002863";"PACK X 10 CHOCOLATE KINDER MAXI 21GR";"102"
"4017602700722";"800007277";"CARAMELOS COMPASS CLASSIC FRUTOS DEL BOSQUE";"30"
"78930193";"800007308";"CHOCOLATE BATON DUO 16G";"153"
"8436556395581";"800007315";"GOMITAS TROLLI OCTOPLUS BLUE 80 GRS";"93"
"8445291790001";"800007337";"CHOCOLATE TABL SAVORY CHOCOLITO 88 GRS";"62"
"7702011165442";"800007370";"BOLSA MASTICABLE NUTTINO 100 UNDS";"3"
"7891000409640";"800007430";"CHOCOLATE TABLETA CHOCOTRIO PRESTIGIO 90 GRS";"33"
"8684154701208";"800007432";"MINI CONE WAFINO HAZELNUT 100 GRS BOLSA";"60"
"7790580429966";"800007471";"CHICLE BIGTIME VIBRANMINT POTE 50G";"11"
"7802245000882";"800007478";"CUCHUFLI BITTER ENTRELAGOS 57GR";"69"
"7802245000837";"800007480";"CUCHUFLI BITTER S/A ENTRELAGOS 54GR";"32"
"8906071884612";"800007496";"POTE KING POP MABU PINTALENGUAS SURTIDOS";"6"
"7804654941046";"800007501";"CHOCOLATE TABL DULCE LLUVIA PISTACHO LECHE 50GRS";"13"
"7804654941060";"800007503";"BOMBONES DULCE LLUVIA PISTACHO LECHE 30G";"33"
"7804654941084";"800007505";"ALFAJOR DULCE LLUVIA PISTACHO LECHE 50 GRS";"116"
"745853529161";"800007552";"ALFAJOR DULCE SAN VALENTIN SELVA NEGRA 50G";"139"
"4000417626011";"800007594";"CHOCOLATE RITTER AMARGO EXTRA FINO 100 GRS";"32"
"7908228807490";"800007656";"GOMITAS FRUTILLAS FINI 80G";"221"
"2007781001644";"800007709";"CUCHUFLI TDS BITTER 55%";"145"
"7802245001391";"800007742";"CHOCOLATE PURO ENTRELAGOS S/AZUCAR 185GR ";"17"
"8495390951568";"800007850";"BOMBON VALENTTE T-18 225 GRS CAJA CUADRADA";"54"
"7899970400452";"800007879";"CHOCOLATE AIREADA 85G BR HERSHEYS";"255"
"7899970402807";"800007881";"CHOCOLATE BLANCO 4X18X82GR HERSHEYS";"132"
"7899970402814";"800007884";"CHOCOLATE HERSHEYS LECHE 82 GR ";"63"
"7899970402821";"800007886";"CHOCOLATE EXTRA CREMOSO 82G BR HERSHEYS";"143"
"7899970400940";"800007890";"CHOCOLATE SPECIAL DARK NARANJA 85G HERSHEYS";"52"
"7899970401657";"800007892";"CHOCOLATE  SPECIAL DARK ORIGINAL 73%  85G HERSHEYS";"84"
"6936756285214";"800007908";"GOMITAS DE ROBOTS AMOS 100G AMOS";"76"
"7908228802761";"800007921";"TUBOS FINI FRUTAS SILV Y CREMA ACIDA 80G";"212"
"8682077009357";"800007950";"BOMBONES RELLENOS VANELLI CARAMELO CON CREMA SABOR LECHE 120GR ";"24"
"7802215104817";"800007972";"CHOCOLATE LENGUA DE GATO COSTA 120 G";"68"
"799192092602";"800007976";"CALUGAS DE LECHE VALQUILLO 100GR";"44"
"7802245009182";"800008062";"HUEVO CHOCOLATE LECHE ENTRELAGOS70G";"7"
"7802245001841";"800008066";"CONEJO MIRA CHOC SIN AZUCAR 120G";"15"
"7802245000929";"800008068";"CONEJO ALFRED BITTER ENTRELAGOS 85GR";"14"
"7804654940957";"800008115";"BEBÉ CONEJO CON QUINOA POP";"42"
"7804654941022";"800008120";"HUEVO CHOC VEGANO 54% S/AZUCAR 1OO G";"15"
"7804654940971";"800008122";"SURTIDO FIGURITAS ZANAHORIA PASCUA 100 G";"20"
"7804654941008";"800008127";"CONEJO CHOC VEGANO 54% S/AZUCAR 65G";"15"
"2007781004201";"800008159";"CONEJA GRANDE TDS 350GR ";"3"
"7899970402852";"800008207";"CHOCOLATE HERSHEYS COOKIES AND CREAM 77 GRS";"102"
"2007781004911";"800008224";"NIDO BAMBU CONEJO TDS 130G ";"8"
"5900189010898";"800008293";"ESTUCHE CUADRADITOS SABOR PISTACHO 200 GRS";"7"
"7802215104091";"800008354";"CHOCOLATE D/LECHE COSTA RAMA 240 GRS";"22"
"5413121372744";"800008356";"CHOCOLATE BELGIAN PRALINES MANGO 195 GR";"6"
"7802225512770";"800008371";"BOMBON BON O BON CORAZON 105 GRS";"120"
"610985578564";"800008374";"GALLETON DE CACAO PETIT";"60"
"7800000162110";"800008376";"ALFAJOR DE RON PETIT";"69"
"610985578618";"800008429";"GALLETON CHIA SESAMO QUINOA PETIT";"76"
"7802245003814";"800008514";"MAZAPAN ENTRELAGOS CHOCO BLANCO 55GR";"17"
"7802245001438";"800008516";"CHOCOLATE PURO ENTRELAGOS MIX 185GR";"12"
"7908228807506";"800008520";"GOMITAS AROS FRUTILLAS ACIDAS FINI 90G";"52"
"78034389";"800008533";"CHICLE BIGTIME BUBBLE FUN 11 GR";"236"
"2007781004348";"800008589";"CHOCOLATE CAMISETA PELOTA T DEL SUR 115GR";"1"
"2007781004942";"800008591";"PALETA U CHILE T DEL SUR 40GR";"9"
"2007781004393";"800008593";"CHOCOLATE PELOTA T DEL SUR 100GR";"2"
"7891000248768";"3014";"CHOCOLATE KIT KAT NESTLE 41.5 GRS";"267"
"7613030612339";"3060";"SUPER 8 29GR C";"3649"
"7790580587901";"3226";"HUEVO PASCUA PANUELO BON O BON 55 GRS";"47"
"78005624";"3324";"CHICLE BIGTIME MENTA FRESCA 10GRpcr";"693"
"78011748";"3345";"CHICLE BIGTIME AQUA 10GRpcr";"350"
"7702174084062";"3423";"CHUPETE FLIPY AMBROSOLI 208 GRS";"14"
"7802200136939";"3428";"FRUGELE AMBROSOLI 430 GR pcr";"138"
"7802215121470";"3450";"CHOCOLATE BAMBINO COSTA 80GR. PCR";"37"
"7802215124693";"3485";"CHOCOLATE COSTA RAMA BLANCO  115  GRS pcr";"70"
"3612";"3612";"CHUPETE UNIDAD";"11"
"7790580412449";"3680";"HUEVO CHUBI PANUELO 110 GRS";"22"
