Cod_Barra;PLU;Nombre;Ventas_Total
"7809611719171";"601120";"SALMON AQUA TZ 500G";"53"
"7801300004049";"789462";"ARROLLADO PRIMAVERA FRUTOS DEL MAIPO 320 GR";"25"
"7801970001683";"894557";"CUBITO LLANQUIHUE CERDO 300GRS";"63"
"7809611701268";"5009411";"CHOCLO TIERNO LA CRIANZA 400GR";"408"
"7809611701282";"5009433";"ARVEJAS TIERNAS LA CRIANZA 400G";"117"
"7809611713476";"5011278";"HAMBURGUESA SOYA 100GR LA CRIANZA";"201"
"7801930015651";"5011915";"PIZZA POLLO CONG BBQ RDA";"110"
"7893000801523";"5011932";"PIZZA C/JAMON QUES MOZZAR CHAMPIG Y AC 460GR SADIA ";"110"
"7893000801608";"5011934";"PIZZA CHORIZO 460 GR SADIA ";"85"
"7809611710994";"5012055";"TIRITAS DE PECHUGA DE POLLO 700GR";"135"
"7809611714398";"778432463";"EMPANADA APERITIVO ACEITUNA 460GR CRIANZA";"19"
"7801510100050";"778433031";"SALMON CARPACCIO VONFACH 150G";"96"
"7801970000440";"778433899";"HAMB PREMIUM 600GR X 6UN LLANQUIHUE";"57"
"7801220005560";"800006554";"PAPAS FRITAS FINAS  2.5 KG  MINUTO VERDE ";"96"
"7809611722034";"800007721";"PECHUGA DESHUESADA 750GRS SUPER POLLO";"178"
"7801220002415";"800007724";"CHOCLO TIERNO MINUTO VERDE PREMIUM 400GR";"306"
"7801220013312";"800007726";"ESPARRAGO MINUTO VERDE PREMIUM 350GR";"28"
"7801220002552";"800007728";"POROTO VERDE MINUTO VERDE PREMIUM 400GR";"149"
"7809611701121";"800007732";"ESTUCHE HAMBURGUESA LA CRIANZA POLLO 1 KILO";"14"
"7891515537968";"800007769";"LASAGNA SADIA BOLOGNESA 350GRS ";"69"
"7801909000565";"800008030";"HAMB. PAMPAVERDE VAC 100G ";"39"
"7801909002224";"800008032";"HAMB. PAMPAVERDE VAC SMOKE 100G";"64"
"7801909002286";"800008034";"HAMB. PAMPAVERDE VAC TREX 185G ";"81"
"7801909002835";"800008036";"CHULETA CENTRO DE CERDO PV 200G ";"14"
"7801909002583";"800008038";"CHURRASCO DE VACUNO POSTA 120G";"33"
"7801909002866";"800008041";"CHINCHULIN AL CHIMICHURRI 400G";"7"
"7801220006130";"800008060";"PULPA MARACUYA MINUTO VERDE 500GR";"54"
"7801220801223";"800008287";"ENSALADA JARDINERAMINUTO VERDE 500GR";"73"
"7891515476137";"800008382";"GOLDEN CHICKEN TRADICIONAL SADIA 300GR";"22"
"7893000014435";"800008384";"CHICKEN FINGERS SADIA 480GR";"34"
"7802926411013";"800008434";"POSTRE SAN FCO VAINILLA CARAMELO S/LAC 900ML";"3"
"7802705402348";"800008436";"HELADO BRESLER PISTACHO 900ML";"2"
"7802926410962";"800008518";"PACK PALETA VAINILLA ALMENDRA  0 % AZUCAR  248 GR";"8"
"200";"200";"FILETE SALMON CONG ATL GRANEL VON ";"419.43999999999994"
"400";"400";"SALMON BABY VON FACH KG";"157.68000000000004"
"7801220004303";"6029";"PAPAS GAJO MINUTO VERDE 700G";"108"
"7801220004068";"6085";"FONDO DE ALCACHOFA PR MINUTO VERDE 400G";"26"
"7801220005706";"6093";"PULPA CHIRIMOYA MINUTO VERDE 335G";"51"
"7801220431109";"6321";"CHOCLO MINUTO VERDE 500G";"629"
"7801220801247";"6323";"PRIMAVERA MINUTO VERDE 500G";"225"
"7801300004056";"6510";"AROS DE CEBOLLA 350GRS FRUTOS DEL MAIPO";"36"
"7801300004087";"6512";"GYOSAS CAMARON 200GRS FRUTOS DEL MAIPO";"27"
"7801930001180";"6536";"VEGAN BURGER PEPINILLO RDA 100G";"130"
"7804635611340";"7303";"CAMARON 36/40 PEL CR GLOBAL FROZEN 1K";"679"
"7808737700506";"8948";"CHURRASCO POLLO SUPERPOLLO 500GR";"86"
"7801300003776";"10522";"ESPARRAGOS EN TZ F DEL MAIPO 350G";"12"
"7801235005210";"10856";"CROQUETA JUREL SAN JOSE 100G";"12"
"7809611700261";"13375";"CROQUETA DE POLLO SUPER POLLO 80 GR";"1810"
"7809611700667";"13379";"NUGGET DE POLLO 400 GRS SUPER POLLO";"393"
"7809611708410";"13385";"HAMBURGUESA MASTODONTE LA CRIANZA 185 GR.";"634"
