Cod_Barra;PLU;Nombre;Ventas_Total
"745853017903";"8970";"BERENJENAS AHUMADAS 170 GR ROFUCO";"1"
"745853017675";"8974";"CREMA DE AJI ROFUCO 200GR";"9"
"40685939";"11260";"PURE DE MANZ STOLLENWERK 720ML";"60"
"40685601";"11273";"REPOLLO ROJO PRE COC STOLLENWERK";"86"
"4068500003705";"11314";"PEPINILLOS EN VINAGRE STOLLENWERK 1.5 KLS";"143"
"084773611540";"14002";"CHORITOS AHUMADO ACEITE ROBINSON CRUSOE 190 GR";"31"
"7801235280112";"14020";"SURTIDO MARISCOS SAN JOSE 190 GRS";"15"
"7801305003641";"14059";"CHOCLO WASIL TTR 340GRabt";"120"
"7801305100258";"14065";"DURAZNOS MITADES WASIL 560GR.abt";"41"
"7801315151516";"14070";"PINAS EN RODAJAS ESMERALDA 567 GRS";"66"
"7804682060160";"14077";"PERAS DOS CABALLOS MITADES 590 GRS";"11"
"7804682060139";"14080";"COCKTAIL DE FRUTAS DOS CABALLOS 820G ";"23"
"7809562400951";"14178";"FRUTILLAS A/JUGO 580 GRS PERELLO";"6"
"084773611502";"14210";"CHORITOS AL NATURAL ROBINSON CRUSOE 190 GR.";"121"
"084773602197";"14213";"SURTIDO CALDILLO ACEITE ROBINSON CRUSOE 190 GR.";"5"
"7804621472184";"14215";"ATUN LOMITOS FINAS HIERBAS ROBINSON CRUSOE 140 GR";"36"
"7804621471187";"14219";"ATUN LOMITOS AGUA ROBINSON CRUSOE 140 GR";"93"
"7809562401248";"14372";"CEREZAS MARRASQUINO VERDE PERELLO 250 GR";"8"
"7809562401163";"14379";"CREMA DE CASTANAS PERELLO 230 GRS";"3"
"7702367998138";"14417";"ATUN VAN CAMPS EN ACEITE 320 GRS";"46"
"7801305001883";"14419";"PALMITOS EN RODAJAS WASIL 400 GR";"60"
"7801305003191";"14471";"CHAMPINON LAMINADOS WASIL 400 GR";"16"
"7801305004099";"14479";"POROTOS NEGROS WASIL 380 GR";"258"
"7801305004082";"14481";"LENTEJAS WASIL 380 GR";"97"
"084773612516";"25695";"CHOLGAS EN ACEITE ROBINSON CRUSOE 190 GRS ";"19"
"7802420510113";"26786";"PALMITOS ENTEROS ESMERALDA 400 GRS";"131"
"7801315140008";"26908";"CHAMPINONES ENTEROS ESMERALDA 184 GRS";"10"
"7801305002446";"60163";"CHAMPINONES ENTEROS WASIL 400 GR";"9"
"95489";"95489";"SAUERKRAUT 400 GRS VONCATS";"42"
"7804621471194";"300802";"ATUN LOMITOS ACEITE ROBINSON CRUSOE 140 GR";"46"
"7804621472047";"300807";"CHORITOS FINAS HIERBAS ROBINSON CRUSOE 190 GR";"45"
"7801315148882";"300927";"CHAMPINONES ENTEROS ESMERALDA 400GR";"17"
"7801305002798";"5009359";"DURAZNO CUBITO REGIMEL 380GR";"120"
"7702367000404";"5009547";"ATUN TRI OLIVA 16X80 GRS VAN CAMPS";"67"
"7802810011459";"5009594";"POUCH WATTS MANZANA 90GR";"355"
"7802810011497";"5009596";"POUCH WATTS MULTIFRUTA 90 GRS";"358"
"7804627650333";"5010321";"CONFITURA DE CEBOLLA BUKA 160 CC";"21"
"084773601268";"5010963";"CHORITOS AL NATURAL ROBINSON CRUSOE 425 GRS ";"24"
"084773602548";"5010967";"PICADILLO MARISCOS NATURAL ROBINSON CRUSOE 425 GRS";"11"
"084773612509";"5010971";"CHOLGAS AL NATURAL ROBINSON CRUSOE 190 GRS ";"14"
"7804621470074";"5011051";"TENT CALAMAR ROBINSON CRUSOE AC OLIVA 111 GRS";"33"
"084773606508";"5011053";"CARACOLES AL NATURAL ROBINSON CRUSOE190 GRS ";"6"
"7804621471293";"5011063";"ATUN ACEITE DE OLIVA ROBINSON CRUSOE 130 GR";"34"
"7804621470371";"5011074";"TRIPACK ATUN LOMITO LIMON ROBINSON CRUSOE 240 GR";"6"
"7804621470289";"5011079";"ENSALADA ATUN PRIMAVERA ROBINSON CRUSOE 160 GR";"5"
"084773601770";"5011081";"SALMON TROZ AGUA ROBINSON CRUSOE 170 GR";"20"
"084773601794";"5011083";"SALMON TROZ AHUMADO ROBINSON CRUSOE 170 GR";"18"
"084773623833";"5011086";"SARDINAS PICANTES EN ACEITE ROBINSON CRUSOE 125 GR";"51"
