PLU;Nombre;Ventas_Total
"30846";"CALZONES ROTOS";"43"
"30844";"BERLINES DE PASTELERA ";"83"
"30845";"BERLIN MANJAR ";"44"
"16016";"PAN CON CHICHARRONES pnd";"1222"
"183";"PIZZA JAMON QUES0";"37"
"6962";"SANDWICH CROISSANT AVE MAYO PALTA";"173"
"6970";"SANDWICH BAGEL JAMON QUESO";"219"
"30826";"ALFAJOR BONBON MARLEY ";"67"
"6972";"SANDWICH CROISSANT JAMON QUESO ";"267"
"30498";"POSTRE MOTE CON HUESILLO 600 ML APROX";"86"
"30825";"CINNAMON ROLLS MARLEY";"80"
"30830";"CINNAMON ROLLS ";"31"
"608";"PICHANGA PREMIUN";"1.2000000000000002"
"23";"PICHANGA FRIA  rtc";"499.12899999999996"
"6305";"ESCALOPA  PIERNA DE CERDO KG";"11.452"
"799";"CARBONADA DE CERDO  ";"6.759"
"12532";"PASTA FIDEOS CON CAMARON Y SALSA THAI 350 GRS APROX DISTRIBUIDOR";"7"
"12553";"PASTA ÑOQUI CON SALSA BOLOÑESA 350 GRS APROX DISTRIBUIDOR";"5"
"12552";"PASTA ÑOQUI AL PESTO 350 GRS APROX DISTRIBUIDOR";"5"
"30373";"PLATO CHILENO PASTEL DE CHOCLO 300 GRS APROX";"125"
"12531";"PLATO CHILENO PASTEL DE CHOCLO 300 GRS APROX DISTRIBUIDOR";"9"
"30495";"PLATO CHILENO MERLUZA A LA SIDRA CON PAPAS GRATINADAS 360 GRS APROX";"19"
"12801";"PASTA LASAÑA VEGETARIANA 500 GRS APROX DISTRIBUIDOR ";"8"
"30340";"PASTA LASAÑA BOLOÑESA 300 GRS. APROX";"137"
"12502";"PASTA LASAÑA BOLOÑESA 300 GRS APROX DISTRIBUIDOR";"11"
"12802";"GOHAN SALMON 450 GRS APROX DISTRIBUIDOR";"18"
"12534";"PASTA LASAÑA FAMILIAR 4 PORCIONES 1100 GRS APROX DISTRIBUIDOR";"4"
"12557";"PASTA RAVIOLES CON SALSA BOLOÑESA 350 GRS APROX DISTRIBUIDOR";"11"
"12511";"PASTA LASAÑA BOLOÑESA HALOPACK 400 GRS APROX DISTRIBUIDOR";"6"
"12537";"PLATO INTER. SALMON CON RISOTTO DE CHAMPIÑONES 350 GRS DISTRIBUIDOR";"6"
"12526";"ENSALADA CESAR POLLO 300 GRS DISTRIBUIDOR";"12"
"12562";"WRAP SALUDABLE PROTEICO 350 GRS APROX DISTRIBUIDOR";"27"
"54";"HALLULLA";"9555.980999999996"
"12512";"PLATO CHILENO PASTEL DE CHOCLO 400 GRS APROX DISTRIBUIDOR";"12"
"12800";"GOHAN POLLO TERIYAKI 450 GRS APROX DISTRIBUIDOR";"5"
"918";"MARRAQUETA";"1818.5590000000002"
"12533";"PASTA FIDEOS CON POLLO Y SALSA THAI 350 GRS APROX DISTRIBUIDOR";"2"
"506";"PAN QUESO ENVASADO 350 GRS APROX";"9"
"16047";"PAN DE QUESO TEJA FOO  230 APROX";"22"
"65252";"MALLA MORRON ROJO 2";"15"
"90200";"PAN DE QUESO ,JAMON SERRANO ,OREGANO 230 GR APROX";"36"
"30710";"WRAP FALAFEL Y HUMMUS 350 GRS APROX";"10"
"30815";"TARTA CITRON MARLEY  ";"52"
"6959";"ENSALADA DEL MAR 350 GRS APROX";"31"
"30820";"BROWNIE MARQUIS MARLEY ";"37"
"30417";"ENSALADA CEVICHE DE COCHAYUYO 320 GRS APROX";"59"
"30818";"TARTA CHOCOBOM CARAMEL MARLEY ";"42"
"30823";"PROFITEROL CRAQUELINE CHOCOMARACUYA MARLEY";"44"
"30450";"WRAP SALUDABLE PROTEICO 350 GRS APROX";"127"
"6957";"ENSALADA JAMON SERRANO 350 GRS APROX";"36"
"30384";"POKE SALMON SPICY 350 GRS APROX";"7"
"30817";"CHEESECAKE CARAMELO SALADO MARLEY ";"73"
"30821";"TORTA CHOCO CAFE MARLEY ";"36"
"30800";"NY COOKIE & CREAMS";"77"
"6993";"ENSALADA DE POLLO 350 GRS APROX";"24"
"30819";"BROWNIE AVELLA EUROPEA MARLEY ";"42"
"30824";"NY COOKIE MARLEY ";"77"
"30396";"ENSALADA CEVICHE SALMON 320 GRS. APROX";"120"
"30816";"CHEESCAKE FRAMBUESA NUEVO MARLEY ";"132"
"30822";"CARROT CAKE MARLEY ";"51"
"30827";"TARTA QUEEN FIZZ MARLEY ";"30"
"30703";"PASTA LASAÑA VEGETARIANA MEDIANA 500 GRS";"6"
"30337";"POKE ATUN SPICY 350 GRS APROX";"21"
"30406";"PASTA RAVIOLES CON SALSA BOLOÑESA 350 GRS APROX";"41"
"30403";"PASTA SPAGHETTI ALFREDO 350 GRS APROX";"26"
"30335";"PLATO CHILENO PASTEL DE PAPA MEDIANO 500 GRS APROX";"74"
"30431";"PLATO CHILENO PASTEL DE CHOCLO VEGETARIANO 500 GRS APROX";"36"
"30427";"PLATO CHILENO PASTEL DE CHOCLO FAMILIAR 4 PORCIONES 1100 GRS APROX";"4"
"30342";"PASTA ÑOQUIS CON SALSA BOLOÑESA 360 GRS";"38"
"30449";"PLATO CHILENO PASTEL DE CHOCLO 500 GRS APROX";"87"
"7898";"PLATO CHILENO PASTEL DE PAPA 2 PORCIONES 800 GRS APROX";"19"
"30702";"PASTA ÑOQUIS AL PESTO 350 GRS APROX";"25"
"9979";"PASTA ÑOQUIS CON SALSA BOLOÑESA FAMILIAR 1100 GRS APROX";"3"
"30407";"PASTA SPAGHETTI ALFREDO CON POLLO 350 GRS APROX";"29"
"30706";"PLATO INTER. BUTTER CHICKEN CON ARROZ 350 GRS. APROX";"35"
"800001973";"PACK X6 CERVEZA KUNSTMANN VALDIVIA 330 CC";"13"
"30362";"PLATO CHILENO CHUPE DE JAIBA 300 GRS APROX";"15"
"30504";"PLATO CHILENO CHUPE DE JAIBA 2 PORCIONES 800 GRS APROX";"20"
"30464";"PLATO CHILENO QUESO DE PATA 320 GRS APROX";"8"
"30385";"PLATO INTER. RIÑONES AL JEREZ CON ARROZ 350 GRS APROX";"5"
