PLU;Nombre;Ventas_Total
"30846";"CALZONES ROTOS";"43"
"30844";"BERLINES DE PASTELERA ";"83"
"30845";"BERLIN MANJAR ";"44"
"16016";"PAN CON CHICHARRONES pnd";"1440"
"183";"PIZZA JAMON QUES0";"37"
"6962";"SANDWICH CROISSANT AVE MAYO PALTA";"217"
"6970";"SANDWICH BAGEL JAMON QUESO";"272"
"30826";"ALFAJOR BONBON MARLEY ";"74"
"6972";"SANDWICH CROISSANT JAMON QUESO ";"314"
"30498";"POSTRE MOTE CON HUESILLO 600 ML APROX";"92"
"608";"PICHANGA PREMIUN";"1.2000000000000002"
"30825";"CINNAMON ROLLS MARLEY";"80"
"23";"PICHANGA FRIA  rtc";"585.4540000000001"
"30830";"CINNAMON ROLLS ";"56"
"6305";"ESCALOPA  PIERNA DE CERDO KG";"11.452"
"799";"CARBONADA DE CERDO  ";"6.759"
"12552";"PASTA ÑOQUI AL PESTO 350 GRS APROX DISTRIBUIDOR";"5"
"12532";"PASTA FIDEOS CON CAMARON Y SALSA THAI 350 GRS APROX DISTRIBUIDOR";"7"
"12553";"PASTA ÑOQUI CON SALSA BOLOÑESA 350 GRS APROX DISTRIBUIDOR";"5"
"12531";"PLATO CHILENO PASTEL DE CHOCLO 300 GRS APROX DISTRIBUIDOR";"9"
"30373";"PLATO CHILENO PASTEL DE CHOCLO 300 GRS APROX";"142"
"30495";"PLATO CHILENO MERLUZA A LA SIDRA CON PAPAS GRATINADAS 360 GRS APROX";"19"
"30340";"PASTA LASAÑA BOLOÑESA 300 GRS. APROX";"155"
"12801";"PASTA LASAÑA VEGETARIANA 500 GRS APROX DISTRIBUIDOR ";"8"
"12502";"PASTA LASAÑA BOLOÑESA 300 GRS APROX DISTRIBUIDOR";"11"
"12802";"GOHAN SALMON 450 GRS APROX DISTRIBUIDOR";"18"
"12534";"PASTA LASAÑA FAMILIAR 4 PORCIONES 1100 GRS APROX DISTRIBUIDOR";"4"
"12557";"PASTA RAVIOLES CON SALSA BOLOÑESA 350 GRS APROX DISTRIBUIDOR";"11"
"12533";"PASTA FIDEOS CON POLLO Y SALSA THAI 350 GRS APROX DISTRIBUIDOR";"2"
"12511";"PASTA LASAÑA BOLOÑESA HALOPACK 400 GRS APROX DISTRIBUIDOR";"6"
"12537";"PLATO INTER. SALMON CON RISOTTO DE CHAMPIÑONES 350 GRS DISTRIBUIDOR";"6"
"12526";"ENSALADA CESAR POLLO 300 GRS DISTRIBUIDOR";"12"
"54";"HALLULLA";"11025.786999999997"
"12562";"WRAP SALUDABLE PROTEICO 350 GRS APROX DISTRIBUIDOR";"27"
"12512";"PLATO CHILENO PASTEL DE CHOCLO 400 GRS APROX DISTRIBUIDOR";"12"
"12800";"GOHAN POLLO TERIYAKI 450 GRS APROX DISTRIBUIDOR";"5"
"918";"MARRAQUETA";"2081.4210000000003"
"90200";"PAN DE QUESO ,JAMON SERRANO ,OREGANO 230 GR APROX";"40"
"16047";"PAN DE QUESO TEJA FOO  230 APROX";"22"
"506";"PAN QUESO ENVASADO 350 GRS APROX";"16"
"65252";"MALLA MORRON ROJO 2";"18"
"30710";"WRAP FALAFEL Y HUMMUS 350 GRS APROX";"10"
"6959";"ENSALADA DEL MAR 350 GRS APROX";"37"
"30816";"CHEESCAKE FRAMBUESA NUEVO MARLEY ";"140"
"30822";"CARROT CAKE MARLEY ";"57"
"30827";"TARTA QUEEN FIZZ MARLEY ";"36"
"30417";"ENSALADA CEVICHE DE COCHAYUYO 320 GRS APROX";"68"
"30815";"TARTA CITRON MARLEY  ";"58"
"30820";"BROWNIE MARQUIS MARLEY ";"43"
"30450";"WRAP SALUDABLE PROTEICO 350 GRS APROX";"140"
"6957";"ENSALADA JAMON SERRANO 350 GRS APROX";"39"
"30384";"POKE SALMON SPICY 350 GRS APROX";"7"
"30818";"TARTA CHOCOBOM CARAMEL MARLEY ";"48"
"30823";"PROFITEROL CRAQUELINE CHOCOMARACUYA MARLEY";"50"
"6993";"ENSALADA DE POLLO 350 GRS APROX";"24"
"30817";"CHEESECAKE CARAMELO SALADO MARLEY ";"81"
"30821";"TORTA CHOCO CAFE MARLEY ";"42"
"30396";"ENSALADA CEVICHE SALMON 320 GRS. APROX";"142"
"30800";"NY COOKIE & CREAMS";"85"
"30819";"BROWNIE AVELLA EUROPEA MARLEY ";"50"
"30824";"NY COOKIE MARLEY ";"85"
"30703";"PASTA LASAÑA VEGETARIANA MEDIANA 500 GRS";"7"
"30337";"POKE ATUN SPICY 350 GRS APROX";"23"
"30406";"PASTA RAVIOLES CON SALSA BOLOÑESA 350 GRS APROX";"48"
"30403";"PASTA SPAGHETTI ALFREDO 350 GRS APROX";"29"
"30335";"PLATO CHILENO PASTEL DE PAPA MEDIANO 500 GRS APROX";"85"
"30431";"PLATO CHILENO PASTEL DE CHOCLO VEGETARIANO 500 GRS APROX";"48"
"30427";"PLATO CHILENO PASTEL DE CHOCLO FAMILIAR 4 PORCIONES 1100 GRS APROX";"8"
"30342";"PASTA ÑOQUIS CON SALSA BOLOÑESA 360 GRS";"40"
"30449";"PLATO CHILENO PASTEL DE CHOCLO 500 GRS APROX";"100"
"30702";"PASTA ÑOQUIS AL PESTO 350 GRS APROX";"28"
"9979";"PASTA ÑOQUIS CON SALSA BOLOÑESA FAMILIAR 1100 GRS APROX";"3"
"30407";"PASTA SPAGHETTI ALFREDO CON POLLO 350 GRS APROX";"29"
"7898";"PLATO CHILENO PASTEL DE PAPA 2 PORCIONES 800 GRS APROX";"19"
"800008161";"SIX PACK CERVEZA KUNSTMANN LAGER BLANC 330 CC";"12"
"30706";"PLATO INTER. BUTTER CHICKEN CON ARROZ 350 GRS. APROX";"42"
"30362";"PLATO CHILENO CHUPE DE JAIBA 300 GRS APROX";"15"
"30464";"PLATO CHILENO QUESO DE PATA 320 GRS APROX";"8"
"800001973";"PACK X6 CERVEZA KUNSTMANN VALDIVIA 330 CC";"13"
"30514";"PLATO CHILENO GUATITAS A LA JARDINERA CONA ARROZ 350 GRS APROX";"37"
