Cod_Barra;PLU;Nombre;Ventas_Total
"22129";"22129";"PIE DE FRAMBUESA";"64"
"30825";"30825";"CINNAMON ROLLS MARLEY";"80"
"30845";"30845";"BERLIN MANJAR ";"44"
"30822";"30822";"CARROT CAKE MARLEY ";"57"
"30824";"30824";"NY COOKIE MARLEY ";"85"
"30844";"30844";"BERLINES DE PASTELERA ";"86"
"30846";"30846";"CALZONES ROTOS";"43"
"183";"183";"PIZZA JAMON QUES0";"37"
"16016";"16016";"PAN CON CHICHARRONES pnd";"1465"
"6970";"6970";"SANDWICH BAGEL JAMON QUESO";"255"
"6972";"6972";"SANDWICH CROISSANT JAMON QUESO ";"300"
"6962";"6962";"SANDWICH CROISSANT AVE MAYO PALTA";"199"
"30826";"30826";"ALFAJOR BONBON MARLEY ";"74"
"30498";"30498";"POSTRE MOTE CON HUESILLO 600 ML APROX";"91"
"23";"23";"PICHANGA FRIA  rtc";"575.7509999999997"
"30830";"30830";"CINNAMON ROLLS ";"31"
"608";"608";"PICHANGA PREMIUN";"1.2000000000000002"
"6305";"6305";"ESCALOPA  PIERNA DE CERDO KG";"11.452"
"799";"799";"CARBONADA DE CERDO  ";"6.759"
"12532";"12532";"PASTA FIDEOS CON CAMARON Y SALSA THAI 350 GRS APROX DISTRIBUIDOR";"7"
"12553";"12553";"PASTA ÑOQUI CON SALSA BOLOÑESA 350 GRS APROX DISTRIBUIDOR";"5"
"12552";"12552";"PASTA ÑOQUI AL PESTO 350 GRS APROX DISTRIBUIDOR";"5"
"12531";"12531";"PLATO CHILENO PASTEL DE CHOCLO 300 GRS APROX DISTRIBUIDOR";"11"
"30373";"30373";"PLATO CHILENO PASTEL DE CHOCLO 300 GRS APROX";"142"
"30495";"30495";"PLATO CHILENO MERLUZA A LA SIDRA CON PAPAS GRATINADAS 360 GRS APROX";"19"
"30340";"30340";"PASTA LASAÑA BOLOÑESA 300 GRS. APROX";"162"
"12534";"12534";"PASTA LASAÑA FAMILIAR 4 PORCIONES 1100 GRS APROX DISTRIBUIDOR";"4"
"12801";"12801";"PASTA LASAÑA VEGETARIANA 500 GRS APROX DISTRIBUIDOR ";"10"
"12502";"12502";"PASTA LASAÑA BOLOÑESA 300 GRS APROX DISTRIBUIDOR";"13"
"12557";"12557";"PASTA RAVIOLES CON SALSA BOLOÑESA 350 GRS APROX DISTRIBUIDOR";"12"
"12802";"12802";"GOHAN SALMON 450 GRS APROX DISTRIBUIDOR";"18"
"918";"918";"MARRAQUETA";"2079.175"
"12511";"12511";"PASTA LASAÑA BOLOÑESA HALOPACK 400 GRS APROX DISTRIBUIDOR";"7"
"12533";"12533";"PASTA FIDEOS CON POLLO Y SALSA THAI 350 GRS APROX DISTRIBUIDOR";"2"
"12537";"12537";"PLATO INTER. SALMON CON RISOTTO DE CHAMPIÑONES 350 GRS DISTRIBUIDOR";"6"
"54";"54";"HALLULLA";"11024.532"
"12526";"12526";"ENSALADA CESAR POLLO 300 GRS DISTRIBUIDOR";"12"
"12512";"12512";"PLATO CHILENO PASTEL DE CHOCLO 400 GRS APROX DISTRIBUIDOR";"12"
"12562";"12562";"WRAP SALUDABLE PROTEICO 350 GRS APROX DISTRIBUIDOR";"31"
"12800";"12800";"GOHAN POLLO TERIYAKI 450 GRS APROX DISTRIBUIDOR";"7"
"90200";"90200";"PAN DE QUESO ,JAMON SERRANO ,OREGANO 230 GR APROX";"42"
"16047";"16047";"PAN DE QUESO TEJA FOO  230 APROX";"25"
"65252";"65252";"MALLA MORRON ROJO 2";"19"
"506";"506";"PAN QUESO ENVASADO 350 GRS APROX";"16"
"30417";"30417";"ENSALADA CEVICHE DE COCHAYUYO 320 GRS APROX";"66"
"30337";"30337";"POKE ATUN SPICY 350 GRS APROX";"22"
"6957";"6957";"ENSALADA JAMON SERRANO 350 GRS APROX";"41"
"6959";"6959";"ENSALADA DEL MAR 350 GRS APROX";"39"
"30703";"30703";"PASTA LASAÑA VEGETARIANA MEDIANA 500 GRS";"8"
"6993";"6993";"ENSALADA DE POLLO 350 GRS APROX";"26"
"30815";"30815";"TARTA CITRON MARLEY  ";"58"
"30816";"30816";"CHEESCAKE FRAMBUESA NUEVO MARLEY ";"140"
"30819";"30819";"BROWNIE AVELLA EUROPEA MARLEY ";"50"
"30821";"30821";"TORTA CHOCO CAFE MARLEY ";"42"
"30823";"30823";"PROFITEROL CRAQUELINE CHOCOMARACUYA MARLEY";"50"
"30827";"30827";"TARTA QUEEN FIZZ MARLEY ";"36"
"30710";"30710";"WRAP FALAFEL Y HUMMUS 350 GRS APROX";"11"
"30384";"30384";"POKE SALMON SPICY 350 GRS APROX";"7"
"30450";"30450";"WRAP SALUDABLE PROTEICO 350 GRS APROX";"141"
"30396";"30396";"ENSALADA CEVICHE SALMON 320 GRS. APROX";"137"
"30800";"30800";"NY COOKIE & CREAMS";"85"
"30817";"30817";"CHEESECAKE CARAMELO SALADO MARLEY ";"81"
"30818";"30818";"TARTA CHOCOBOM CARAMEL MARLEY ";"48"
"30820";"30820";"BROWNIE MARQUIS MARLEY ";"43"
"30342";"30342";"PASTA ÑOQUIS CON SALSA BOLOÑESA 360 GRS";"42"
"30403";"30403";"PASTA SPAGHETTI ALFREDO 350 GRS APROX";"27"
"30431";"30431";"PLATO CHILENO PASTEL DE CHOCLO VEGETARIANO 500 GRS APROX";"50"
"30335";"30335";"PLATO CHILENO PASTEL DE PAPA MEDIANO 500 GRS APROX";"84"
"30449";"30449";"PLATO CHILENO PASTEL DE CHOCLO 500 GRS APROX";"101"
"30427";"30427";"PLATO CHILENO PASTEL DE CHOCLO FAMILIAR 4 PORCIONES 1100 GRS APROX";"6"
"30407";"30407";"PASTA SPAGHETTI ALFREDO CON POLLO 350 GRS APROX";"32"
"30406";"30406";"PASTA RAVIOLES CON SALSA BOLOÑESA 350 GRS APROX";"51"
"30702";"30702";"PASTA ÑOQUIS AL PESTO 350 GRS APROX";"28"
"7898";"7898";"PLATO CHILENO PASTEL DE PAPA 2 PORCIONES 800 GRS APROX";"20"
"9979";"9979";"PASTA ÑOQUIS CON SALSA BOLOÑESA FAMILIAR 1100 GRS APROX";"3"
"30492";"30492";"PLATO CHILENO LENGUA NOGADA CON PURE 360 GRS APROX";"15"
"30705";"30705";"PLATO INTER. SALMON CON RISOTTO DE CHAMPIÑONES 350 GRS APROX";"36"
"7802107001705";"800008161";"SIX PACK CERVEZA KUNSTMANN LAGER BLANC 330 CC";"12"
"30385";"30385";"PLATO INTER. RIÑONES AL JEREZ CON ARROZ 350 GRS APROX";"5"
"30464";"30464";"PLATO CHILENO QUESO DE PATA 320 GRS APROX";"8"
"30504";"30504";"PLATO CHILENO CHUPE DE JAIBA 2 PORCIONES 800 GRS APROX";"21"
"30514";"30514";"PLATO CHILENO GUATITAS A LA JARDINERA CONA ARROZ 350 GRS APROX";"38"
"30706";"30706";"PLATO INTER. BUTTER CHICKEN CON ARROZ 350 GRS. APROX";"42"
"30362";"30362";"PLATO CHILENO CHUPE DE JAIBA 300 GRS APROX";"15"
"30708";"30708";"PLATO INTER. SALMON CON RISOTTO AL PESTO 350 GRS APROX";"31"
"7802107000913";"800001973";"PACK X6 CERVEZA KUNSTMANN VALDIVIA 330 CC";"13"
"30405";"30405";"PASTA FIDEOS CON CAMARON Y SALSA THAI 350 GRS APROX";"146"
"30440";"30440";"PASTA FIDEOS CON POLLO Y SALSA THAI 350 GRS APROX";"123"
"30429";"30429";"PIZZA SALAME PEPPERONI INDIVIDUAL 380 GRS APROX";"35"
"6968";"6968";"PIZZA POLLO BARBECUE INDIVIDUAL 400 GRS APROX";"34"
"6955";"6955";"PIZZA VEGETARIANA INDIVIDUAL 380 GRS APROX";"24"
