Cod_Barra;PLU;Nombre;Ventas_Total
"12255";"12255";"PALTA HASS SELECCION PREMIUM KG";"24.85"
"65252";"65252";"MALLA MORRON ROJO 2";"47"
"30551";"30551";"CHOCLO X2";"10"
"76";"76";"PLATANO 2DA ";"57.44700000000001"
"161";"161";"CURCUMA KILO";"23.523"
"7804610850801";"356";"LECHUGA HIDROP ESPANOLA PURA HOJ";"163"
"7804610850207";"392";"LECHUGA COSTINA PUNTO AZUL";"154"
"1029";"1029";"CAQUI KG";"29.665000000000003"
"1743";"1743";"PUERRO PAQUETE";"80"
"7804663740029";"2102";"LECHUGA COSTINA";"107"
"3006";"3006";"PIMIENTO MORRON ROJO";"2188"
"3020";"3020";"PIMIENTO MORRON VERDE UN";"1114"
"5511";"5511";"PALTA HASS KG";"2337.7000000000003"
"7073";"7073";"ARANDANOS GRANEL ";"106.75499999999998"
"7804610852621";"8382";"BETARRAGA PUNTO AZUL";"6"
"7804610854007";"10560";"SALAD KIT COLESLAW PROVERDE 300G";"23"
"7804610854014";"10562";"SALAD KIT ASIATICA PROVERDE 300GR";"20"
"7804610851211";"10591";"CORAZON LECHUGA COSTINA";"30"
"7804610854168";"10593";"RUCULA BABY PUNTO AZUL 50G";"60"
"0677144753491";"10852";"MIX HOJAS RIVERFOOD 250G APROX";"102"
"7801365000284";"14072";"CHAMPINONES ENTEROS NATURES 200 GRS";"2168"
"7804670030007";"23021";"LECHUGA ESCAROLA BOLSA";"257"
"23023";"23023";"NARANJA KG";"671.065"
"23025";"23025";"PLATANO";"5173.163000000001"
"23029";"23029";"COLIFLOR";"37"
"23036";"23036";"ESPINACA BOLSA";"128"
"23038";"23038";"PINA UNIDAD";"76"
"23041";"23041";"PIMIENTO MORRON AMARILLO";"567"
"23043";"23043";"BROCOLI UNIDAD";"48"
"23048";"23048";"CEBOLLA MORADA KG";"574.1759999999998"
"23050";"23050";"BERENJENA UND";"142"
"23052";"23052";"AJOX3";"951"
"23055";"23055";"UVA ROSADA";"44.370999999999995"
"23057";"23057";"MANZANA VERDE";"598.7869999999995"
"23061";"23061";"POMELO";"81.13000000000001"
"23064";"23064";"PEPINOS DULCE";"81.77000000000002"
"23069";"23069";"UVA RED GLOBE";"1099.634"
"23071";"23071";"UVA BLANCA ";"3034.078"
"23074";"23074";"AJI VERDE";"145.88299999999992"
"23083";"23083";"ALCACHOFA";"412"
"23094";"23094";"LIMON SUTIL";"318.1290000000002"
"23097";"23097";"DURAZNO NECTARIN";"582.18"
"23103";"23103";"CEREZA CORAZON DE PALOMA";"0.99"
"23105";"23105";"CIRUELA";"69.01000000000002"
"23200";"23200";"AJI INFERNO";"22.563000000000002"
"24079";"24079";"MEMBRILLO KG";"82.55499999999999"
"30547";"30547";"PALTA HASS ";"5792.913"
"7804086000328";"35002";"REPOLLO MORADO HORTITEC";"4"
"0632627877989";"52452";"LECHUGA RIVERFOOD UN";"2290"
"7804647990389";"60992";"PAPA MINI HUERTO DEL RANCO 650G";"252"
"7804647990198";"61231";"RUCULA BABY HUERTO RANCO 200G";"139"
"7804647990259";"61234";"MINI LECHUGA HUERTO RANCO ";"11"
"65253";"65253";"PACK 2 MORRON ";"3"
"70551";"70551";"MANZANA RED DELICIOUS";"32.345"
"303537";"303537";"ACELGA UND";"246"
"7804610851730";"303702";"REPOLLO BLANCO 300GR PROVERDE";"14"
"7804610851778";"303704";"REPOLLO ZANAHORIA 300GR PORVERDE";"67"
"7804610851723";"303711";"TOSCANA 300GR PROVERDE";"30"
"7804647990068";"778431422";"PAPA MALLA ROJA 2 KILOS HUERTOS DEL RANCO";"1330"
"7804617570030";"800002097";"LECHUGA AGROCHOROICO";"943"
"7804610850818";"800005466";"LECHUGA PURA HOJA ROBLE VERDE";"72"
"123";"123";"FRUTILLA ";"167.141"
"7804610850221";"352";"APIO MATA PUNTO AZUL";"38"
"7804610850009";"365";"LECHUGA ESCAROLA PUNTO AZUL";"157"
"923";"923";"PACK ZAPALLO ITALIANO ";"2"
"1280";"1280";"CHOCLOS X UND";"57"
"1839";"1839";"PEREJIL";"383"
"3005";"3005";"GRANADA ";"13.945"
"3018";"3018";"MANDARINAS KG";"438.2919999999999"
"5121";"5121";"TUNA";"24.525000000000002"
"6436";"6436";"MELON CALAMENO";"47"
"769602446097";"7546";"AJO PACK 5 UN";"1"
"9896";"9896";"FRUTILLA PRODUCTOR LOCAL ";"877.7949999999998"
"7804610854052";"10561";"BETARRAGA COCIDA PROVERDE 500G";"100"
"7804610853994";"10563";"SALAD KIT CESAR PROVERDE 300G";"3"
"7804610854175";"10592";"ESPINACA BABY PUNTO AZUL 50G";"58"
"10826";"10826";"DURAZNO CONSERVERO KG";"13.85"
"7804663740098";"11513";"COLIFLOR LOS COLONOS UNID";"8"
"23020";"23020";"TOMATE";"5394.201000000003"
"23022";"23022";"CEBOLLA";"1792.0480000000005"
"23024";"23024";"MANZANA ROJA GRANEL";"990.6009999999997"
"23028";"23028";"CILANTRO ";"1458"
"23034";"23034";"ZANAHORIA";"1604.4759999999999"
"23037";"23037";"ZAPALLO ITALIANO UNID";"1633"
"23039";"23039";"CEBOLLIN";"553"
"23042";"23042";"LIMON KG";"3379.8339999999994"
"23044";"23044";"LIMON PICA KG";"3.385"
"7804617570054";"23049";"CIBOULETTE UND.";"1177"
"23051";"23051";"ZAPALLO CAMOTE";"888.3099999999997"
"23054";"23054";"TOMATE CHERRY KG";"983.3249999999998"
"23056";"23056";"UVA AUTUMN ROYAL KG";"60.45400000000001"
"23058";"23058";"PAPAS GRANEL";"1"
"23063";"23063";"PEPINO UN";"2356"
"23068";"23068";"PERA GRANEL";"302.149"
"23070";"23070";"JENGIBRE";"74.90500000000002"
"23072";"23072";"MANDARINAS MALLA KG";"7.7"
"23081";"23081";"KIWI KG";"294.345"
"23084";"23084";"PEPINO ALASKA";"529"
"23095";"23095";"DURAZNO BLANQUILLO";"69.86"
"23098";"23098";"DAMASCO";"4.385000000000001"
"23104";"23104";"MANGO KG";"422.29600000000005"
"23109";"23109";"PIMIENTO MORRON NARANJO ";"25"
"23201";"23201";"TOMATE POMAROLA";"77.655"
"7804647990228";"25751";"PAPAS MIX HUERTO DEL RANCO 650G";"770"
"7804610851518";"35001";"ESPINACA PUNTO AZUL 500 GRS";"65"
"41222";"41222";"PALTA INTERNA";"101.146"
"60777";"60777";"TOMATE MALLA KG";"45.573"
"7804647990181";"61230";"ESPINACA BABY HUERTO RANCO 200G";"190"
