Cod_Barra;PLU;Nombre;Ventas_Total
"7790040424166";"3191";"GALLETA MANA VAINILLA 393 GRS";"82"
"7802215302060";"3489";"GALLETAS GRAN CEREAL MUESLI COSTA 135 GRS abt";"176"
"7802215501838";"3500";"GALLETA AGUA COSTA 175 GRS";"91"
"7802215502002";"3504";"GALLETA SODA VIVO COSTA 123 GRS abt";"105"
"7802215504655";"3512";"GALLETA NIK BOCADO COSTA 71GR";"640"
"7802215504679";"3514";"GALLETA NIK LIMON COSTA 71GR.abt";"406"
"7802215505027";"3518";"GALLETAS OBSESION DE COSTA 85 GRS";"498"
"7802215505270";"3523";"GALLETA LIMON COSTA 140G ABT";"485"
"7802215505294";"3525";"GALLETA MANTEQUILLA COSTA 140GR.abt";"444"
"7802215505409";"3527";"GALLETA COCO COSTA 125GRS ABT";"281"
"7802215508530";"3537";"GALLETAS DONUTS CHOCOL BLANCO 100 GR";"596"
"7802215511011";"3540";"GALLETA COSTA CRACKELET 85 grs  abt";"1548"
"7802215514326";"3554";"GALLETAS OBSESION COSTA MENTA 85 GR";"373"
"7802215515019";"3560";"GALLETAS GRETEL CHOCOLATE 85 GRS";"449"
"7802215515064";"3562";"GALLETAS GRETEL YOGH FRUTILLA 85 GR";"222"
"7802215515347";"3565";"GALLETA COSTA CHAMPANA 85G abt";"136"
"7802225632607";"3834";"GALLETA VERDI VINO 160G";"143"
"7802225689007";"3909";"GALLETA SELZ CRACKER SEMILLAS DE CHIA 150 GRS";"108"
"7802230081162";"3957";"GALLETA KUKY CLASICA MCKAY 120GR.abt";"432"
"8445290770943";"3968";"GALLETA CRIOLLITAS MCKAY 120 GRS";"58"
"7802230086648";"3990";"GALLETA SODA FAMILIAR CLASICA 180 grs MCKAY abt";"137"
"799192174575";"10605";"GALLETAS SURTIDAS TRICA 300 GRS";"1735"
"7803403004131";"24370";"GALLETAS SALMAS CLASICAS 108 GRS";"165"
"7802225640770";"28046";"GALLETA BON O BON TRAD 95 GRS";"672"
"7802225689830";"28102";"GALLETA TRIPACK CHIA SALVA.519 G";"140"
"7803403000737";"28227";"ALFAJOR LAGUITO 70 GRS X 2 UND";"429"
"7803520002232";"28439";"GALLETAS S/GLUTEN CHOCO CHIPS ECOVIDA 150 GRS";"9"
"7803520140149";"28444";"GALLETAS DIET S/AZUCAR ECOVIDA 120 GRS";"9"
"7622202807855";"28608";"GALLETAS CHIPS AHOY 111 GRS";"175"
"7500478008780";"28621";"GALLETA TODDY 142 GRS";"182"
"7803520140194";"28772";"EMPAREDADO DE CIRUELAS/AZUCAR 150G";"2"
"7613037042290";"61316";"GALLETA GRILL CLASICA 140G";"316"
"7803520002249";"303325";"GALLETAS S/GLUTEN DULCE BERRIES 150GR ECOV";"10"
"7803525999391";"502677";"GALLETA ALMENDRA S/A NUTRABIEN 128G TUBO";"37"
"7804666810026";"849560";"NAT CRACKERS DATIL ALMENDRA 160GR";"21"
"7804666810033";"849562";"NAT CRACKERS CAJU PASAS JENGIBRE 160GR";"18"
"7804666810019";"849565";"NAT CRACKERS CRANBERRY NUEZ 160GR";"20"
"7804666810316";"849567";"WAFER NAT NATURAL ROMERO 100GR";"9"
"7802215502514";"5008717";"GALLETA DINDON 115 GR";"409"
"062020050526";"5009104";"NUTELLA & GO 52GRS.";"62"
"8410376017113";"5009634";"GALLETA GULLON MEGA DUO CHOC 500 GRS";"203"
"7803520001921";"5010333";"GALLETA ECOVIDA S/GLUT DULCE COCO 150G";"1"
