Cod_Barra;PLU;Nombre;Ventas_Total
"7802626100026";"6005";"HARINA COLLICO EXTRAFINA  1 KILO";"441"
"7802626100118";"6008";"HARINA COLLICO 10 KILOS";"19"
"7802615005615";"26841";"HARINA MONT BLANC S/POLVOS 1 KG";"24"
"7802615005103";"29961";"HARINA SELECTA CON POLVO 1 KG";"85"
"7802626001651";"60801";"HARINA TUD COLLICO 750 G ";"291"
"7802626001903";"77200";"HARINA TUD COLLICO TRIPLE 0 BOLSA 1K";"86"
"6301618000531";"1563330";"HARINA DE MARAVILLA TERRANUT 330GR.";"2"
"7802626001477";"800002583";"HARINA PAN MASA MADRE COLLICO 1KG";"20"
"6301618000517";"800004246";"HARINA CALABAZA TERRANUT 330 G";"6"
"7802626100057";"6007";"HARINA COLLICO TUD 5 KILOS";"63"
"7802626161010";"6012";"HARINA COLLICO  C/POLVO DE HORNEAR 1 KILO";"299"
"7802615005202";"29960";"HARINA SELECTA SIN POLVO 1 KG";"176"
"7802626001552";"60337";"HARINA FUERZA COLLICO 1KG";"103"
"7802626001446";"65533";"HARINA COLLICO TUD 3.3K";"76"
"7802626001972";"77201";"HARINA KUNSTMANN MAS FIBRA 1K";"73"
"6301618000524";"1583330";"HARINA LINAZA TERRANUT 330G";"13"
"6301618000838";"800004192";"HARINA DE AVENA INTEGRAL TERRANUT 400G";"24"
"6301618000500";"800004247";"HARINA DE ALMENDRA TERRANUT 330GR";"27"
