Cod_Barra;PLU;Nombre;Ventas_Total
"7802926001573";"6587";"HELADO AGUA SAN FCO MANGO 1LT";"34"
"7805000318086";"7089";"HELADO MAGNUM POSTRE DULCE LECHE 900ML";"4"
"7802926410993";"7315";"PACK PALETA SAN FCO HEL FRAM CREM 5UN";"12"
"8445291178557";"7879";"CASSATA 0% VAINILLA SAVORY 1L";"12"
"7887";"7887";"LIQUIDACION BODEGA HELADOS SAVORI 2X";"1"
"7613036868228";"8020";"HELADO CRAZY CHIRIMOYA ALEGRE 170ML SAVORY";"12"
"7613037777659";"8951";"HELADO PURA FRUTA FRAMBUESA ";"38"
"8445290952356";"11001";"CRAZY SANGURUCHO CHOCOLATOSO SAVORY";"38"
"7613031628964";"11045";"CHARLOT 1LT 3 LECHES SAVORY";"15"
"7613032657185";"11087";"CASSATA 1LT CHOCOLATE SUIZO SAVORY ";"109"
"78006027";"11112";"HELADO LOLLY POP SAVORY";"26"
"7613035407176";"11119";"HELADO DANKY NOGATONGA SAVORY";"28"
"7613035421592";"11188";"HELADO DANKY SAHNE NUSS SAVORY";"48"
"7802710566219";"11196";"CHARLOT 1LT VAINILLA SAVORY";"28"
"7802710832116";"11201";"CASSATA 1LT VAINILLA SAVORY";"142"
"7802710835216";"11205";"CASSATA 1LT PASAS AL RON SAVORY";"79"
"7802926001085";"11329";"POSTRE SAN FCO BROWNIE 1LT";"84"
"7802926000750";"11345";"POSTRE SAN FCO TRES LECHES 1LT";"70"
"7802926000149";"11348";"POSTRE SAN FCO SUSPIRO LIMENO 1 LT";"105"
"7613033725333";"11355";"CHARLOT 1LT ALMENDRADO PREMIUM SAVORY";"34"
"7802926000965";"11359";"POSTRE SAN FCO CHOCOLATE NUSS 1 LT";"108"
"7802926000071";"11369";"POSTRE SAN FCO LUCUMA MANJAR 1LT";"17"
"7802926000248";"11380";"HELADO AGUA SAN FCO LIMON 1 LT";"30"
"8445291145832";"11408";"HELADO CENTELLA SAVORY 52G";"68"
"8445290262790";"50309";"LA CREMERIA CRUNCHY RAPSBERRIES 1L";"48"
"7801300004254";"55362";"HELADO BITES FRAMBUESA DARK 150GR";"55"
"7801300004261";"55642";"HELADO BITES FRAMBUESA DARK 250 GR ";"68"
"7613037777741";"60229";"HELADO PURA FRUTA MANGO SAVORY";"38"
"7802926001771";"60247";"HELADO 0% AZUCAR F DEL BOSQUE SN FCO 1LT";"42"
"7802926001795";"60255";"PACK PALETA SAN FCO 0% VAINILLA ALM 5UN";"22"
"7805000318550";"60262";"HELADO MAGNUM MINI ALMENDRAS MPK 5X60ML";"31"
"7802926001757";"60315";"HELADO 0% AZUCAR CHOC NUSS SN FCO 1LT";"35"
"0745853437664";"60671";"HELADO D´LIGHT SIN AZUCAR BROWNICHOC 200G";"24"
"764451925304";"60677";"HELADO D´LIGHT SIN AZUCAR CHOCO ALMENDRADO 200GR";"17"
"764451925335";"60679";"HELADO D´LIGHT SIN AZUCAR MANJAR PLATANO 200GR";"14"
"7802705401549";"61050";"HELADO COSTA RAMA POTE 900ML";"57"
"7802705401532";"61300";"HELADO ALMENDRADO BRESLER 900ML";"44"
"8445290587947";"62209";"MEGA DELTA FRAMBUESA 650ML";"29"
"7801552007782";"65655";"MULTIPACK MINI MILKA 48 GR 5 UND ";"27"
"7801300004100";"67461";"HELADO BITES FRAMBUESA 250GRS FM";"147"
"7801300004094";"67463";"HELADO BITES ARANDANO 150 GRS FM ";"33"
"753153701842";"67701";"PALETA HELADO KREEMS FRUTILLA";"50"
"753153701866";"67703";"PALETA HELADO KREEMS MARACUYA";"27"
"753153701811";"67706";"PALETA HELADO KREEMS COOKIES & CREAM";"78"
"753153701774";"67708";"PALETA HELADO KREEMS CHOC BROWNIE";"29"
"0753153701798";"67712";"PALETA HELADO KREEMS MANJAR BROWNIE";"27"
"7801552006495";"68200";"CASSATA MILKA 1LT";"36"
"7802705410909";"79846";"POSTRE SAN FCO PIE DE LIMON 900 ML";"38"
"7804687060004";"84950";"HELADO VAINILLA FRANCESA BRUMA 473 ML";"60"
"7804687060042";"84952";"HELADO COOKIE CREAM BRUMA 473 ML";"44"
"7804687060035";"84955";"HELADO FRUTILLA CREMA BRUMA 473 ML ";"27"
"7804687060059";"84957";"HELADO FRUTOS DEL BOSQUE BRUMA 473 ML";"26"
"8445291971387";"87466";"HELADO SAVORY FINI 70ML ";"43"
"8445291524972";"94561";"MEGA TRIO FRAMBUESA 450 ML SAVORY";"16"
"8445291533059";"94563";"MEGA TRIO TRES CHOCOLATES 450 ML SAVORY ";"11"
"7798147783223";"245612";"HELADO FRANUI CHOCOLATE BLANCO Y LECHE 150GR";"166"
"7798147784442";"245614";"HELADO FRANUI FREE 150 GR";"93"
"7613035779037";"303192";"HELADO CRAZY FRAMBUESA 170 ML SAVORY";"299"
"7613035490734";"303560";"CHOMP FRAMBUESA 225 ML SAVORY";"64"
"7802705401877";"484569";"HELADO PIÑA 1,8 L BRESLER";"22"
"7802705401914";"874415";"HELADO MECANO BRESLER 900ML ";"29"
"7802710831119";"5009046";"CASSATA 1LT PINA SAVORY ";"35"
"7802705613652";"778432565";"HELADO BRESLER VIENNETTA LUCUMA 1L ";"25"
"7802705613645";"778432567";"HELADO BRESLER VIENNETTA CLASICA 1 L";"27"
"8445290262677";"778433781";"LA CREMERIA CRUNCHY 3 LECHES SAVORY 1LT";"57"
"7803183180070";"800004374";"HELADO FRUTOS DEL BOSQUE PUDU";"32"
"7803183180278";"800004379";"HELADO COOKIES & CREAM PUDU";"23"
"7803183180445";"800004381";"HELADO VAINILLA PUDU";"66"
"7803183180391";"800004384";"HELADO SNICKER PUDU";"34"
"7803183180353";"800004575";"HELADO MANJAR DE CAMPO PUDU";"30"
"8445290262943";"800006570";"LA CREMERIA PASSION FRUIT Y MANGO 1LT SAVORY ";"15"
"8445290794932";"800006733";"HELADO BILZ Y PAP SAVORY";"74"
"8445291970922";"800007593";"CHOMP SAVORY  PISTACHO 225ML ";"50"
"7613035760301";"800007735";"MULTIPACK SAVORY DANKY MINI NOGATONGA 80 ML X5";"46"
"7613035760561";"800007738";"MULTIPACK SAVORY SAHNE NUSS 60ML X5";"70"
"7802926001580";"6556";"POSTRE SAN FCO COOKIES & CREAM 1LT";"100"
"7805000318062";"7088";"HELADO MAGNUM POSTRE CHOC NUSS 900ML";"39"
"7805000318079";"7090";"HELADO MAGNUM POSTRE FRAMBUESA BCO 900ML";"38"
"7802926001344";"7316";"PACK PALETA SAN FCO HEL CHOC FRAM 5UN";"29"
"8445291178526";"7882";"CASSATA 0% CHOCOLATE SAVORY 1L";"37"
"7890";"7890";"LIQUIDACION BODEGA HELADOS SANFRANCO 2X";"2"
"7802926410856";"8942";"POSTRE SAN FCO TIRAMISU 900 ML";"62"
"8445291533110";"10525";"TRENCITO PALETA SAVORY";"35"
"7613031238217";"11010";"CASSATA 1LT TRES LECHES SAVORY";"75"
"7613032180096";"11063";"HELADO SUPER TRULULU SAVOR 70 ML";"82"
"7613035772588";"11098";"HELADO CRAZY FLOCOS 170 ML SAVORY ";"240"
"7613035407145";"11118";"HELADO DANKY 21 SAVORY ";"18"
"7613287221629";"11125";"CASSATA 1LT CHOC F DEL BOSQUE SAVORY";"72"
"7802710350504";"11190";"CASSATA 1LT BRICK SAVORY";"72"
"7802710566240";"11199";"CHARLOT 1LT SAHNE-NUSS SAVORY";"47"
"7802710835155";"11204";"CASSATA 1LT CHIRIMOYA ALEGRE SAVORY";"101"
"7613033495335";"11252";"HELADO COLA DE TIGRE SAVORY";"76"
"7802926000033";"11330";"POSTRE SAN FCO FRAMBUESA A LA CREMA 1 LT";"102"
"7802926000170";"11346";"POSTRE SAN FCO TRONCO DE CASTANA 1 LT";"23"
"7802926000132";"11353";"POSTRE SAN FCO PAPAYAS A LA CREMA 1LT";"58"
"8445290262707";"11357";"LA CREMERIA FUDGE BROWNIE SAVORY 1LT";"89"
