Cod_Barra;PLU;Nombre;Ventas_Total
"041333001043";"10025";"BATERIA DURACELLpcr";"18"
"7804918450031";"10173";"PRESERVATIVOS LIFE STYLES STUDDED 3UNI";"29"
"7806545010114";"10478";"ALGODON AMERICANO PRENSADO 50 GRS";"12"
"14548";"14548";"VASO COCA COLA UNIDAD";"658"
"2322102";"2322103";"BOLSA PAPEL C/MANILLA  L";"20"
"0025215499678";"5012328";"AUDIFONO MAXELL M/LIBRES AZUL ";"4"
"025215717222";"5012331";"PENDRIVE MAXELL 8GB";"1"
"7804920003621";"778431874";"PROT SOLAR RAYFILTER KIDS SPRAY 100ML FC50";"1"
"7168297765828";"778434332";"CARGADOR CELULAR PHILCO USB DOBLE";"24"
"4719003001346";"800001953";"TERMOMETRO DIGITAL MICROLIFE";"17"
"7806510000447";"800002659";"BOLSA DE PAPEL C/MANILLA ";"1235"
"7755120965700";"800002931";"GLOBOS GLOBAL PARTY MEDIANO AZUL 9P 25U";"7"
"7755120965403";"800002933";"GLOBOS GLOBAL PARTY MEDIANO ROJO 9P 25U";"22"
"7755120921102";"800003408";"VELAS PALITOS X12 UN GLOBAL P.";"100"
"7755120931712";"800003411";"BOMBILLAS ECO POLIPAPEL X 10 UNDS GLOBAL P.";"29"
"7755120810109";"800003423";"PLATO MEDIANO 18 CMS POLIPAPEL AMARILLO X 10";"16"
"7755120812905";"800003433";"VASO POLIPAPEL 350 CC BLANCO X 10";"48"
"7755120812974";"800003436";"BANDEJA RECTANGULAR MEDIANA C/BLONDA(25X33 CMS)";"8"
"7755120813698";"800003439";"CUCHARA DE MADERA X 10 UNDS";"53"
"7755120813711";"800003441";"CUCHILLO DE MADERA X 10 UNDS ";"15"
"7755120813834";"800004425";"VASO DE PAPEL PARA CAFE 240CC  X 10UN";"189"
"7755120932009";"800004427";"BROCHETAS GLOBAL PARTY 30 CMS 50U";"6"
"7804661490841";"800005080";"SET CAFE PILAO 250 GRS + TAZON KOE";"1"
"7804676651015";"800005543";"FOSFOROS PARRILLEROS DOÑA GABY 40 UNDS";"61"
"769503436012";"800006177";"AMPOLLETA LED WELLMAX ECON 9W FRIA";"54"
"7804676650377";"800006189";"VASO TRANSICION SEQUITOS 210 ML";"2"
"8716722002278";"800006213";"CENICERO METALICO BULLDOG AZUL";"1"
"7804676650476";"800006223";"BASTONCITOS SEQUITOS ANAT SEGUR 60U";"35"
"0025215720727";"800006301";"PILA ALCALINA MAXELL AA UNID";"289"
"800006316";"800006316";"CHIP PREPAGO MOVISTAR";"67"
"025215723025";"800006377";"PILA ALCALINA MAXELL D X2";"57"
"041333014630";"800007013";"PILA AA DURACELL X2";"365"
"6922516326969";"800007018";"AROMATIZANTE AUTO SPARCO CHAQUETA";"1"
"025215717239";"800007271";"PENDRIVE MAXELL 16GB";"1"
"7806810251068";"800008315";"ABRIDOR MULTIPLE BASIC ILKO";"14"
"7806810264037";"800008319";"CUCHILLO COCINA ILKO 18 CM BASIC";"4"
"7805040003485";"800008321";"SILICONA AUTO TEAM 480 CC LAVANDA";"8"
"7806810240055";"800008323";"TABLA P/CORTAR ILKO GRANDE 40X26CM CLASICA";"2"
"6936380900019";"800008377";"JUEGO NAIPES INGLES 2 MAZOS PLASTICOS";"12"
"1003490685794";"800008379";"JUEGO DOMINO ESTUCHE PLASTICO";"8"
"041333000985";"10023";"PILA DURACELL D X 2UNDS ";"47"
"7804918450017";"10171";"PRESERVATIVOS LIFE STYLES NUDA 3UNI";"25"
"7804612130093";"10301";"ENCENDEDOR RONSON COCINA ELECTR";"20"
"10850";"10850";"BOLSA PP KRAFT TEJA MARKET";"10139"
"7806300010021";"26218";"FOSFOROS COPIHUEX10";"177"
"041333431482";"5010429";"PILA ALCALINA DURACELL BLISTER AAA X2";"532"
"0025215499661";"5012330";"AUDIFONO MAXEL M/LIBRES ROJO";"18"
"7806810252003";"778431430";"SACACORCHO DOBLE PALANCA ILKO";"22"
"778433791";"778433791";"BOLSA ECOLOGICA RECICLABLE";"805"
"010900710923";"800001919";"PAPEL PARA COCINAR REYNOLS 7.3 M";"28"
"025215487224";"800001986";"PENDRIVE MAXELL 16GB";"12"
"7755120932108";"800002930";"BROCHETAS GLOBAL PARTY 40 CMS 50U";"21"
"7755120965502";"800002932";"GLOBOS GLOBAL PARTY MEDIANO BLANCO 9P 25U";"4"
"7755120962709";"800002939";"VASOS BICOLOR ROJO GLOBAL PARTY 500CC 10U";"39"
"7755120951000";"800003409";"VELAS MAGICAS X12 UN GLOBAL P.";"123"
"7896380105335";"800003412";"MONDADIENTES X 100 UNDS GLOBAL P.";"48"
"7755120810307";"800003424";"PLATO MEDIANO 18 CMS POLIPAPEL NARANJO X 10";"30"
"7755120812943";"800003435";"PLATO CARTON MEDIANO X 10";"60"
"7755120813056";"800003438";"VASO DE PAPEL PARA CAFE 10OZ X 10UN";"4"
"7755120813704";"800003440";"TENEDOR DE MADERA X 10 UNDS";"57"
"7755120813728";"800003442";"CUCHARA TE/CAFE DE MADERA X 10 UNDS";"18"
"7755120931729";"800004426";"BOMBILLAS ECO POLIPAPEL X 20 UNDS GLOBAL P.";"24"
"7755120813902";"800004428";"MONDADIENTES X 250 UNDS GLOBAL P.";"49"
"7755120921508";"800005416";"VASOS TRANSPARENTES GLOBAL PARTY 500CC 10U";"177"
"769503436029";"800006176";"AMPOLLETA LED WELLMAX ECON 9W CALIDA";"105"
"7806545030310";"800006179";"PETALOS DE ALGODON DESM COTOBEL 80 UNDS";"75"
"8716722031018";"800006211";"CENICERO METALICO BULLDOG PAISAJE";"2"
"8716722002315";"800006214";"CENICERO METALICO BULLDOG VERDE";"1"
"0025215721113";"800006300";"BATERIA 9V ALCALINA MAXELL UNID";"8"
"0025215720734";"800006302";"PILA ALCALINA MAXELL AAA UNID";"265"
"7755120813667";"800006356";"MANTEL GLOBAL PARTY BLANCO 137X274 CMS";"3"
"7804676650582";"800006566";"TOALLITA HUMEDA SEQUITOS 50 UNDS C/TAPA";"331"
"6922516326785";"800007017";"AROMATIZANTE AUTO SPARCO CASCO VAINILLA ";"3"
"025215736445";"800007089";"PILA MAXEL LITIO CR 1616";"14"
"7755120990504";"800007357";"MANTEL GLOBAL PARTY COLORES 137X274 CMS";"8"
"7805040003461";"800008318";"CERA AUTOMOVIL TEAM 650 CC AEROSOL ";"1"
"7805040003478";"800008320";"RENOVADOR DE GOMA TEAM 650 CC AUTO A/SOL";"2"
"7805040003492";"800008322";"SILICONA AUTO TEAM 480 CC VAINILLA";"3"
"7806810240086";"800008324";"TABLA P/CORTAR ILKO PEQUEÑA 21X30 CM CLASICA";"3"
"6936380900026";"800008378";"JUEGO NAIPES ESPAÑOL PLASTICOS";"21"
"800008442";"800008442";"VASO VIDRIO COCA COLA MUNDIAL";"20"
