Cod_Barra;PLU;Nombre;Ventas_Total
"7802110002621";"4574";"PISCO SOUR ESTRELLA DEL ELQUI 750 CC";"47"
"8501110080439";"4580";"RON HAVANA CLUB  ANEJO 7 AÑOS 700 CC";"4"
"7804617140004";"4647";"PISCO MAL PASO 750 ML 35º GL";"10"
"5011013100132";"4667";"LICOR CREAM BAILEYS 750CC IRISH";"105"
"5010106111536";"4713";"WHISKY BALLANTINES FINEST 75 CL 40º";"24"
"7312040017010";"4746";"VODKA ABSOLUT 750 ML 40º";"35"
"7501035042322";"4754";"TEQUILA JOSE CUERVO SILVER 750CC";"2"
"7804339002598";"4864";"RON MADDERO BLANCO 750CC 40 º";"12"
"7891136057029";"7072";"APERITIVO APEROL NARANJA";"51"
"7802118000018";"25428";"LICOR ESTOMACAL ARAUCANO 900CC";"86"
"7802175454267";"40035";"PISCO HORCON QUEMADO 35  645CC";"10"
"7312040350063";"40043";"VODKA ABSOLUT RASPBERRI 750 ML 40 ";"18"
"082184090466";"40047";"WHISKY JACK DANIELS 750 CC";"14"
"7312040090754";"40054";"VODKA ABSOLUT CITRON 750 ML ";"13"
"7802175455080";"40070";"LICOR FEHRENBERG TRIPLE SEC 700 ML";"13"
"7802175455073";"40119";"LICOR AMARETTO FEHRENBERG 700C";"32"
"082184000335";"40168";"WHISKEY JACK DANIELS 75CL 35  HONEY";"11"
"7802150088814";"40230";"JARABE GOMA MITJANS 700 ML";"43"
"7640175745974";"40260";"GIN BOMBAY SAPHIRE 40° 750 ML";"20"
"080432400432";"40307";"WHISKY CHIVAS 12 ANOS 40  1LTS";"8"
"7802110001952";"40321";"PISCO ALTO DEL CARMEN ESPECIAL 1 LTS";"159"
"5000267116419";"40329";"WHISKY JOHNNY WALKER DOUBLE BLACK 750 ML 40 ";"2"
"7802175455806";"40344";"MISTRAL ICE DRY 275 CC";"137"
"5000267015200";"40360";"WHISKY JOHNNIE WALKER RED 200 ML PETACA";"22"
"5000329002254";"40406";"GIN BEEFEATER 750 ML 40  ";"29"
"8000570552505";"40435";"MARTINI PROSECCO 750ML 11.5 ";"1"
"7802150002612";"40460";"DESTILADO CHILLAN 50 ° 900 ML";"40"
"082184090442";"40492";"WHISKY JACK DANIELS 1 LT";"4"
"5011026108026";"40518";"WHISKY TULLAMORE DEW 750 CC";"5"
"7751171001176";"40554";"DESTILADO VINAS DE ORO ITALIA 750 CC";"2"
