Cod_Barra;PLU;Nombre;Ventas_Total
"30428";"30428";"GOHAN POLLO TERIYAKI 450 GRS APROX";"1215"
"30486";"30486";"GOHAN ACEVICHADO 450 GRS APROX";"491"
"30434";"30434";"GOHAN SALMON 450 GRS APROX";"387"
"30488";"30488";"GOHAN CAMARON 450 GRS APROX";"387"
"30450";"30450";"WRAP SALUDABLE PROTEICO 350 GRS APROX";"268"
"30405";"30405";"PASTA FIDEOS CON CAMARON Y SALSA THAI 350 GRS APROX";"204"
"30440";"30440";"PASTA FIDEOS CON POLLO Y SALSA THAI 350 GRS APROX";"201"
"30395";"30395";"PLATO CHILENO CARNE MECHADA CON PAST. DE CHOCLO 360 GRS APROX";"197"
"30704";"30704";"PLATO INTER. AJI DE GALLINA CON ARROZ 360 GRS APROX";"170"
"6993";"6993";"ENSALADA DE POLLO 350 GRS APROX";"159"
"30340";"30340";"PASTA LASAÑA BOLOÑESA 300 GRS. APROX";"147"
"30372";"30372";"PLATO INTER. POLLO CON SALSA DE CHAMPIÑONES Y PURE 350 GRS APROX";"145"
"30480";"30480";"GOHAN CHAMPIÑON 450 GRS APROX";"137"
"30373";"30373";"PLATO CHILENO PASTEL DE CHOCLO 300 GRS APROX";"137"
"30490";"30490";"POSTRE VASO MIX DE FRUTA 300 GRS APROX";"136"
"30498";"30498";"POSTRE MOTE CON HUESILLO 600 ML APROX";"130"
"30706";"30706";"PLATO INTER. BUTTER CHICKEN CON ARROZ 350 GRS. APROX";"127"
"30371";"30371";"PLATO INTER. POLLO CON SALSA CUATRO QUESOS Y PAPAS ASADAS 350 GRS APROX";"118"
"30422";"30422";"HAMBURGUESA PAN DE CERVEZA 370 GRS APROX";"113"
"30435";"30435";"POSTRE PANNA COTTA CON FRAMBUESA 190 GRS APROX";"106"
"30702";"30702";"PASTA ÑOQUIS AL PESTO 350 GRS APROX";"100"
"30514";"30514";"PLATO CHILENO GUATITAS A LA JARDINERA CONA ARROZ 350 GRS APROX";"98"
"30449";"30449";"PLATO CHILENO PASTEL DE CHOCLO 500 GRS APROX";"98"
"30396";"30396";"ENSALADA CEVICHE SALMON 320 GRS. APROX";"94"
"30414";"30414";"PLATO CHILENO PASTEL DE CHOCLO HALOPACK 400 GRS APROX";"86"
"30492";"30492";"PLATO CHILENO LENGUA NOGADA CON PURE 360 GRS APROX";"86"
"30705";"30705";"PLATO INTER. SALMON CON RISOTTO DE CHAMPIÑONES 350 GRS APROX";"83"
"30412";"30412";"PASTA LASAÑA BOLOÑESA HALOPACK 400 GRS APROX";"81"
"30431";"30431";"PLATO CHILENO PASTEL DE CHOCLO VEGETARIANO 500 GRS APROX";"76"
"30337";"30337";"POKE ATUN SPICY 350 GRS APROX";"72"
"30708";"30708";"PLATO INTER. SALMON CON RISOTTO AL PESTO 350 GRS APROX";"71"
"30429";"30429";"PIZZA SALAME PEPPERONI INDIVIDUAL 380 GRS APROX";"71"
"6957";"6957";"ENSALADA JAMON SERRANO 350 GRS APROX";"67"
