Cod_Barra;PLU;Nombre;Ventas_Total
"778433576";"778433576";"PAN DE PASCUA TEJAFOOD";"161"
"9894";"9894";"CIABATTA RUSTICO  INTEGRAL KG";"1166.2169999999999"
"523";"523";"PAN DOBLADITA ENVASADO  280  APROX";"177"
"54";"54";"HALLULLA";"33053.351"
"922";"922";"PAN BAGUETTE FABR PROPIA";"720"
"550";"550";"CIABATTA RUSTICO INTGRAL ENV 400 GR";"355"
"16081";"16081";"LA HOGAZA DEL TEJA";"1"
"30954";"30954";"HOTELERO INTEGRAL";"313"
"918";"918";"MARRAQUETA";"6332.802000000003"
"915";"915";"BAGUETTE MASA MADRE";"57"
"90032";"90032";"DOBLADAS";"2.036"
"30474";"30474";"PANCITOS CON AJO  Y PEREJIL";"11"
"30409";"30409";"QUEQUE ARTESANAL TEJA FOOD";"35"
"16013";"16013";"PAN MOLDE BLANCO ";"208"
"920";"920";"PAN BAGUETTE INTEGRAL ";"212"
"9983";"9983";"PAN FUGAZZA TOSCANO";"150"
"104";"104";"PAN TOSCANO";"1016.5070000000002"
"540";"540";"PAN HAMBURGUESA  ENVASADO 430 GRS APROX";"484.256"
"500";"500";"PAN PITA BLANCO ENVASADO 450 GRS";"1294"
"16083";"16083";"PAN HOTELERO 700 GR";"404"
"16016";"16016";"PAN CON CHICHARRONES pnd";"4117"
"9984";"9984";"PAN FUGAZZA CEBOLLA";"248"
"535";"535";"PAN COMPLETO  ENVASADO 350 GRS APROX";"1205"
"501";"501";"PAN PITA INTEGRAL ENVASADO 500GRS APROX";"989"
"16047";"16047";"PAN DE QUESO TEJA FOO  230 APROX";"131"
"90200";"90200";"PAN DE QUESO ,JAMON SERRANO ,OREGANO 230 GR APROX";"135"
"917";"917";"PAN HAMBURGUESA FABR PROPIA";"610.4079999999999"
"164";"164";"PAN INTEGRAL pnd";"821.409"
"16014";"16014";"PAN MOLDE INTEGRAL ";"460"
"30716";"30716";"PAN CHILOTE TEJA MARKET";"826.7790000000005"
"30455";"30455";"QUEQUE BROWNIE 600 GRS.";"237"
"914";"914";"PAN COPIHUE FABR PROPIA";"1459.801"
"16037";"16037";"PAN PITA";"1313.5949999999998"
"928";"928";"PAN ITALIANO KG";"5810.258000000002"
"408";"408";"PAN CIABATTA RUSTICO GRANEL";"3425.9449999999997"
"60568";"60568";"PAN PITA INTEGRAL";"1094.8389999999997"
"16038";"16038";"PAN MOLDE INTEGRAL SEMILLAS";"686"
"183";"183";"PIZZA  CARNE QUES0";"135"
"363";"363";"PAN MOLDE CON CERVEZA  450  APROX";"171"
"61212";"61212";"PAN HAMBURGUESA CON CERVEZA 580 GR APROX";"118"
"957";"957";"QUEQUE PLATANO NUEZ RECTANGULAR";"19"
"30457";"30457";"PAN RALLADO TEJA FOOD 240 GR";"7"
"33";"33";"PAN BAGUETTE XL ";"9"
"506";"506";"PAN QUESO ENVASADO 350 GRS APROX";"109"
"48926";"48926";"CROISSANT BOMBON MIDI EP55GR";"68"
"502";"502";"PAN BOCADO DE DAMA ENVASADO 280 GRS APROX";"26"
"13577";"13577";"PAN QUESO JAMON ";"57"
