Cod_Barra;PLU;Nombre;Ventas_Total
"1193";"1193";"PAN CENTENO 500 GR LEHMANN";"360"
"7803473001603";"16022";"PIZZA X 2 C/TOQUE CEBOLLA";"93"
"7803473002242";"16029";"TORTILLA MEXICANA 18 CMS TIA ROSA 10 UN.";"499"
"7803473000750";"16048";"PAN PITA INTEGRAL IDEAL 300 GRS";"109"
"7803480001214";"67724";"PAN HAMB FUCHS 8UN";"171"
"7803403000195";"300084";"TORTILLA BURRERA 400GR IDEAL";"392"
"7803473002662";"5008823";"PAN MOLDE BLANCO XL 750GR IDEAL";"383"
"7803403002212";"778431635";"PAN RALLADO IDEAL 250GR";"203"
"7802095181168";"778432139";"TORTILLAS MEXICANAS X8 L PANCHO VILLA 256G";"206"
"7803403000331";"778433271";"TORTILLAS RAPIDITAS CLÁSICAS IDEAL 200 GRS";"511"
"7803403002502";"800000199";"PRE PIZZA A LA PIEDRA 270GR";"115"
"7803480001399";"800002657";"PAN CALABAZA NUEZ FUCHS 350G";"34"
"7803403003158";"800003014";"PAN HOT DOG IDEAL 8UND. 450GRS";"148"
"7803468002905";"800003060";"PAN HAMBURGUESA CASTANO 460GR";"195"
"7803468002486";"800003067";"MINI TOAST CASTANO BLANCO 90 GRS";"92"
"7803468001946";"800003073";"PAN CROCATA CASTANO 480GR";"46"
"7803468003476";"800003125";"PAN BLANCO S/LACTOSA CASTANO 570G";"822"
"7803468003001";"800003414";"TAPADITO BLANCO EL CASTANO 350GR";"34"
"7803403003240";"800004798";"PAN INTEGRAL IDEAL CERO CERO 580 GRS";"106"
"7803403003424";"800005349";"TORTILLAS RAPIDITAS IDEAL LINAZA CHIA 200G";"159"
"7803468002226";"800005677";"PAN MOLDE CASTANO BLANCO 400G";"334"
"7803480001405";"800006389";"PAN FUCHS MULTIGRANOS IDEAL 350GR";"62"
"7803480001443";"800006391";"PAN FUCHS LINAZA-CHIA IDEAL 350GR";"35"
"7803480001412";"800006393";"PAN MULTIGRANO FUCHS LIGHT 620GRS  ";"189"
"7803473005960";"800006573";"MANKEKE MARINELA 3 UNIDADES 90GR";"176"
"7898954933450";"800006625";"PAN BLANCO DR SCHAR 200 GRS";"48"
"7898954933634";"800006628";"PAN DE MOLDE DR SCHAR 200 GRS";"24"
"7803468005005";"800006676";"PAN MOLDE FAMILIAR INTEGRAL CASTANO 600GR";"376"
"7803403003042";"800006753";"PAN IDEAL ARTESANO INTEGRAL 600GR";"181"
"7803403003110";"800007093";"PAN INTEGRAL IDEAL MAS PROTEIN 10 640 GRS";"54"
"7803468005326";"800007494";"PAN MOLDE CASTANO LINAZA CHIA PREBIOTICO 400GR";"198"
"7803468005340";"800007545";"PAN MOLDE CASTAÑO CALABAZA PROTEINA 400 GRS";"156"
"7891962060453";"800007878";"TOSTADA ORIGINAL BAUDUCCO 142 G";"14"
"1191";"1191";"PAN SCHROTBROT INTEGRAL 500 GR LEHMANN";"934"
"1196";"1196";"PAN HOTELERO  500 GR LEHMANN";"241"
"7803403232114";"16023";"PRE PIZZA RECT 3 UNDS IDEAL 750 GRS";"151"
"7803473000767";"16046";"PAN PITA IDEAL BCO 300 GRS";"86"
"7803473543189";"27353";"GANSITO MARINELA 50 GRS";"60"
"7803403004094";"99998";"PAN BLANCO IDEAL SIN BORDE 400 GR";"183"
"7802095000209";"300878";"QUESAVILLAS PANCHO VILLA M 8UN";"101"
"7803403236341";"5012161";"PREPIZZA MASA CLASICA 500GRS";"113"
"7803403002304";"778432051";"TIA ROSA TORTILLA GRANDOTA";"216"
"7803480020079";"778432372";"PAN FUCHS STUTGAR INTEGRAL 650 IDEAL";"230"
"7803403002632";"778434435";"PAN DE COMPLETO XL X 6UN IDEAL";"273"
"7803480001269";"800002359";"PAN LINAZA CHIA FUCHS 650GRS";"1"
"7803403002588";"800002859";"PAN ARTESANO HAMBURGUESA IDEAL 720GR";"82"
"7803468001427";"800003059";"PAN HOT DOG XL CASTANO 480GR";"156"
"7803468002523";"800003062";"PAN PITA INTEGRAL CASTANO";"50"
"7803468002509";"800003068";"PAN RALLADO CASTANO 250GRS";"16"
"7803468003056";"800003117";"PAN MOLDE MIGA SANDW. CASTANO 440GRS";"337"
"7802095180123";"800003413";"TORTILLAS BURRITOS PANCHO VILLA XL 8UN";"307"
"7803403003233";"800004797";"PAN BLANCO IDEAL CERO CERO 580 GRS";"157"
"7803403003431";"800005348";"TORTILLAS RAPIDITAS IDEAL TOMATE OREG ALB 200G";"143"
"7803468003469";"800005374";"TORTILLAS ANDALE BURRITOS 21 CM 400 GRS";"81"
"7803468004534";"800005828";"PAN KINGSBURY PERFECTO 580G";"191"
"7803480001436";"800006390";"PAN LINAZA CHIA FUCHS 600GRS";"221"
"7803480001429";"800006392";"PAN CALABAZA NUEZ FUCHS 600G";"190"
"7803468003483";"800006555";"PAN MOLDE CASTANO FAMILIAR BLANCO XL";"39"
"7803403003936";"800006610";"PAN MOLDE BLANCO IDEAL 580 GRS";"124"
"7898954933610";"800006627";"PAN FRANCES DR SCHAR 100 GRS";"29"
"7898954933467";"800006629";"PAN RUSTICO DR SCHAR 200 GRS";"24"
"7803403003264";"800006752";"PAN IDEAL ARTESANO MASA MADRE 550GR";"237"
"7803403004018";"800006910";"PAN BRIOCHE ARTESANO IDEAL 370 GRS";"14"
"7898954933689";"800007365";"PAN HAMBURGUESA DR SCHAR 130 GRS";"33"
"7803468005333";"800007495";"PAN MOLDE CASTANO MULTIGRANO PROTEINA 400GR";"213"
"7891962060477";"800007877";"TOSTADA MULTIGRANOS BAUDUCCO 142 G ";"11"
