Cod_Barra;PLU;Nombre;Ventas_Total
"30853";"30853";"ALFAJOR CORAZON ";"68"
"30848";"30848";"TORTA RED VELVET ";"8"
"30852";"30852";"ENTREMET CORAZON TERCIO PELO ";"6"
"30850";"30850";"TORTA TRUFA LIMON ";"7"
"30849";"30849";"TORTA AMOR ";"3"
"30851";"30851";"ENTREMET FRAMBUESA PISTACHO ";"4"
"22129";"22129";"PIE DE FRAMBUESA";"285"
"30845";"30845";"BERLIN MANJAR ";"44"
"30844";"30844";"BERLINES DE PASTELERA ";"86"
"30846";"30846";"CALZONES ROTOS";"43"
"30830";"30830";"CINNAMON ROLLS ";"56"
"60222";"60222";"PASTEL DE YOGHURT ";"14"
"807";"807";"PASTEL TORTA CALUGA ";"313"
"22156";"22156";"GALLETON AVENA / FRUTOS ROJOS";"854"
"60541";"60541";"GALLETON AVENA PASAS Y NUECES";"1423"
"90116";"90116";"PASTEL CELESTIAL  TEJA ";"25"
"60593";"60593";"PASTEL CELESTIAL MARLEY";"6"
"22166";"22166";"PASTEL ZANAHORIA MARLEY";"25"
"30186";"30186";"TORTA PINA 19 CM";"35"
"22136";"22136";"KUCHEN DE ARANDANO";"202"
"22118";"22118";"TRUFA BANADA CHOCOLATE MARLEY ";"1"
"22021";"22021";"POSTRE PIE FRAMBUESA 145 GR APRO";"149"
"94156";"94156";"POSTRE PIE MARACUYA 145 APROX ";"132"
"90123";"90123";"POSTRE PAI LIMON 145 GR APROX";"149"
"22050";"22050";"PIE DE LIMON ENTERO pst";"448"
"22115";"22115";"PASTEL FIESTA VALDIVIANA IND.";"263"
"22085";"22085";"KUCHEN DE FRAMBUESA";"853"
"22180";"22180";"PASTEL DE NARANJA  MARLEY";"21"
"22041";"22041";"MENDOCINOS pst";"779"
"2123";"2123";"MEDOCINOS COFFE MARLEY";"31"
"22264";"22264";"PASTEL CHOCOLATE MARLEY";"40"
"22258";"22258";"PASTEL FLOR DE LOTO IND.";"308"
"6220";"6220";"PASTEL CALUGA MARLEY";"32"
"22102";"22102";"TORTA  ONCOL  19 CM";"106"
"22072";"22072";"TORTA FIESTA VALDIVIANA 19 CM";"60"
"9911";"9911";"TORTA MAZAPAN CHOCOLATE";"1"
"6949";"6949";"TORTA TIRAMISU VASO";"150"
"71239";"71239";"TORTA BAILEYS OTOÑAL VASO";"50"
"60598";"60598";"VASO SELVA NEGRA";"58"
