Cod_Barra;PLU;Nombre;Ventas_Total
"30825";"30825";"CINNAMON ROLLS MARLEY";"7"
"22129";"22129";"PIE DE FRAMBUESA";"71"
"30822";"30822";"CARROT CAKE MARLEY ";"11"
"30824";"30824";"NY COOKIE MARLEY ";"38"
"30826";"30826";"ALFAJOR BONBON MARLEY ";"17"
"30830";"30830";"CINNAMON ROLLS ";"25"
"30815";"30815";"TARTA CITRON MARLEY  ";"18"
"30816";"30816";"CHEESCAKE FRAMBUESA NUEVO MARLEY ";"20"
"30819";"30819";"BROWNIE AVELLA EUROPEA MARLEY ";"18"
"30821";"30821";"TORTA CHOCO CAFE MARLEY ";"14"
"30823";"30823";"PROFITEROL CRAQUELINE CHOCOMARACUYA MARLEY";"14"
"30827";"30827";"TARTA QUEEN FIZZ MARLEY ";"14"
"30800";"30800";"NY COOKIE & CREAMS";"8"
"30817";"30817";"CHEESECAKE CARAMELO SALADO MARLEY ";"20"
"30818";"30818";"TARTA CHOCOBOM CARAMEL MARLEY ";"16"
"30820";"30820";"BROWNIE MARQUIS MARLEY ";"16"
"807";"807";"PASTEL TORTA CALUGA ";"27"
"60541";"60541";"GALLETON AVENA PASAS Y NUECES";"433"
"22156";"22156";"GALLETON AVENA / FRUTOS ROJOS";"181"
"22166";"22166";"PASTEL ZANAHORIA MARLEY";"77"
"30186";"30186";"TORTA PINA 19 CM";"10"
"22136";"22136";"KUCHEN DE ARANDANO";"43"
"90123";"90123";"POSTRE PAI LIMON 145 GR APROX";"51"
"94156";"94156";"POSTRE PIE MARACUYA 145 APROX ";"46"
"22021";"22021";"POSTRE PIE FRAMBUESA 145 GR APRO";"44"
"22115";"22115";"PASTEL FIESTA VALDIVIANA IND.";"86"
"22050";"22050";"PIE DE LIMON ENTERO pst";"79"
"22085";"22085";"KUCHEN DE FRAMBUESA";"193"
"22180";"22180";"PASTEL DE NARANJA  MARLEY";"60"
"22041";"22041";"MENDOCINOS pst";"131"
"2123";"2123";"MEDOCINOS COFFE MARLEY";"46"
"22264";"22264";"PASTEL CHOCOLATE MARLEY";"56"
"22258";"22258";"PASTEL FLOR DE LOTO IND.";"128"
"6220";"6220";"PASTEL CALUGA MARLEY";"50"
"22102";"22102";"TORTA  ONCOL  19 CM";"21"
"71240";"71240";"TORTA CELESTIAL VASO";"17"
"60598";"60598";"VASO SELVA NEGRA";"10"
"94159";"94159";"TORTA WHISKY ";"2"
"30300";"30300";"TORTA FLOR DE LOTO 19 CM";"6"
"22006";"22006";"BRAZO DE REINA";"61"
"22072";"22072";"TORTA FIESTA VALDIVIANA 19 CM";"15"
"6949";"6949";"TORTA TIRAMISU VASO";"36"
"785";"785";"BROWNIE FRAMBUESA  MARLEY";"38"
"90049";"90049";"GALLETON AVENA PASAS NUECES CAFE MARLEY";"170"
"412";"412";"PIE LIMON MARLEY";"46"
"30187";"30187";"TORTA ZANAHORIA MARLEY";"10"
"171";"75000";"CHEESECAKE INDIVIDUAL COFFE MARLEY";"107"
"806";"806";"BR0WNIE MANJAR MARLEY";"38"
"411";"411";"PIE FRAMBUESA MARLEY";"58"
"22175";"22175";"TORTA CALUGA M MARLEY";"8"
"22056";"22056";"TARTALETA DE FRUTAS";"42"
"60612";"60612";"PIE RELLENO DE MARACUYA";"46"
"60610";"60610";"KUCHEN YOGHURT ENTERO ";"11"
"9654";"9654";"TORTA CELESTIAL M ";"27"
"30445";"30445";"CHEESECAKE FRAMBUESA";"14"
"30465";"30465";"STRUDEL ALEMAN";"13"
"60594";"60594";"TORTA CALUGA M";"32"
"22126";"22126";"BRAZO DE REINA CHOCOLATE GRANILLO";"56"
"30447";"30447";"CHEESECAKE MARACUYA";"12"
"22153";"22153";"TORTA BELZEBOO";"3"
"60532";"60532";"TORTA ZANAHORIA M";"5"
"65099";"65099";"KUCHEN FRUTOS DEL BOSQUE TEJA MARKET";"153"
"22248";"22248";"KUCHEN DE NUEZ";"62"
"90";"90";"GALLETON AVENA ZANAHORIA ";"72"
"60614";"60614";"TARTA MANZANA MURTA";"19"
"916";"916";"MIX DE TARTAS ";"20"
"22167";"22167";"TORTA SELVA VALDIVIANA";"25"
"87";"87";"TARTALETA PASTA FLORA";"18"
"21214";"21214";"PIE DE FRAMBUESA IND.";"141"
"30476";"30476";"BIENENSTICH (KUCHEN DE NUEZ RECETA ALEMANA)";"8"
"30563";"30563";"CHEESECAKE DE MURTA";"8"
"22240";"22240";"TORTA PANQUEQUE CHOC , MANJAR , NUEZ ";"15"
"30387";"30387";"PASTA FLORA INDIVIDUAL";"44"
"30297";"30297";"TORTA PINO HUACHO ";"29"
"22241";"22241";"PASTEL FRAMBUESA IND";"6"
"117";"117";"KUCHEN MIGA RELLENO";"40"
"30443";"30443";"CHEESECAKE INDIVIDUAL";"107"
"30470";"30470";"KUCHEN SALUDABLE FRUTOS ROJOS";"4"
"7770";"7770";"TORTA CELESTIAL ";"19"
"22055";"22055";"TARTALETA DE FRUTA INDIVIDUAL";"58"
"22076";"22076";"TRUFA MANJAR";"774"
"94158";"94158";"QUEQUE INGLES RECTANGULAR";"6"
"60605";"60605";"QUEQUE INGLES RED";"6"
"30301";"30301";"BROWNIE MANT MANI CHOC BLANCO";"48"
"89890";"89890";"BROWNIE MANJAR";"43"
"334";"334";"QUEQUE NARANJA 500 GRS. APROX";"29"
"345";"345";"QUEQUE CHIPS DE CHOCOLATE 500 GRS APROX";"36"
"95953";"95953";"BROWNIE FRAMBUESA CHOCOLATE";"24"
"60600";"60600";"QUEQUE DE FRAMBUESA";"34"
"551";"551";"PIE DE MARACUYA IND.";"54"
"304";"304";"QUEQUE PLATANO";"32"
"335";"335";"QUEQUE NUEZ 500 GRS APROX";"25"
"22112";"22112";"PASTEL  SELVA VALDIVIANA IND.";"35"
"22246";"22246";"PASTEL PINO HUACHO IND.";"17"
"22051";"22051";"PIE DE LIMON INDIVIDUAL";"145"
"120";"120";"PORCION KUCHEN";"164"
"30507";"30507";"MIX  CHEESECAKE ";"13"
"7463";"7463";"PASTEL DE YOGHURT";"18"
"60609";"60609";"PORCION TORTA";"126"
