Cod_Barra;PLU;Nombre;Ventas_Total
"17";"17";"DULCES ARABES 3 UNDS";"1"
"4840";"4840";"CEREGLI CHOCO/NUEZ UND ORIENTAL PRODUCTOS";"125"
"6723";"6723";"ROLLITO NEW YORK MOULIN";"317"
"7904";"7904";"DUNS COCONUT 72GR EU";"131"
"764451515581";"10703";"GALLETON AVENA DEL CERRO";"896"
"0793969113682";"10717";"BARRA TIPO SNICKER DEL CERRO PACK X2";"163"
"793969113705";"10736";"TORTA VASO ZANAHORIA NUEZ DEL CERRO 245GR ";"114"
"22010";"22010";"FATAYER MANZANA UND ORIENTAL PRODUCTOS";"170"
"7803473005854";"22221";"MAGDALENAS TRES LECHES AGUA PIEDRA 2 UNDS";"18"
"7803525999681";"28216";"QUEQUE BROWNIE NUTRA BIEN FAM 250 GRS";"217"
"079344007204";"28238";"QUEQUE DE CHOCOLATE SCHLUNDER 400GRS";"150"
"079344007273";"28243";"QUEQUE DE CHOCOLATE C/TROZOS  SCHLUNDER 400 GRS";"34"
"079344007235";"28384";"QUEQUE LIMON SCHLUNDER 400 GRS";"106"
"60519";"60519";"CEREGLI NUEZ UND";"293"
"60521";"60521";"BURMA UNIDAD ORIENTAL PRODUCTOS";"3"
"60523";"60523";"CEREGLI PISTACO UNI ORIENTAL PRODUCTOS";"72"
"67124";"67124";"DUNS PINK WHITE 74 GRS EP";"176"
"799192427763";"74510";"MIX GALLETAS S/ GLUTEN 250GR";"157"
"799192427756";"74513";"TORTA HOJA MANJAR PASTELERA S/GLUTEN 300GR";"77"
"7802237000883";"303386";"SURTIDO DULCES ARABES MINI COCKTAIL 6 UNID";"229"
"7803525001018";"800000017";"QUEQUE BROWNIE NUTRA BIEN ZANAHORIA 250 GRS";"150"
"4101540705113";"800001578";"QUEQUE SCHLUNDER MARZIPAN 400 GRS";"15"
"8424465954203";"800007160";"DONUTS REYADA NEGR.PACK EP 120GR";"220"
"8424465954197";"800007167";"DONUT RAYADO BLAN PACK EP 160 GR";"2"
"8424465952704";"800007169";"DONUTS CACAO PACK EP 110GR ";"158"
"6722";"6722";"ROLLITO CANELA MOULIN";"559"
"6731";"6731";"PALMERITA MOULIN";"451"
"764451515604";"10702";"BROWNIE DEL CERRO";"596"
"764451515598";"10705";"MUFFIN ARANDANO DEL CERRO";"816"
"793969113668";"10733";"MUFFIN NARANJA AMAPOLA DEL CERRO";"824"
"793969113699";"10738";"TORTA VASO FRAMBUESA MANJAR DEL CERRO 310GR";"105"
"22189";"22189";"BURMA DUBAI SUK UNID";"15"
"7803525001001";"28215";"QUEQUE BROWNIE NUTRA BIEN S/AZUCAR 250 GRS";"128"
"7803525999704";"28218";"QUEQUE BROWNIE NUTRA BIEN MARMOL 250 GRS";"193"
"079344007242";"28241";"QUEQUE MARMOLADO SCHLUNDER 400 GRS";"21"
"079344007228";"28354";"QUEQUE SCHLUNDER MAZAPAN 400 GRS";"79"
"56146";"56146";"DUNS NUBES EP 59 GR";"136"
"60520";"60520";"CEREGLI FRAMBUESA UND ORIENTAL PRODUCTOS";"178"
"60522";"60522";"BACLAVA UNIDAD ORIENTAL PRODUCTOS";"119"
"67121";"67121";"DUNS EU DUBAI 75GRS ";"96"
"67128";"67128";"DUNS COOKIE WHITE ";"150"
"799192427749";"74512";"TORTA CHOCOLATE LICOR S/GLUTEN 330GR ";"89"
"87126";"87126";"DUNS TUTTI BOMBON EP 75GR ";"188"
"7803525999674";"800000016";"QUEQUE BROWNIE NUTRA BIEN NARANJA 250 GRS";"175"
"7802237000869";"800001312";"SURTIDO COCKTAIL DULCES ARABES 26UND";"41"
"8424465954210";"800007158";"DONUST BERLINA CHOCOLATE PACK EP 180GR ";"107"
"8424465953817";"800007166";"DONUT NEGRITO PACK EP 180GR";"140"
"8424465954883";"800007168";"DONUT SUCRE PACK EP 88GR";"180"
"7891962060460";"800007876";"TOSTADA INTEGRAL BAUDUCCO 142 G ";"13"
