Cod_Barra;PLU;Nombre;Ventas_Total
"8852";"8852";"QUESO ROBLE TZ";"230.938"
"8802";"8802";"QUESO LAS PARCELAS TZ";"225.524"
"8812";"8812";"QUESO RIO CRUCES TZ";"408.8729999999999"
"8";"8";"QUESO GRUYERE TROZ QUILLAYES";"0.77"
"49";"49";"QUESO CREMOSO RIO CRUCES";"1662.7529999999995"
"152";"152";"QUESO RAFULCO REDONDO";"100.84800000000004"
"451";"451";"QUESO COLUN RANCO LAMINADO";"1737.8669999999997"
"6068";"6068";"QUESO AHUMADO NAT DEL PRADO";"18.128000000000004"
"6366";"6366";"QUESO FRESCO DEL PRADO APROX 600G";"335"
"6381";"6381";"QUESO FRESCO OREGANO DEL PRADO APROX 600G";"152"
"7802080000726";"7085";"QUESO CABRA TILO OLIVA OREGANO 200GR";"120"
"8001230001722";"7326";"PARMEGGIANO REGG CUNA FERRARI 200GR";"51"
"8001230001708";"7328";"GRANA PADANO CUNA FERRARI 200G";"40"
"7802920116013";"8211";"QUESO COLUN RALLADO PARMESANO 40GR ";"337"
"7802920115504";"8364";"QUESO COLUN RANCO 150 GR";"391"
"7802920005829";"8535";"QUESO COLUN FUNDIDO CHEDDAR 160 GR";"294"
"7802920009827";"8556";"QUESO CAMEMBERT LOS ALPES COLUN 125GR";"175"
"7802920005843";"8580";"QUESO LOS ALERCES FUNDIDO MANTECOSO 160 GR";"195"
"7802920000732";"8655";"QUESO FRESCO COLUN 320 GRS";"76"
"8842";"8842";"QUESO RUNCA TZ";"450.909"
"7802920000718";"9415";"QUESILLO COLUN 160GR ";"232"
"7802920463100";"9458";"QUESO CREMA COLUN NATURAL 100 GR";"257"
"7802900001339";"9783";"QUESO MANTECOSO QUILQUE 250 GR.";"298"
"7802930004713";"9873";"QUESO CHACRA QUILLAYES 400 GRS";"33"
"7802900001193";"9891";"QUESO MANTECOSO QUILQUE 500 GRS";"591"
"7802920116006";"9908";"QUESO COLUN RALLADO PARMESANO 80GR";"399"
"7802920000756";"9970";"QUESILLO COLUN S/SAL 320 GR";"43"
"7802920006345";"10559";"QUESO RIO BUENO LAM 150 GR";"734"
"10622";"10622";"QUESO CAMEMBERT QUIMAN PQ KG";"4.612"
"10624";"10624";"QUESO BRIE QUIMAN GR KG";"5.688000000000001"
"7804650390404";"10760";"QUESO RUNCA LAMINADO 470G";"468"
"7804650390534";"10767";"QUESO UNTABLE RUNCA MERKEN 115G";"46"
"7804650390558";"10770";"QUESO UNTABLE OREGANO RUNCA 115G";"53"
"7804650390664";"10830";"QUESO RUNCA PZ 500G";"283"
"22557";"22557";"QUESO KELLER PARA FUNDIR 250G";"3"
"30343";"30343";"QUESO MANTECOSO RUNCA LAMINADO";"1124.3030000000003"
"799192913877";"30511";"QUESILLO QUIMAN 500 GR APROX";"7"
"7802080000634";"50235";"QUESO EL ROBLE AHUMADO 150G";"86"
"7802080000672";"50238";"MOZZARELLA LOS TILOS 250G";"65"
"7802920777498";"56565";"QUESO GAUDA COLUN 500 GR";"298"
"7801930018652";"60210";"QUESO GAUDA FRUTILLAR 500G";"94"
"7802930005253";"60250";"QUESO CABRA QUILLAYES 200G";"36"
"7804646540158";"60302";"QUESO MANTECOSO RAFULCO 250G";"22"
"7804650390077";"60361";"QUESO RUNCA GRANULADO 500G";"291"
"7804650390169";"60363";"QUESO RUNCA ESP MERKEN 200G";"207"
"7804650390183";"60365";"QUESO RUNCA ESP ALBAHACA 200G";"265"
"7802080000849";"60662";"QUESO CHACRA S/LACT ROBLE 350G";"24"
"7802920009995";"61180";"QUESO RIO BUENO LAM GRUESA 420GR.";"154"
"7808304351452";"61213";"QUESO LAMINADO CHAPUCO 250G";"80"
"7802900003203";"61218";"QUESO CAMEMBERT SOPROLE 125G";"93"
"7802960706137";"65116";"PETIT BRIE SANTA ROSA 125G";"14"
"7802960002499";"66561";"CREAM CHEESE LIGHT STA ROSA 200G";"153"
"7804613393091";"70609";"QUESO CHEDDAR KRAFT 130G";"36"
"7804619570199";"70620";"QUESO PARCELAS SIN BORDE 210G";"158"
"7804632980746";"75559";"QUESO CABRA AH FUNDIDO ARTISAN 180G";"40"
"7802930005888";"78947";"QUESO MOZZARELLA  BOCCONCINI QUILLAYES 150GR";"88"
"7802920006529";"90134";"QUESO COLUN UNTABLE NATURAL 100 GR";"74"
"7802920006505";"90136";"QUESO COLUN UNTABLE AJO ALBAHACA 100 GR";"129"
"7802930004928";"94657";"VEGANO CHEDDAR LAM QUILLAYES  200G ";"3"
"7802930005666";"98232";"TABLA SELECCION N6 QUILLAYES 200GR";"30"
"7802920004129";"300835";"QUESO RANCO COLUN LAM SR 150G";"291"
"7802930002481";"5009685";"Q RALLADO QUILLAYES GRUYERE MOZZARELA 100GR";"32"
"7802960001935";"5010615";"AHUMADO TRADICION 100GRS SANTA ROSA ";"4"
"78023055";"5010638";"CABRA TRADICIONAL TROZADO 200 GRS";"62"
"7802960000389";"5010647";"CREAM CHEESE LIGHT SOFT 150GRS STA ROSA";"72"
"78023161";"5010659";"GRUYERE TROZADO 200GRS SANTA ROSA";"23"
"7802960000471";"5010664";"PROVOLETA BANDEJA 240GRS SANTA ROSA";"23"
"7802930004027";"5010855";"QUESO PARMESANO QUILLEYES TZ 200GR";"43"
"7804632980227";"5011284";"QUESO CABRA NAT ARTISAN 180G";"72"
"7804632980135";"5011286";"QUESO CABRA CIBOULETTE ARTISAN 180GRS ";"18"
"7804632980012";"5011298";"QUESO CAMEMBERT 150GRS ARTISAN ";"69"
"7804632980104";"5011303";"QUESO CAMEMBERT PIMIENTA 150GRS ARTISAN";"27"
"7802080000122";"5011379";"QUESO CHACRA EL ROBLE 450GRS";"303"
"7802080000320";"5011382";"QUESO CAMEMBERT LOS TILOS 100GRS ";"316"
"7802080000344";"5011437";"QUESO FINO LOS TILOS SAVOYARD 170GRS";"118"
"7802080000108";"5011445";"QUESO AHUMADO LOS TILOS 250GRS";"74"
"7802920008073";"778431569";"QUESILLO COLUN S/LACTOSA 320GR";"164"
"7802920007915";"778432683";"QUESO COLUN FUNDIDO MANTECOSO 160 GR  ";"46"
"7802900001186";"778432856";"QUESO MANTECOSO QUILQUE 150 GR.";"240"
"7802900001162";"778433002";"QUESO GAUDA SOPROLE 250 GRS";"227"
