Cod_Barra;PLU;Nombre;Ventas_Total
"23017";"23017";"POLLO ASADO ENTERO KG";"2357.096000000002"
"30428";"30428";"GOHAN POLLO TERIYAKI 450 GRS APROX";"1487"
"6972";"6972";"SANDWICH CROISSANT JAMON QUESO ";"1046"
"6970";"6970";"SANDWICH BAGEL JAMON QUESO";"800"
"6962";"6962";"SANDWICH CROISSANT AVE MAYO PALTA";"782"
"30486";"30486";"GOHAN ACEVICHADO 450 GRS APROX";"665"
"30373";"30373";"PLATO CHILENO PASTEL DE CHOCLO 300 GRS APROX";"603"
"30340";"30340";"PASTA LASAÑA BOLOÑESA 300 GRS. APROX";"593"
"30488";"30488";"GOHAN CAMARON 450 GRS APROX";"583"
"30490";"30490";"POSTRE VASO MIX DE FRUTA 300 GRS APROX";"538"
"6995";"6995";"SANDWICH PITA SALMON AHUMADO";"509"
"30498";"30498";"POSTRE MOTE CON HUESILLO 600 ML APROX";"507"
"30405";"30405";"PASTA FIDEOS CON CAMARON Y SALSA THAI 350 GRS APROX";"477"
"30396";"30396";"ENSALADA CEVICHE SALMON 320 GRS. APROX";"468"
"30434";"30434";"GOHAN SALMON 450 GRS APROX";"466"
"30449";"30449";"PLATO CHILENO PASTEL DE CHOCLO 500 GRS APROX";"441"
"30450";"30450";"WRAP SALUDABLE PROTEICO 350 GRS APROX";"382"
"30440";"30440";"PASTA FIDEOS CON POLLO Y SALSA THAI 350 GRS APROX";"375"
"2606952006909";"6952";"SANDWICH MIGA AVE PIMIENTO";"316"
"30431";"30431";"PLATO CHILENO PASTEL DE CHOCLO VEGETARIANO 500 GRS APROX";"291"
"80816";"80816";"POSTRE VASO DE SANDIA 250 GRS PROX";"285"
"80808";"80808";"POSTRE VASO DE FRUTILLAS CON YOGURT 250 GRS APROX";"271"
"30335";"30335";"PLATO CHILENO PASTEL DE PAPA MEDIANO 500 GRS APROX";"268"
"180";"180";"PIZZA SALAME PEPPERONI 630 GRS APROX";"255"
"30417";"30417";"ENSALADA CEVICHE DE COCHAYUYO 320 GRS APROX";"249"
"6993";"6993";"ENSALADA DE POLLO 350 GRS APROX";"249"
"30690";"30690";"POSTRE VASO DE PIÑA 250 GRS APROX";"241"
"50087";"50087";"POLLO ASADO CON PAPAS FRITAS";"219"
"13490";"13490";"PIZZA CAMARON QUESO 660 GRS APROX";"214"
"6965";"6965";"SANDWICH BAGEL CARNE MECHADA QUESO";"204"
"6996";"6996";"PLATO CHILENO PASTEL DE CHOCLO 2 PORCIONES 800 GRS APROX";"196"
"326";"326";"SANDWICH BAGEL CHAMPIÑON QUESO CREMA PESTO 220 GRS";"191"
"30342";"30342";"PASTA ÑOQUIS CON SALSA BOLOÑESA 360 GRS";"177"
"30480";"30480";"GOHAN CHAMPIÑON 450 GRS APROX";"173"
"322";"322";"SANDWICH BAGEL QUESO DE CABRA PESTO TOMATE 220 GRS ";"165"
"6997";"6997";"SANDWICH BAGEL POLLO GRILLADO QUESO CREMA";"164"
"6957";"6957";"ENSALADA JAMON SERRANO 350 GRS APROX";"161"
"254";"254";"PIZZA POLLO BBQ 630 GRS APROX";"156"
"80813";"80813";"POSTRE VASO DE MELON 250 GRS APROX";"150"
"1010";"1010";"ENSALADA CESAR POLLO 300 GRS APROX";"149"
"6946";"6946";"PASTA LASAÑA BOLOÑESA 2 PORCIONES 800 GRS APROX";"149"
"30406";"30406";"PASTA RAVIOLES CON SALSA BOLOÑESA 350 GRS APROX";"147"
"182";"182";"PIZZA VEGETARIANA 630 GRS APROX";"134"
"30407";"30407";"PASTA SPAGHETTI ALFREDO CON POLLO 350 GRS APROX";"121"
"6959";"6959";"ENSALADA DEL MAR 350 GRS APROX";"121"
"71236";"71236";"POSTRE TRILOGÍA DE SÉMOLA CON LECHE 320 GRS APROX";"93"
"7898";"7898";"PLATO CHILENO PASTEL DE PAPA 2 PORCIONES 800 GRS APROX";"93"
"6947";"6947";"PASTA LASAÑA DE SALMON Y ESPINACA 2 PORCIONES 800 GRS APROX";"92"
"30362";"30362";"PLATO CHILENO CHUPE DE JAIBA 300 GRS APROX";"87"
"6945";"6945";"PIZZA CUATRO QUESOS 620 GRS APROX";"75"
"7902";"7902";"PASTA LASAÑA VEGETARIANA 2 PORCIONES 800 GRS APROX";"69"
"6944";"6944";"PIZZA HAWAIANA 615 GRS APROX";"68"
"30703";"30703";"PASTA LASAÑA VEGETARIANA MEDIANA 500 GRS";"56"
"30504";"30504";"PLATO CHILENO CHUPE DE JAIBA 2 PORCIONES 800 GRS APROX";"38"
"30403";"30403";"PASTA SPAGHETTI ALFREDO 350 GRS APROX";"38"
"30464";"30464";"PLATO CHILENO QUESO DE PATA 320 GRS APROX";"33"
"12562";"12562";"WRAP SALUDABLE PROTEICO 350 GRS APROX DISTRIBUIDOR";"31"
"30704";"30704";"PLATO INTER. AJI DE GALLINA CON ARROZ 360 GRS APROX";"25"
"30429";"30429";"PIZZA SALAME PEPPERONI INDIVIDUAL 380 GRS APROX";"25"
"6955";"6955";"PIZZA VEGETARIANA INDIVIDUAL 380 GRS APROX";"25"
"30414";"30414";"PLATO CHILENO PASTEL DE CHOCLO HALOPACK 400 GRS APROX";"23"
"30514";"30514";"PLATO CHILENO GUATITAS A LA JARDINERA CONA ARROZ 350 GRS APROX";"23"
"30337";"30337";"POKE ATUN SPICY 350 GRS APROX";"22"
"6954";"6954";"PLATO CHILENO CHUPE DE LOCO 300 GRS APROX";"22"
"12802";"12802";"GOHAN SALMON 450 GRS APROX DISTRIBUIDOR";"18"
"1065";"1065";"PASTA LASAÑA FAMILIAR 4 PORCIONES 1100 GRS APROX";"18"
"30708";"30708";"PLATO INTER. SALMON CON RISOTTO AL PESTO 350 GRS APROX";"17"
"30427";"30427";"PLATO CHILENO PASTEL DE CHOCLO FAMILIAR 4 PORCIONES 1100 GRS APROX";"16"
"30706";"30706";"PLATO INTER. BUTTER CHICKEN CON ARROZ 350 GRS. APROX";"15"
"9981";"9981";"PERNIL DE CERDO AL HORNO";"15"
"30492";"30492";"PLATO CHILENO LENGUA NOGADA CON PURE 360 GRS APROX";"13"
"12502";"12502";"PASTA LASAÑA BOLOÑESA 300 GRS APROX DISTRIBUIDOR";"13"
"30412";"30412";"PASTA LASAÑA BOLOÑESA HALOPACK 400 GRS APROX";"13"
"12512";"12512";"PLATO CHILENO PASTEL DE CHOCLO 400 GRS APROX DISTRIBUIDOR";"12"
"9979";"9979";"PASTA ÑOQUIS CON SALSA BOLOÑESA FAMILIAR 1100 GRS APROX";"12"
"12557";"12557";"PASTA RAVIOLES CON SALSA BOLOÑESA 350 GRS APROX DISTRIBUIDOR";"12"
"12526";"12526";"ENSALADA CESAR POLLO 300 GRS DISTRIBUIDOR";"12"
"12531";"12531";"PLATO CHILENO PASTEL DE CHOCLO 300 GRS APROX DISTRIBUIDOR";"11"
"6964";"6964";"POSTRE SEMOLA CON VINO 240 GRS APROX";"11"
"30371";"30371";"PLATO INTER. POLLO CON SALSA CUATRO QUESOS Y PAPAS ASADAS 350 GRS APROX";"11"
"30495";"30495";"PLATO CHILENO MERLUZA A LA SIDRA CON PAPAS GRATINADAS 360 GRS APROX";"10"
"6963";"6963";"POSTRE SEMOLA CON SALSA DE FRAMBUESA 190 GRS";"10"
"12801";"12801";"PASTA LASAÑA VEGETARIANA 500 GRS APROX DISTRIBUIDOR ";"10"
"30705";"30705";"PLATO INTER. SALMON CON RISOTTO DE CHAMPIÑONES 350 GRS APROX";"9"
"30384";"30384";"POKE SALMON SPICY 350 GRS APROX";"9"
"30369";"30369";"PIZZA HAWAIANA INDIVIDUAL 400 GRS APROX";"9"
"12800";"12800";"GOHAN POLLO TERIYAKI 450 GRS APROX DISTRIBUIDOR";"7"
"12532";"12532";"PASTA FIDEOS CON CAMARON Y SALSA THAI 350 GRS APROX DISTRIBUIDOR";"7"
"12511";"12511";"PASTA LASAÑA BOLOÑESA HALOPACK 400 GRS APROX DISTRIBUIDOR";"7"
"30710";"30710";"WRAP FALAFEL Y HUMMUS 350 GRS APROX";"7"
"30372";"30372";"PLATO INTER. POLLO CON SALSA DE CHAMPIÑONES Y PURE 350 GRS APROX";"7"
"30395";"30395";"PLATO CHILENO CARNE MECHADA CON PAST. DE CHOCLO 360 GRS APROX";"6"
"12537";"12537";"PLATO INTER. SALMON CON RISOTTO DE CHAMPIÑONES 350 GRS DISTRIBUIDOR";"6"
"30422";"30422";"HAMBURGUESA PAN DE CERVEZA 370 GRS APROX";"5"
"12552";"12552";"PASTA ÑOQUI AL PESTO 350 GRS APROX DISTRIBUIDOR";"5"
"7903";"7903";"PLATO CHILENO MERLUZA CANCATO CON QUINOA VERDE 360 GRS APROX";"5"
"30438";"30438";"SANDWICH PAN DE CERVEZA SALMON AHUMADO EN FRIO 240 GRS APROX";"5"
"12553";"12553";"PASTA ÑOQUI CON SALSA BOLOÑESA 350 GRS APROX DISTRIBUIDOR";"5"
"6968";"6968";"PIZZA POLLO BARBECUE INDIVIDUAL 400 GRS APROX";"4"
"12534";"12534";"PASTA LASAÑA FAMILIAR 4 PORCIONES 1100 GRS APROX DISTRIBUIDOR";"4"
"12533";"12533";"PASTA FIDEOS CON POLLO Y SALSA THAI 350 GRS APROX DISTRIBUIDOR";"2"
"30709";"30709";"BOLW   FALAFEL";"1"
"30385";"30385";"PLATO INTER. RIÑONES AL JEREZ CON ARROZ 350 GRS APROX";"1"
"6974";"6974";"PLATO INTER. ALBONDIGAS ATOMATADAS CON POLENTA CREMOSA 350 GRS APROX";"1"
