Cod_Barra;PLU;Nombre;Ventas_Total
"23017";"23017";"POLLO ASADO ENTERO KG";"729.2459999999994"
"30428";"30428";"GOHAN POLLO TERIYAKI 450 GRS APROX";"537"
"6972";"6972";"SANDWICH CROISSANT JAMON QUESO ";"295"
"6970";"6970";"SANDWICH BAGEL JAMON QUESO";"249"
"30486";"30486";"GOHAN ACEVICHADO 450 GRS APROX";"241"
"6962";"6962";"SANDWICH CROISSANT AVE MAYO PALTA";"237"
"30488";"30488";"GOHAN CAMARON 450 GRS APROX";"209"
"30434";"30434";"GOHAN SALMON 450 GRS APROX";"172"
"6995";"6995";"SANDWICH PITA SALMON AHUMADO";"161"
"30340";"30340";"PASTA LASAÑA BOLOÑESA 300 GRS. APROX";"153"
"30373";"30373";"PLATO CHILENO PASTEL DE CHOCLO 300 GRS APROX";"146"
"30396";"30396";"ENSALADA CEVICHE SALMON 320 GRS. APROX";"115"
"30490";"30490";"POSTRE VASO MIX DE FRUTA 300 GRS APROX";"114"
"326";"326";"SANDWICH BAGEL CHAMPIÑON QUESO CREMA PESTO 220 GRS";"109"
"30449";"30449";"PLATO CHILENO PASTEL DE CHOCLO 500 GRS APROX";"108"
"30450";"30450";"WRAP SALUDABLE PROTEICO 350 GRS APROX";"106"
"30498";"30498";"POSTRE MOTE CON HUESILLO 600 ML APROX";"105"
"80808";"80808";"POSTRE VASO DE FRUTILLAS CON YOGURT 250 GRS APROX";"98"
"322";"322";"SANDWICH BAGEL QUESO DE CABRA PESTO TOMATE 220 GRS ";"97"
"30405";"30405";"PASTA FIDEOS CON CAMARON Y SALSA THAI 350 GRS APROX";"96"
"50087";"50087";"POLLO ASADO CON PAPAS FRITAS";"94"
"2606952006909";"6952";"SANDWICH MIGA AVE PIMIENTO";"90"
"30440";"30440";"PASTA FIDEOS CON POLLO Y SALSA THAI 350 GRS APROX";"88"
"30480";"30480";"GOHAN CHAMPIÑON 450 GRS APROX";"70"
"180";"180";"PIZZA SALAME PEPPERONI 630 GRS APROX";"68"
"30335";"30335";"PLATO CHILENO PASTEL DE PAPA MEDIANO 500 GRS APROX";"62"
"1010";"1010";"ENSALADA CESAR POLLO 300 GRS APROX";"62"
"30690";"30690";"POSTRE VASO DE PIÑA 250 GRS APROX";"61"
"30431";"30431";"PLATO CHILENO PASTEL DE CHOCLO VEGETARIANO 500 GRS APROX";"58"
"30417";"30417";"ENSALADA CEVICHE DE COCHAYUYO 320 GRS APROX";"53"
"13490";"13490";"PIZZA CAMARON QUESO 660 GRS APROX";"45"
"6993";"6993";"ENSALADA DE POLLO 350 GRS APROX";"45"
"30407";"30407";"PASTA SPAGHETTI ALFREDO CON POLLO 350 GRS APROX";"43"
