Cod_Barra;PLU;Nombre;Ventas_Total
"23017";"23017";"POLLO ASADO ENTERO KG";"1956.316000000001"
"30428";"30428";"GOHAN POLLO TERIYAKI 450 GRS APROX";"1433"
"6972";"6972";"SANDWICH CROISSANT JAMON QUESO ";"866"
"6970";"6970";"SANDWICH BAGEL JAMON QUESO";"729"
"6962";"6962";"SANDWICH CROISSANT AVE MAYO PALTA";"630"
"30486";"30486";"GOHAN ACEVICHADO 450 GRS APROX";"559"
"30488";"30488";"GOHAN CAMARON 450 GRS APROX";"530"
"6995";"6995";"SANDWICH PITA SALMON AHUMADO";"494"
"30434";"30434";"GOHAN SALMON 450 GRS APROX";"486"
"30340";"30340";"PASTA LASAÑA BOLOÑESA 300 GRS. APROX";"397"
"30373";"30373";"PLATO CHILENO PASTEL DE CHOCLO 300 GRS APROX";"382"
"30396";"30396";"ENSALADA CEVICHE SALMON 320 GRS. APROX";"341"
"30449";"30449";"PLATO CHILENO PASTEL DE CHOCLO 500 GRS APROX";"292"
"326";"326";"SANDWICH BAGEL CHAMPIÑON QUESO CREMA PESTO 220 GRS";"289"
"30450";"30450";"WRAP SALUDABLE PROTEICO 350 GRS APROX";"285"
"30490";"30490";"POSTRE VASO MIX DE FRUTA 300 GRS APROX";"280"
"30405";"30405";"PASTA FIDEOS CON CAMARON Y SALSA THAI 350 GRS APROX";"269"
"322";"322";"SANDWICH BAGEL QUESO DE CABRA PESTO TOMATE 220 GRS ";"267"
"30498";"30498";"POSTRE MOTE CON HUESILLO 600 ML APROX";"260"
"30440";"30440";"PASTA FIDEOS CON POLLO Y SALSA THAI 350 GRS APROX";"256"
"2606952006909";"6952";"SANDWICH MIGA AVE PIMIENTO";"252"
"50087";"50087";"POLLO ASADO CON PAPAS FRITAS";"232"
"1010";"1010";"ENSALADA CESAR POLLO 300 GRS APROX";"215"
"30690";"30690";"POSTRE VASO DE PIÑA 250 GRS APROX";"180"
"80808";"80808";"POSTRE VASO DE FRUTILLAS CON YOGURT 250 GRS APROX";"179"
"30335";"30335";"PLATO CHILENO PASTEL DE PAPA MEDIANO 500 GRS APROX";"178"
"180";"180";"PIZZA SALAME PEPPERONI 630 GRS APROX";"168"
"13490";"13490";"PIZZA CAMARON QUESO 660 GRS APROX";"160"
"30431";"30431";"PLATO CHILENO PASTEL DE CHOCLO VEGETARIANO 500 GRS APROX";"159"
"30417";"30417";"ENSALADA CEVICHE DE COCHAYUYO 320 GRS APROX";"153"
"30480";"30480";"GOHAN CHAMPIÑON 450 GRS APROX";"150"
"6993";"6993";"ENSALADA DE POLLO 350 GRS APROX";"147"
"30342";"30342";"PASTA ÑOQUIS CON SALSA BOLOÑESA 360 GRS";"134"
"30406";"30406";"PASTA RAVIOLES CON SALSA BOLOÑESA 350 GRS APROX";"131"
"6946";"6946";"PASTA LASAÑA BOLOÑESA 2 PORCIONES 800 GRS APROX";"119"
"6996";"6996";"PLATO CHILENO PASTEL DE CHOCLO 2 PORCIONES 800 GRS APROX";"113"
"254";"254";"PIZZA POLLO BBQ 630 GRS APROX";"113"
"30407";"30407";"PASTA SPAGHETTI ALFREDO CON POLLO 350 GRS APROX";"108"
"6957";"6957";"ENSALADA JAMON SERRANO 350 GRS APROX";"95"
"182";"182";"PIZZA VEGETARIANA 630 GRS APROX";"93"
"7898";"7898";"PLATO CHILENO PASTEL DE PAPA 2 PORCIONES 800 GRS APROX";"72"
"6959";"6959";"ENSALADA DEL MAR 350 GRS APROX";"68"
"6944";"6944";"PIZZA HAWAIANA 615 GRS APROX";"67"
"6945";"6945";"PIZZA CUATRO QUESOS 620 GRS APROX";"59"
"6947";"6947";"PASTA LASAÑA DE SALMON Y ESPINACA 2 PORCIONES 800 GRS APROX";"57"
"71236";"71236";"POSTRE TRILOGÍA DE SÉMOLA CON LECHE 320 GRS APROX";"55"
"30362";"30362";"PLATO CHILENO CHUPE DE JAIBA 300 GRS APROX";"47"
