Cod_Barra;PLU;Nombre;Ventas_Total
"7802351121204";"8210";"ACEITUNAS HUASCO DON JUAN 340 GRS";"150"
"7802800535576";"12250";"PAPAS FRITAS KRYZPO QUESO 37 GRS";"251"
"7802000019371";"12318";"LAYS STAX ORIGINAL 36 GRS";"444"
"7802800535583";"12331";"PAPAS FRITAS KRYZPO CEBOLLA 37 GRS";"218"
"7802000013621";"12345";"LAYS STAX CEBOLLA 134 GRS";"733"
"7802800535590";"12355";"PAPAS FRITAS KRYZPO PIZZA 37 GRS";"281"
"7802800533565";"12389";"PAPAS FRITAS KRYZPO ORIGINAL 130 GR";"301"
"701822709347";"18227";"PASAS NEGRAS LOS FRUTOS 90 GR";"31"
"7802351131203";"24808";"ACEITUNAS SEVILLANAS DON JUAN 200GRS";"264"
"7840131003814";"28557";"GRISINES IDEAL ROMERO OLIVA 120 G";"49"
"7840131003838";"28560";"GRISINES IDEAL CIBOULETTE MANTEQUILLA 120 G";"45"
"745853842956";"36259";"SOUFFLE BOMBAS KUNA MANI 100GR";"37"
"745853842895";"36261";"SOUFFLE BOMBAS KUNA MEDITERRANEA 20GR";"108"
"701822709217";"52647";"MANI CONFITADO FRAMBUESA LOS FRUTOS 70GR";"165"
"701822709330";"56004";"PLATANOS DESHIDRATADOS LOS FRUTOS 70G";"69"
"701822709248";"56019";"SUPER MIX FRUTOS SECOS LOS FRUTOS 100G";"56"
"701822709361";"56022";"MANI TOSTADO NATURAL LOS FRUTOS 180G";"135"
"701822709262";"56102";"MANI CROCANTE NATURAL LOS FRUTOS70GR";"24"
"742832146999";"63220";"SACAPITA SAL DE MAR 120G";"75"
"742832146968";"63222";"SACAPITA INTEGRAL 120G";"16"
"701822709521";"70952";"TROPICAL MIX LOS FRUTOS 100GR";"55"
"701822709590";"70959";"SEMILLAS DE ZAPALLO LOS FRUTOS 100GR";"1"
"0658325422498";"80014";"TOCINETA EL ARRIERO PICANTE 100GR";"64"
"0609143581324";"80999";"TOCINETA EL ARIIERO BBQ 100GR";"54"
"701822709156";"87524";"MANI TOSTADO NATURAL 90GR LOS FRUTOS";"74"
"659525111533";"89848";"CHIPS FRUTAL UKRAINKA 100GR";"34"
"7802420011740";"303063";"CASTANAS DE CAJU MARCO POLO 150 GRS";"292"
"7802420010200";"500091";"PAPAS FRITAS MARCO POLO CREMA CIB. 180 GRS";"353"
"7802420009242";"500110";"RAMITAS QUESO MARCO POLO 230 GRS";"259"
"7802420002359";"5000103";"PAPAS RUSTICAS MERKEN MPOLO 185G";"300"
"7802420002182";"5000105";"PAPAS RUSTICAS SAL DE MAR MPOLO 185G";"1270"
"7802420127113";"5008716";"MANI CON MIEL 150G MPOLO ";"434"
"7803516000082";"5009194";"CURRITOS GRISSINES NATURAL 85GR";"193"
"7802420009518";"5009578";"MANI SALADO 150G MPOLO";"555"
"7802420125492";"5009580";"MANI TIPO JAPONES 100G MPOLO";"1012"
"5010130";"5010130";"MIX CLASICO EL ALMENDRO 100 GRS";"67"
"7802420124662";"5012123";"MANI CONFITADO 80G MPOLO";"354"
"6301618000388";"20213150";"SNACK HAZELNUT TERRANUT 90 GRS";"30"
"778431404";"778431404";"ALMENDRAS NATURALES EL ALMENDRO 70GRS";"60"
"778431406";"778431406";"BERRIES EN BOLSA EL ALMENDRO 80 GR";"37"
"778431419";"778431419";"MANI JAPONES EL ALMENDRO";"73"
"778431570";"778431570";"MIX NATURAL POTE EL ALMENDRO 200GRS";"76"
"7802000019210";"778432715";"PAPAS FRITAS LAYS CORTE AMERICANO 250G";"433"
"7802000020872";"778433461";"SNACK DORITOS SWITCH CREMA Y CEBOLLA 180 GR";"71"
