Cod_Barra;PLU;Nombre;Ventas_Total
"7808725410448";"800007127";"VINO PENINSULA GRAN RSVA MERLOT 750 CC";"17"
"7809527600686";"800007144";"VINO SELLO DE RAZA CARMENERE 750 CC";"3"
"6061103784291";"800007147";"VINO CORRAL VICTORIA BOTELLA TRIPLE 750 CC";"1"
"7804407006381";"800007177";"VINO MONTGRAS DE VINE RVA MERLOT 750CC";"28"
"7804407006350";"800007179";"VINO MONTGRAS DE VINE RVA PINOT NOIR 750CC";"36"
"7804305001112";"800007240";"VINO CHIFLON RSVA CARMENERE 750 CC";"12"
"7804619040401";"800007289";"VINO VERAMONTE COLECC COLORES CARMENERE 750 CC";"11"
"7804619040487";"800007291";"VINO VERAMONTE COLECC COLORES SAUV BLANC 750 CC";"22"
"7804639690006";"800007353";"VINO CALCU TINY BLOCKS CARMENERE 750 CC";"17"
"7804671600896";"800007388";"VINO 2 X 2 STATE CAB SAUV 750 CC";"32"
"7804671600995";"800007390";"VINO 2 X 2 STATE CHARDONNAY 750 CC";"6"
"7804314945643";"800007449";"VINO VIU MANENT SECRETO GRAN RVA VIOGNIER 750CC";"12"
"7804678380005";"800007538";"VINO LOPEZ PANGUE GRAN MEZCLA 750 CC";"1"
"7804343004601";"800007557";"VINO SOLECA RSVA CAB SAUV 750 CC";"15"
"7804640499629";"800007559";"VINO BLUE CRYSTAL RSVA CAB SAUV 750 CC";"6"
"7804643980629";"800007653";"VINO VIK A GRAN RSVA CARMENERE 750 CC";"2"
"7804319000514";"800007691";"VINO SANTA EMA GRAN RSVA PINOT NOIR 750CC";"25"
"7804319001115";"800007693";"VINO SANTA EMA GRAN RSVA SYRAH 750CC";"12"
"7804319009029";"800007695";"VINO SANTA EMA GRAN RSVA CHARDONNAY 750CC";"22"
"7804619041842";"800008006";"VINO VERAMONTE GRAN RSVA CAB SAUV 750 CC";"6"
"8410113586070";"800008187";"VINO MIGUEL TORRES GRAN RSVA RED BLEND 750CC";"6"
"7804602381528";"800008370";"ESPUMANTE VINAMAR BRUT ROSE 750CC";"12"
"781159943782";"800008390";"VINO BESTIA AZUL RSVA CARMENERE 750 CC";"30"
"781159943850";"800008392";"ESPUMANTE BESTIA AZUL BRUT 750 CC";"9"
"7804300159672";"800008398";"COCTEL GATO SEL DULCE TINTO 350 ML LATA";"339"
"799192657320";"800008404";"VINO KARUNKUN PINOT NOIR 750 CC";"18"
"799192657337";"800008406";"VINO KARUNKUN CHARDONNAY 750 CC";"7"
"7808765759873";"800008583";"VINO COLIBRI PINOT NOIR 750 CC";"40"
"7804631224124";"800008585";"VINO OPALUS CAB SAUV 750 CC";"36"
"7802180068046";"4281";"ESPUMANTE VALDIVIESO DEMI SEC 750CC.LVB";"43"
"7802180068169";"4283";"ESPUMANTE VALDIVIESO BRUT 750CC.LVB";"115"
"7804300004002";"4287";"VINO GATO TTA.1000CC TINTO";"216"
"7804300143657";"4292";"VINO GATO PREMIUN CAB/SAUV 750 CC";"4"
"7804300121440";"4294";"VINO GATO TTA.2000CC. TINTO lvb";"276"
"7804300122140";"4299";"VINO GATO TTA.500CC TINTO lvb";"167"
"7804300122935";"4303";"VINO GATO BLANCO 1500CC.BOTELLA";"60"
"7804300123925";"4307";"VINO SANTA HELENA TTA.2000CC BLANCO lvb";"121"
"7804300156657";"4318";"SANGRIA MANQUEHUITO 1.5 LTS TETRA";"33"
"7804315001065";"4345";"VINO PINOT C/S UNDURRAGA 750CC LVB";"29"
"7804320110950";"4375";"VINO SANTA EMILIANA CARMENERE 700ML";"44"
